#;Baixado;Lido;Incluido/Excluido;Title;Authors;Year;Source title;Document Type;Purpose of the Simulation;Types of Simulations;Description of Techniques;Software and Tools;Types of Thermal Stressors;Thermal Stressors Impact Assessment;Simulation's Key Findings;Solutions or Mitigation Strategies;Effectiveness of Solution;Limitations;Future Research Suggestions;;Source;Cited by;DOI;Link
1;;;;Anthropogenic climate change in a descriptive growth model;Greiner A.;2004;Environment and Development Economics;Article;;;;;;;;;;;;;Scopus;7;10.1017/S1355770X04001536;https://www.scopus.com/inward/record.uri?eid=2-s2.0-6944251993&doi=10.1017%2fS1355770X04001536&partnerID=40&md5=17e69d317cf70a64941a25ac2a5bdfdd
2;;;;An approach to analysis and design of emissions trading management systems;Kurkovsky A.;2006;2006 IEEE EIC Climate Change Technology Conference, EICCCC 2006;Conference paper;;;;;;;;;;;;;Scopus;1;10.1109/EICCCC.2006.277237;https://www.scopus.com/inward/record.uri?eid=2-s2.0-41549128390&doi=10.1109%2fEICCCC.2006.277237&partnerID=40&md5=a2c2f8715075824dd1afaade428675e0
3;;;;Requirement analysis for emissions trading management systems using a simulation approach;Kurkovsky A.;2007;Proceedings of the IASTED Asian Conference on Modelling and Simulation;Conference paper;;;;;;;;;;;;;Scopus;0;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-62649140094&partnerID=40&md5=a2a22d59c0110e1402189627556d8b47
4;;;;Illuminating the green movement: An agent-based model for green and non-green consumption in the United States;"Boivie I.; Starbuck C.M.";2008;International Journal of Interdisciplinary Social Sciences;Article;;;;;;;;;;;;;Scopus;0;10.18848/1833-1882/cgp/v03i06/52642;https://www.scopus.com/inward/record.uri?eid=2-s2.0-79961227549&doi=10.18848%2f1833-1882%2fcgp%2fv03i06%2f52642&partnerID=40&md5=9ebdc54d711bb11395db3cc965d2fa7c
5;;;;Agent-based simulation of CO2 emissions trading and large-scale traffic flow;"Mizuta H.; Kato S.; Tai H.";2008;Proceedings of the SICE Annual Conference;Conference paper;;;;;;;;;;;;;Scopus;7;10.1109/SICE.2008.4654690;https://www.scopus.com/inward/record.uri?eid=2-s2.0-56749139673&doi=10.1109%2fSICE.2008.4654690&partnerID=40&md5=a6ee99981045f30c86b3e53286bed538
6;;;;Agent-based simulation of CO2 emissions trading and large-scale traffic flow;"H. Mizuta; S. Kato; H. Tai";2008;2008 SICE Annual Conference;Article;;;;;;;;;;;;;IEEE;3;10.1109/SICE.2008.4654690;
7;;;;Simulation of entrained flow coal gasification;"Chui E.H.; Majeski A.J.; Lu D.Y.; Hughes R.; Gao H.; McCalden D.J.; Anthony E.J.";2009;Energy Procedia;Conference paper;;;;;;;;;;;;;Scopus;28;10.1016/j.egypro.2009.01.067;https://www.scopus.com/inward/record.uri?eid=2-s2.0-67650155187&doi=10.1016%2fj.egypro.2009.01.067&partnerID=40&md5=2807b904a777ed5242a053c7557271fc
8;;;;Coupled strata and gas behaviour in co-extraction of coal and methane;"Guo H.; Adhikary D.P.; Ishihara N.; Fujioka M.";2010;72nd European Association of Geoscientists and Engineers Conference and Exhibition 2010: A New Spring for Geoscience. Incorporating SPE EUROPEC 2010;Conference paper;;;;;;;;;;;;;Scopus;0;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-78249257598&partnerID=40&md5=dbbf02377471d7e6b0610fd4dfa293ac
9;;;;Robust land-ocean contrasts in energy and water cycle feedbacks;Fasullo J.T.;2010;Journal of Climate;Article;;;;;;;;;;;;;Scopus;55;10.1175/2010JCLI3451.1;https://www.scopus.com/inward/record.uri?eid=2-s2.0-77958099032&doi=10.1175%2f2010JCLI3451.1&partnerID=40&md5=028590ce55503f3848c39f54165a5dd5
10;;;;Modeling and simulation of price elasticity of demand using an agent-based model;"Thimmapuram P.R.; Kim J.; Botterud A.; Nam Y.";2010;Innovative Smart Grid Technologies Conference, ISGT 2010;Conference paper;;;;;;;;;;;;;Scopus;57;10.1109/ISGT.2010.5434739;https://www.scopus.com/inward/record.uri?eid=2-s2.0-77952152472&doi=10.1109%2fISGT.2010.5434739&partnerID=40&md5=570dd2e101124197bddce4295d31159e
11;;;;Impacts of emissions trading and renewable energy sources development schemes on electricity market operation;"Liu G.; Wen F.; Xue Y.";2010;Dianli Xitong Zidonghua/Automation of Electric Power Systems;Article;;;;;;;;;;;;;Scopus;12;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-77952113161&partnerID=40&md5=f1f55c1cf369fecd4634925a2e4ec4f3
12;;;;Analysis of Greenhouse Gases Trading System Using Conversations among Stakeholders;Kurahashi, Setsuya and Ohori, Masato;2010;Int. J. Comput. Appl. Technol.;Article;;;;;;;;;;;;;ACM;0;10.1504/IJCAT.2010.034528;
