Year;Agriculture;Land Usage;Waste;Buildings;Industry;Transport;Manufacture;Eletricity and Heat;Fugitive;Other Fuels;Bunker Fuels
2016;496.58607;276.14044;68.21765;22.76150;33.88020;207.97040;98.48720;124.01510;35.09690;19.44410;20.05900
2016;498.28323;394.85836;68.88542;22.85040;31.64134;206.17270;88.98180;99.42480;35.50860;18.98500;17.86340
2017;502.98291;400.35942;69.55319;23.06480;29.86247;207.54460;95.11670;102.67120;36.20120;20.43760;17.55620
2018;492.98695;389.15771;70.22096;23.24810;30.55361;199.07990;91.93290;93.30410;34.98900;20.01480;16.90000
2019;504.85816;397.89866;70.88874;23.13060;31.53474;200.58560;88.36280;92.49300;37.39480;20.39510;18.12790
2020;518.66242;405.31228;71.55651;23.66520;34.27588;189.68300;82.53080;86.68030;37.16970;20.71510;15.11720
2021;518.66242;405.31228;71.55651;23.66520;34.27588;189.68300;82.53080;86.68030;37.16970;20.71510;15.11720
2021;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2022;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2023;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2024;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2025;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2026;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2027;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2028;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2029;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2030;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2031;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2032;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2033;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2034;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2035;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2036;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2037;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2038;496.75259;387.44771;71.23306;23.52669;33.51533;186.20265;84.59086;89.10308;36.97294;20.57577;15.80131
2039;487.05565;379.88447;71.23306;23.52669;33.51533;182.56786;84.59086;89.10308;36.97294;20.57577;15.80131
2040;476.82872;371.90787;71.23306;23.52669;33.51533;178.73440;84.59086;89.10308;36.97294;20.57577;15.80131
2041;466.05383;363.50387;71.23306;23.52669;33.51533;174.69554;84.59086;89.10308;36.97294;20.57577;15.80131
2042;454.71402;354.65925;71.23306;23.52669;33.51533;170.44492;84.59086;89.10308;36.97294;20.57577;15.80131
2043;442.79363;345.36182;71.23306;23.52669;33.51533;165.97669;84.59086;89.10308;36.97294;20.57577;15.80131
2044;430.27867;335.60064;71.23306;23.52669;33.51533;161.28558;84.59086;89.10308;36.97294;20.57577;15.80131
2045;417.15715;325.36636;71.23306;23.52669;33.51533;156.36711;84.59086;89.10308;36.97294;20.57577;15.80131
2046;403.41947;314.65150;71.23306;23.52669;33.51533;151.21768;84.59086;89.10308;36.97294;20.57577;15.80131
2047;389.05891;303.45083;71.23306;23.52669;33.51533;145.83478;84.59086;89.10308;36.97294;20.57577;15.80131
2048;374.07209;291.76169;71.23306;23.52669;33.51533;140.21712;84.59086;89.10308;36.97294;20.57577;15.80131
2049;358.45944;279.58443;71.23306;23.52669;33.51533;134.36487;84.59086;89.10308;36.97294;20.57577;15.80131
2050;342.22578;266.92281;71.23306;23.52669;33.51533;128.27985;84.59086;89.10308;36.97294;20.57577;15.80131
2051;325.38087;253.78443;71.23306;23.52669;33.51533;121.96571;84.59086;89.10308;36.97294;20.57577;15.80131
2052;307.93994;240.18118;71.23306;23.52669;33.51533;115.42815;84.59086;89.10308;36.97294;20.57577;15.80131
2053;289.92432;226.12970;71.23306;23.52669;33.51533;108.67518;84.59086;89.10308;36.97294;20.57577;15.80131
2054;271.36197;211.65178;71.23306;23.52669;33.51533;101.71727;84.59086;89.10308;36.97294;20.57577;15.80131
2055;252.28802;196.77485;71.23306;23.52669;33.51533;94.56760;84.59086;89.10308;36.97294;20.57577;15.80131
2056;232.74530;181.53229;71.23306;23.52669;33.51533;87.24221;84.59086;89.10308;36.97294;20.57577;15.80131
2057;212.78471;165.96380;71.23306;23.52669;33.51533;79.76018;84.59086;89.10308;36.97294;20.57577;15.80131
2058;192.62672;150.24135;71.23306;23.52669;33.51533;87.06935;84.59086;73.89068;36.97294;20.57577;15.80131
2059;172.58383;134.60867;71.23306;23.52669;33.51533;70.72900;84.59086;81.49688;36.97294;20.57577;15.80131
2060;152.63151;119.04664;71.23306;23.52669;33.51533;78.89918;67.06449;81.49688;36.97294;20.57577;15.80131
2061;132.87639;103.63842;71.23306;23.52669;33.51533;78.89918;75.82767;62.74939;36.97294;20.57577;15.80131
2062;113.56814;88.57874;71.23306;23.52669;33.51533;58.67000;75.82767;72.12313;36.97294;20.57577;15.80131
2063;94.82107;73.95675;71.23306;23.52669;33.51533;68.78459;54.00090;72.12313;36.97294;20.57577;15.80131
2064;76.79366;59.89607;71.23306;23.52669;33.51533;68.78459;64.91428;48.59100;36.97294;20.57577;15.80131
2065;62.42259;48.68719;46.61500;23.52669;33.51533;68.78459;64.91428;60.35707;36.97294;20.57577;15.80131
2066;46.18262;61.54340;58.92403;23.52669;33.51533;40.25884;37.99359;60.35707;36.97294;20.57577;15.80131
2067;33.24585;32.71388;58.92403;23.52669;33.51533;54.52171;51.45394;32.08327;36.97294;20.57577;15.80131
2068;47.89501;47.12864;28.86359;23.52669;33.51533;26.70714;25.20441;46.22017;36.97294;20.57577;15.80131
2069;23.81938;23.43824;43.89381;23.52669;33.51533;40.61442;38.32917;22.98644;36.97294;20.57577;15.80131
2070;35.85720;35.28344;25.39979;23.52669;33.51533;23.50213;22.17973;34.60331;36.97294;20.57577;15.80131
2071;16.80793;16.53898;34.64680;23.52669;33.51533;32.05828;30.25445;34.60331;17.33093;20.57577;15.80131
2072;26.33256;25.91121;14.76361;23.52669;14.28147;32.05828;30.25445;14.74508;27.15193;20.57577;15.80131
2073;26.33256;25.91121;24.70521;23.52669;23.89840;12.02024;11.34390;24.67419;10.18061;20.57577;15.80131
2074;9.85642;9.69871;9.24729;23.52669;23.89840;22.03926;20.79917;24.67419;18.66627;20.57577;15.80131
2075;18.09449;17.80496;16.97625;13.14830;13.35603;22.03926;20.79917;13.78960;18.66627;20.57577;15.80131
2076;18.09449;17.80496;16.97625;18.33749;18.62722;9.64683;9.10404;19.23190;18.66627;9.00625;15.80131
2077;18.09449;17.80496;16.97625;18.33749;6.44608;15.84305;14.95160;6.65533;6.45959;14.79101;15.80131
2078;6.27799;6.17754;16.97625;6.36231;12.53665;15.84305;14.95160;12.94361;12.56293;14.79101;15.80131
2079;12.18624;11.99125;6.18145;12.34990;12.53665;5.76883;14.95160;12.94361;12.56293;14.79101;5.75363
2080;12.18624;11.99125;11.57885;12.34990;12.53665;10.80594;8.11342;7.02379;12.56293;8.02627;10.77747
2081;12.18624;11.99125;11.57885;5.09615;5.17321;10.80594;11.53251;9.98370;5.18405;11.40864;10.77747
2082;4.37903;4.30896;4.16077;8.72302;8.85493;10.80594;11.53251;9.98370;8.87349;11.40864;10.77747
