Year;Agriculture;Land Usage;Waste;Buildings;Industry;Transport;Manufacture;Eletricity and Heat;Fugitive;Other Fuels;Bunker Fuels
2016;699.38291;-707.50924;179.68254;561.82790;1075.58180;850.56990;3011.92750;4616.43800;479.77150;208.90130;53.68550
2016;698.71310;-647.38540;185.64600;567.83260;1106.88400;868.04300;2874.15480;4721.34930;444.09920;208.86400;57.60020
2017;684.71597;-647.64169;191.60945;574.10350;1128.58621;901.29690;2709.47870;5060.65690;453.49880;200.21570;62.10920
2018;674.22459;-647.35159;197.57291;534.90150;1150.08841;976.43950;2802.77360;5408.04670;478.12400;177.98210;69.43580
2019;627.50487;-647.27929;203.53637;499.55230;1213.39062;970.37900;2806.36280;5618.73880;496.91020;164.50000;69.80470
2020;632.54812;-647.24490;209.49983;493.57750;1241.63484;926.87770;2839.00478;5664.78619;509.92650;163.83120;55.02330
2021;632.54812;-647.24490;209.49983;493.57750;1240.87479;926.87770;2837.26690;5661.31853;509.92650;163.83120;55.02330
2021;638.23086;0.00000;206.61128;501.65019;1210.90435;932.50197;2801.23243;5532.46890;503.04872;167.34410;58.01255
2022;638.23086;0.00000;206.61128;501.65019;1203.62620;932.50197;2784.39561;5499.21596;503.04872;167.34410;58.01255
2023;638.23086;0.00000;206.61128;501.65019;1195.87391;932.50197;2766.46192;5463.79670;503.04872;167.34410;58.01255
2024;638.23086;0.00000;206.61128;501.65019;1187.61921;932.50197;2747.36600;5426.08203;503.04872;167.34410;58.01255
2025;638.23086;0.00000;206.61128;501.65019;1178.83255;932.50197;2727.03947;5385.93689;503.04872;167.34410;58.01255
2026;638.23086;0.00000;206.61128;501.65019;1169.48306;932.50197;2705.41095;5343.22028;503.04872;167.34410;58.01255
2027;638.23086;0.00000;206.61128;501.65019;1159.53860;932.50197;2682.40603;5297.78528;503.04872;167.34410;58.01255
2028;638.23086;0.00000;206.61128;501.65019;1148.96572;932.50197;2657.94738;5249.47915;503.04872;167.34410;58.01255
2029;638.23086;0.00000;206.61128;501.65019;1137.72977;932.50197;2631.95480;5198.14348;503.04872;167.34410;58.01255
2030;638.23086;0.00000;206.61128;501.65019;1125.79487;932.50197;2604.34535;5143.61447;503.04872;167.34410;58.01255
2031;638.23086;0.00000;206.61128;501.65019;1113.12409;932.50197;2575.03352;5085.72325;503.04872;167.34410;58.01255
2032;638.23086;0.00000;206.61128;501.65019;1099.67944;932.50197;2543.93149;5024.29634;503.04872;167.34410;58.01255
2033;638.23086;0.00000;206.61128;501.65019;1085.42207;932.50197;2510.94935;4959.15621;503.04872;167.34410;58.01255
2034;638.23086;0.00000;206.61128;501.65019;1070.31238;932.50197;2475.99553;4890.12198;503.04872;167.34410;58.01255
2035;638.23086;0.00000;206.61128;501.65019;1054.31026;932.50197;2438.97719;4817.01030;503.04872;167.34410;58.01255
2036;638.23086;0.00000;206.61128;501.65019;1037.37524;932.50197;2399.80076;4739.63635;503.04872;167.34410;58.01255
2037;638.23086;0.00000;206.61128;501.65019;1019.46684;932.50197;2358.37254;4657.81511;503.04872;167.34410;58.01255
2038;638.23086;0.00000;206.61128;501.65019;1000.54481;932.50197;2314.59947;4571.36275;503.04872;167.34410;58.01255
2039;638.23086;0.00000;206.61128;501.65019;980.56956;932.50197;2268.38994;4480.09835;503.04872;167.34410;58.01255
2040;638.23086;0.00000;206.61128;501.65019;959.50254;932.50197;2219.65477;4383.84579;503.04872;167.34410;58.01255
2041;638.23086;0.00000;206.61128;501.65019;937.30673;932.50197;2168.30835;4282.43597;503.04872;167.34410;58.01255
2042;638.23086;0.00000;206.61128;501.65019;913.94722;932.50197;2114.26987;4175.70930;503.04872;167.34410;58.01255
2043;638.23086;0.00000;206.61128;501.65019;889.39176;932.50197;2057.46476;4063.51850;503.04872;167.34410;58.01255
2044;638.23086;0.00000;206.61128;501.65019;912.78565;882.40294;1998.13716;3946.34575;503.04872;167.34410;58.01255
2045;638.23086;0.00000;206.61128;501.65019;859.92907;907.45246;1935.86942;3823.36618;503.04872;167.34410;58.01255
2046;638.23086;0.00000;206.61128;501.65019;886.35736;850.90165;1871.01715;3695.28215;503.04872;167.34410;58.01255
2047;638.23086;0.00000;206.61128;501.65019;826.74511;879.17705;1803.17353;3561.29016;503.04872;167.34410;58.01255
2048;638.23086;0.00000;206.61128;501.65019;856.55123;815.45537;1732.77866;3422.25940;503.04872;167.34410;58.01255
2049;638.23086;0.00000;206.61128;501.65019;789.44204;847.31621;1659.41615;3277.36755;503.04872;167.34410;58.01255
2050;638.23086;0.00000;206.61128;501.65019;822.99664;775.64912;1583.62705;3127.68313;503.04872;167.34410;58.01255
2051;638.23086;0.00000;206.61128;501.65019;747.59315;811.48267;1504.99171;2972.37736;503.04872;167.34410;58.01255
2052;638.23086;0.00000;206.61128;501.65019;785.29489;731.03737;1424.17021;2812.75388;503.04872;167.34410;58.01255
2053;638.23086;0.00000;206.61128;501.65019;700.73903;771.26002;1340.74650;2647.99101;503.04872;167.34410;58.01255
2054;638.23086;0.00000;206.61128;501.65019;743.01696;681.13785;1255.51900;2479.66566;503.04872;167.34410;58.01255
2055;638.23086;0.00000;206.61128;501.65019;648.37792;726.19894;1168.08212;2306.97671;503.04872;167.34410;58.01255
2056;638.23086;0.00000;206.61128;501.65019;695.69744;625.41667;1079.39253;2131.81367;503.04872;167.34410;58.01255
2057;638.23086;0.00000;206.61128;501.65019;589.94338;675.80780;989.06101;1953.40780;503.04872;167.34410;58.01255
2058;638.23086;0.00000;206.61128;501.65019;642.82041;563.25460;898.22254;1774.00070;503.04872;167.34410;58.01255
2059;638.23086;0.00000;206.61128;501.65019;524.75463;619.53120;806.50861;1592.86453;503.04872;167.34410;58.01255
2060;509.51180;0.00000;206.61128;501.65019;583.78752;619.53120;716.28191;1414.66569;503.04872;167.34410;58.01255
2061;573.87133;0.00000;206.61128;501.65019;583.78752;481.30394;626.75889;1237.85661;503.04872;167.34410;58.01255
2062;573.87133;0.00000;206.61128;501.65019;438.14208;550.41757;537.93962;1062.43743;503.04872;167.34410;58.01255
2063;414.30457;0.00000;206.61128;501.65019;510.96480;550.41757;452.91296;894.50873;503.04872;167.34410;58.01255
2064;494.08795;0.00000;206.61128;501.65019;510.96480;377.90789;370.84545;732.42437;503.04872;167.34410;58.01255
2065;494.08795;0.00000;206.61128;501.65019;343.36836;464.16273;455.48834;604.52796;338.04876;167.34410;58.01255
2066;306.27304;0.00000;206.61128;310.96068;427.16658;464.16273;455.48834;466.18456;420.54874;167.34410;58.01255
2067;400.18050;0.00000;206.61128;406.30544;427.16658;266.48953;261.50930;349.71553;420.54874;167.34410;58.01255
2068;400.18050;0.00000;206.61128;406.30544;223.13194;365.32613;358.49882;250.42633;219.67509;167.34410;58.01255
2069;217.47415;0.00000;206.61128;220.80269;325.14926;198.53289;358.49882;364.92281;320.11191;167.34410;58.01255
2070;308.82732;0.00000;206.61128;313.55406;204.21690;281.92951;225.16280;229.19752;320.11191;167.34410;58.01255
2071;167.01351;0.00000;206.61128;169.56972;264.68308;281.92951;291.83081;297.06016;173.11620;167.34410;58.01255
2072;237.92042;0.00000;206.61128;241.56189;264.68308;138.05607;142.90457;145.46529;246.61406;167.34410;58.01255
2073;237.92042;0.00000;206.61128;106.36081;116.54118;209.99279;217.36769;221.26273;108.58530;167.34410;58.01255
2074;110.33666;0.00000;206.61128;173.96135;190.61213;209.99279;100.80524;102.61158;177.59968;167.34410;58.01255
2075;174.12854;0.00000;125.06393;173.96135;115.37948;127.11080;159.08646;161.93715;177.59968;167.34410;58.01255
2076;85.12951;0.00000;165.83761;85.04778;152.99581;168.55179;159.08646;161.93715;86.82652;167.34410;58.01255
2077;129.62902;0.00000;73.77311;129.50456;152.99581;74.98052;159.08646;161.93715;132.21310;74.44328;58.01255
2078;129.62902;0.00000;119.80536;129.50456;66.85283;121.76616;69.51420;70.75983;132.21310;120.89369;58.01255
2079;52.46188;0.00000;119.80536;52.41152;109.92432;121.76616;114.30033;116.34849;53.50768;120.89369;58.01255
2080;91.04545;0.00000;71.18149;90.95804;109.92432;72.34648;114.30033;116.34849;92.86039;71.82812;58.01255
2081;91.04545;0.00000;95.49342;90.95804;56.42757;97.05632;58.67391;59.72530;92.86039;96.36090;58.01255
2082;91.04545;0.00000;38.43915;90.95804;83.17594;39.06827;86.48712;88.03689;92.86039;38.78834;58.01255
2083;35.98579;0.00000;66.96629;35.95124;83.17594;68.06229;86.48712;88.03689;36.70315;67.57462;58.01255
2084;63.51562;0.00000;66.96629;63.45464;36.04506;68.06229;37.47999;38.15160;64.78177;67.57462;58.01255
2085;63.51562;0.00000;37.13698;63.45464;59.61050;37.74478;61.98355;63.09425;64.78177;37.47434;58.01255
2086;29.75284;0.00000;52.05163;29.72427;59.61050;52.90354;61.98355;63.09425;30.34595;52.52448;58.01255
2087;46.63423;0.00000;52.05163;46.58946;25.27143;52.90354;26.27747;26.74834;47.56386;52.52448;58.01255
2088;46.63423;0.00000;52.05163;46.58946;42.44096;19.66129;44.13051;44.92129;47.56386;19.52041;21.56002
2089;17.77824;0.00000;19.84350;46.58946;42.44096;36.28241;44.13051;44.92129;18.13264;36.02245;39.78629
2090;32.20624;0.00000;35.94757;27.57862;42.44096;36.28241;26.12305;26.59115;32.84825;36.02245;39.78629
2091;32.20624;0.00000;35.94757;17.63057;20.17737;36.28241;35.12678;35.75622;32.84825;36.02245;18.91528
2092;32.20624;0.00000;14.23014;27.35731;31.30917;14.36269;35.12678;35.75622;32.84825;14.25978;29.35078
