Year;Agriculture;Land Usage;Waste;Buildings;Industry;Transport;Manufacture;Eletricity and Heat;Fugitive;Other Fuels;Bunker Fuels
2016;703.95989;-62.54425;79.88812;145.92130;135.89000;264.39660;509.49560;1108.95170;92.93210;64.98410;15.37180
2016;704.91729;-30.75760;80.98073;149.94080;143.30607;276.27570;530.63530;1102.44170;93.75320;66.89160;16.51440
2017;712.75857;-27.95431;82.07335;152.23780;142.62214;298.70520;562.60310;1161.63330;87.65770;69.71500;17.26360
2018;722.08891;-29.25304;83.16597;156.93260;162.23821;313.61370;572.65700;1263.02090;91.42990;71.83140;18.13820
2019;731.75430;-31.86350;84.25858;161.25920;168.55428;316.44970;556.86420;1235.14190;93.37830;69.78580;17.51710
2020;744.38655;-33.71098;85.35120;162.49710;149.37035;275.57230;504.39514;1112.41836;88.65590;64.78930;10.07290
2021;743.89438;-33.71098;85.35120;162.49710;149.37035;275.57230;504.06164;1111.68284;88.65590;64.78930;10.07290
2021;730.90876;0.00000;84.82196;161.21879;152.05632;283.61884;511.74526;1125.77530;89.53484;66.04381;11.91566
2022;726.37043;0.00000;84.82196;161.21879;152.05632;283.61884;508.56775;1118.78519;89.53484;66.04381;11.91566
2023;721.53644;0.00000;84.82196;161.21879;152.05632;283.61884;505.18324;1111.33968;89.53484;66.04381;11.91566
2024;716.38918;0.00000;84.82196;161.21879;152.05632;283.61884;501.57938;1103.41166;89.53484;66.04381;11.91566
2025;710.91021;0.00000;84.82196;161.21879;152.05632;283.61884;497.74329;1094.97273;89.53484;66.04381;11.91566
2026;705.08028;0.00000;84.82196;161.21879;152.05632;283.61884;493.66147;1085.99324;89.53484;66.04381;11.91566
2027;698.87936;0.00000;84.82196;161.21879;152.05632;283.61884;489.31990;1076.44233;89.53484;66.04381;11.91566
2028;692.28658;0.00000;84.82196;161.21879;152.05632;283.61884;484.70397;1066.28787;89.53484;66.04381;11.91566
2029;685.28034;0.00000;84.82196;161.21879;152.05632;283.61884;479.79855;1055.49656;89.53484;66.04381;11.91566
2030;677.83827;0.00000;84.82196;161.21879;152.05632;283.61884;474.58799;1044.03399;89.53484;66.04381;11.91566
2031;669.93733;0.00000;84.82196;161.21879;152.05632;283.61884;469.05616;1031.86464;89.53484;66.04381;11.91566
2032;661.55384;0.00000;84.82196;161.21879;152.05632;283.61884;463.18646;1018.95206;89.53484;66.04381;11.91566
2033;652.66358;0.00000;84.82196;161.21879;152.05632;283.61884;456.96195;1005.25891;89.53484;66.04381;11.91566
2034;643.24185;0.00000;84.82196;161.21879;152.05632;283.61884;450.36534;990.74719;89.53484;66.04381;11.91566
2035;633.26364;0.00000;84.82196;161.21879;152.05632;283.61884;443.37910;975.37834;89.53484;66.04381;11.91566
2036;622.70372;0.00000;84.82196;161.21879;152.05632;283.61884;435.98557;959.11351;89.53484;66.04381;11.91566
2037;611.53683;0.00000;84.82196;161.21879;152.05632;283.61884;428.16709;941.91382;89.53484;66.04381;11.91566
2038;599.73789;0.00000;84.82196;161.21879;152.05632;283.61884;419.90607;923.74062;89.53484;66.04381;11.91566
2039;587.28221;0.00000;84.82196;161.21879;152.05632;283.61884;411.18523;904.55588;89.53484;66.04381;11.91566
2040;574.14576;0.00000;84.82196;161.21879;152.05632;283.61884;401.98775;884.32257;89.53484;66.04381;11.91566
2041;560.30544;0.00000;84.82196;161.21879;152.05632;283.61884;392.29746;863.00516;89.53484;66.04381;11.91566
2042;545.73948;0.00000;84.82196;161.21879;152.05632;283.61884;382.09912;840.57008;89.53484;66.04381;11.91566
2043;530.42779;0.00000;84.82196;161.21879;152.05632;283.61884;371.37865;816.98639;89.53484;66.04381;11.91566
2044;514.35236;0.00000;84.82196;161.21879;152.05632;283.61884;360.12345;792.22637;89.53484;66.04381;11.91566
2045;497.49780;0.00000;84.82196;161.21879;152.05632;283.61884;348.32274;766.26629;89.53484;66.04381;11.91566
2046;479.85180;0.00000;84.82196;161.21879;152.05632;283.61884;335.96790;739.08719;89.53484;66.04381;11.91566
2047;461.40571;0.00000;84.82196;161.21879;152.05632;283.61884;323.05289;710.67578;89.53484;66.04381;11.91566
2048;442.15518;0.00000;84.82196;161.21879;152.05632;283.61884;309.57464;681.02534;89.53484;66.04381;11.91566
2049;422.10078;0.00000;84.82196;161.21879;152.05632;283.61884;295.53357;650.13674;89.53484;66.04381;11.91566
2050;401.24870;0.00000;84.82196;161.21879;152.05632;283.61884;280.93400;618.01953;89.53484;66.04381;11.91566
2051;379.61146;0.00000;84.82196;161.21879;152.05632;283.61884;265.78470;584.69297;89.53484;66.04381;11.91566
2052;357.31634;0.00000;84.82196;161.21879;152.05632;253.06519;280.37946;550.35311;89.53484;66.04381;11.91566
2053;334.66544;0.00000;84.82196;161.21879;152.05632;268.34201;247.65547;515.46528;89.53484;66.04381;11.91566
2054;311.28001;0.00000;84.82196;161.21879;152.05632;234.12312;264.01747;479.44609;89.53484;66.04381;11.91566
2055;287.70493;0.00000;84.82196;161.21879;152.05632;251.23257;227.40348;443.13480;89.53484;66.04381;11.91566
2056;263.53504;0.00000;84.82196;161.21879;152.05632;212.98079;245.71047;405.90736;89.53484;66.04381;11.91566
2057;239.39905;0.00000;84.82196;161.21879;152.05632;232.10668;204.81442;368.73213;89.53484;66.04381;11.91566
2058;214.86427;0.00000;84.82196;161.21879;152.05632;189.40923;225.26244;330.94266;89.53484;66.04381;11.91566
2059;190.65314;0.00000;84.82196;161.21879;152.05632;210.75795;179.63283;293.65169;89.53484;66.04381;11.91566
2060;166.30385;0.00000;84.82196;161.21879;152.05632;163.12305;202.44764;256.14794;89.53484;66.04381;11.91566
2061;142.64440;0.00000;84.82196;161.21879;152.05632;186.94050;151.52248;219.70669;89.53484;66.04381;11.91566
2062;166.61507;0.00000;84.82196;161.21879;152.05632;134.61112;127.44245;184.79080;89.53484;66.04381;11.91566
2063;113.78404;0.00000;84.82196;110.09884;152.05632;160.77581;152.21375;150.72566;89.53484;66.04381;11.91566
2064;140.19955;0.00000;84.82196;135.65881;152.05632;104.89866;99.31232;121.17184;89.53484;66.04381;11.91566
2065;89.58741;0.00000;84.82196;135.65881;97.16387;132.83723;125.76304;98.05098;89.53484;66.04381;11.91566
