Year;Agriculture;Land Usage;Waste;Buildings;Industry;Transport;Manufacture;Eletricity and Heat;Fugitive;Other Fuels;Bunker Fuels
2016;364.19046;-406.29936;135.20008;518.70950;221.21658;1756.18610;437.19270;2243.24080;360.42620;48.73590;125.64110
2016;374.65519;-220.18819;131.02931;501.94020;222.01964;1768.30190;442.31250;2154.19080;334.95000;46.84620;138.11830
2017;373.32841;-218.98694;132.13475;503.03070;227.96190;1780.84470;432.70050;2072.96310;352.25200;46.02750;149.61990
2018;379.50252;-219.05629;133.24018;556.96890;231.67417;1820.21690;457.69000;2105.39610;402.78100;46.91240;140.91860
2019;377.25644;-220.19314;134.34561;557.57480;238.66644;1814.99130;442.60200;1965.92210;447.41630;39.89860;150.17250
2020;379.68042;-216.05036;135.45104;512.15609;243.51871;1542.52020;440.81090;1753.99669;402.03450;36.93590;97.07290
2021;379.68042;-216.05036;135.45104;511.80255;243.51871;1541.45538;440.81090;1752.78588;402.03450;36.93590;97.07290
2021;378.84725;0.00000;134.99804;514.10280;241.00134;1589.13234;441.80321;1804.60532;404.49985;38.55310;109.18051
2022;378.84725;0.00000;134.99804;510.70158;241.00134;1578.61891;441.80321;1792.66637;404.49985;38.55310;109.18051
2023;378.84725;0.00000;134.99804;507.07879;241.00134;1567.42058;441.80321;1779.94963;404.49985;38.55310;109.18051
2024;378.84725;0.00000;134.99804;503.22121;241.00134;1555.49651;441.80321;1766.40875;404.49985;38.55310;109.18051
2025;378.84725;0.00000;134.99804;499.11504;241.00134;1542.80401;441.80321;1751.99526;404.49985;38.55310;109.18051
2026;378.84725;0.00000;134.99804;494.74586;241.00134;1529.29850;441.80321;1736.65852;404.49985;38.55310;109.18051
2027;378.84725;0.00000;134.99804;490.09862;241.00134;1514.93354;441.80321;1720.34579;404.49985;38.55310;109.18051
2028;378.84725;0.00000;134.99804;485.15772;241.00134;1499.66082;441.80321;1703.00221;404.49985;38.55310;109.18051
2029;378.84725;0.00000;134.99804;479.90695;241.00134;1483.43026;441.80321;1684.57093;404.49985;38.55310;109.18051
2030;378.84725;0.00000;134.99804;474.32955;241.00134;1466.19009;441.80321;1664.99313;404.49985;38.55310;109.18051
2031;378.84725;0.00000;134.99804;468.40825;241.00134;1447.88690;441.80321;1644.20818;404.49985;38.55310;109.18051
2032;378.84725;0.00000;134.99804;462.12532;241.00134;1428.46584;441.80321;1622.15380;404.49985;38.55310;109.18051
2033;378.84725;0.00000;134.99804;455.46258;241.00134;1407.87080;441.80321;1598.76624;404.49985;38.55310;109.18051
2034;378.84725;0.00000;134.99804;448.40154;241.00134;1386.04458;441.80321;1573.98057;404.49985;38.55310;109.18051
2035;378.84725;0.00000;134.99804;440.92345;241.00134;1362.92920;441.80321;1547.73094;404.49985;38.55310;109.18051
2036;378.84725;0.00000;134.99804;433.00940;241.00134;1338.46625;441.80321;1519.95102;404.49985;38.55310;109.18051
2037;378.84725;0.00000;134.99804;440.50616;241.00134;1312.61621;425.89697;1490.59593;404.49985;38.55310;109.18051
2038;378.84725;0.00000;134.99804;423.46428;241.00134;1285.39824;433.85009;1459.68743;404.49985;38.55310;109.18051
2039;378.84725;0.00000;134.99804;431.98522;241.00134;1256.64454;415.77879;1427.03497;404.49985;38.55310;109.18051
2040;378.84725;0.00000;134.99804;412.63267;241.00134;1226.43379;424.81444;1392.72790;404.49985;38.55310;109.18051
2041;378.84725;0.00000;134.99804;422.30894;241.00134;1194.58827;404.30279;1356.56439;404.49985;38.55310;109.18051
2042;378.84725;0.00000;134.99804;400.35400;241.00134;1161.21155;414.55861;1318.66207;404.49985;38.55310;109.18051
2043;378.84725;0.00000;134.99804;411.33147;241.00134;1126.11776;391.30071;1278.80986;404.49985;38.55310;109.18051
2044;378.84725;0.00000;134.99804;386.45022;241.00134;1089.44179;402.92966;1237.16094;404.49985;38.55310;109.18051
2045;378.84725;0.00000;134.99804;398.89084;241.00134;1051.03331;402.92966;1193.54459;378.06834;38.55310;109.18051
2046;378.84725;0.00000;134.99804;398.89084;241.00134;1011.07694;374.52005;1148.17047;391.28410;38.55310;109.18051
2047;378.84725;0.00000;134.99804;368.49349;241.00134;969.45398;388.72486;1100.90379;391.28410;38.55310;109.18051
2048;378.84725;0.00000;134.99804;383.69217;241.00134;926.11084;388.72486;1051.68369;358.98380;38.55310;109.18051
2049;378.84725;0.00000;134.99804;383.69217;241.00134;881.31482;353.99645;1000.81370;375.13395;38.55310;109.18051
2050;378.84725;0.00000;134.99804;346.51717;241.00134;834.96810;371.36065;948.18275;375.13395;38.55310;109.18051
2051;338.99351;0.00000;134.99804;365.10467;241.00134;787.20847;371.36065;893.94732;375.13395;38.55310;109.18051
2052;358.92038;0.00000;134.99804;365.10467;241.00134;738.19900;371.36065;838.29257;332.24873;38.55310;109.18051
2053;358.92038;0.00000;134.99804;365.10467;241.00134;688.06526;325.15540;781.36112;353.69134;38.55310;109.18051
2054;358.92038;0.00000;134.99804;315.51819;241.00134;636.86415;348.25802;723.21758;353.69134;38.55310;109.18051
2055;305.60163;0.00000;134.99804;340.31143;241.00134;584.86615;348.25802;664.16908;353.69134;38.55310;109.18051
2056;332.26101;0.00000;134.99804;340.31143;241.00134;532.37995;348.25802;604.56619;296.11876;38.55310;109.18051
2057;332.26101;0.00000;134.99804;340.31143;241.00134;479.67052;285.97754;544.70981;324.90505;38.55310;109.18051
2058;332.26101;0.00000;134.99804;273.14321;241.00134;426.91908;317.11778;484.80572;324.90505;38.55310;109.18051
2059;259.61562;0.00000;134.99804;306.72732;241.00134;374.59248;317.11778;425.38407;324.90505;38.55310;109.18051
2060;295.93831;0.00000;134.99804;306.72732;241.00134;323.21337;317.11778;367.03839;245.93274;38.55310;109.18051
2061;295.93831;0.00000;134.99804;306.72732;241.00134;273.25354;231.00996;310.30442;285.41889;38.55310;109.18051
2062;295.93831;0.00000;134.99804;212.96762;241.00134;225.08574;274.06387;255.60548;285.41889;38.55310;109.18051
2063;194.62845;0.00000;134.99804;259.84747;241.00134;274.63312;274.06387;205.10688;187.71019;38.55310;109.18051
2064;245.28338;0.00000;134.99804;161.92077;241.00134;171.13427;170.77954;258.48897;236.56454;38.55310;109.18051
2065;152.12486;0.00000;134.99804;210.88412;149.46914;222.88369;222.42171;160.31497;236.56454;38.55310;109.18051
2066;198.70412;0.00000;134.99804;210.88412;195.23524;125.01449;124.75536;209.40197;132.68802;38.55310;109.18051
2067;104.51607;0.00000;134.99804;110.92261;195.23524;173.94909;173.58853;110.14302;184.62628;38.55310;109.18051
2068;151.61010;0.00000;134.99804;160.90336;94.52575;84.21978;173.58853;159.77249;89.38928;38.55310;109.18051
2069;151.61010;0.00000;134.99804;82.41354;144.88050;129.08443;88.91080;81.83432;137.00778;38.55310;109.18051
2070;90.14196;0.00000;134.99804;121.65845;86.14078;129.08443;131.24967;120.80341;81.45994;38.55310;109.18051
2071;120.87603;0.00000;68.39435;121.65845;115.51064;65.39833;66.49530;120.80341;109.23386;38.55310;109.18051
2072;54.24906;0.00000;101.69619;54.60021;115.51064;97.24138;98.87248;54.21646;109.23386;38.55310;109.18051
2073;87.56254;0.00000;101.69619;88.12933;49.82199;97.24138;98.87248;87.50994;47.11470;38.55310;47.09169
2074;87.56254;0.00000;45.86444;88.12933;82.66632;43.85534;44.59096;87.50994;78.17428;38.55310;78.13610
2075;51.63062;0.00000;73.78031;51.96482;82.66632;70.54836;71.73172;51.59960;78.17428;38.55310;78.13610
2076;69.59658;0.00000;73.78031;70.04707;40.78025;70.54836;71.73172;69.55477;38.56428;38.55310;38.54544
2077;69.59658;0.00000;30.91565;70.04707;61.72328;29.56138;30.05724;69.55477;58.36928;38.55310;58.34077
2078;29.58204;0.00000;52.34798;29.77352;61.72328;50.05487;50.89448;29.56427;58.36928;38.55310;58.34077
2079;49.58931;0.00000;52.34798;49.91030;25.40572;50.05487;50.89448;49.55952;24.02519;38.55310;24.01346
2080;49.58931;0.00000;29.70900;49.91030;43.56450;28.40760;28.88410;49.55952;41.19723;38.55310;41.17711
2081;24.73937;0.00000;41.02849;24.89951;43.56450;39.23123;39.88929;24.72451;41.19723;38.55310;41.17711
2082;37.16434;0.00000;41.02849;37.40490;16.65516;39.23123;39.88929;37.14201;15.75013;38.55310;15.74243
2083;37.16434;0.00000;15.44793;37.40490;30.10983;14.77123;15.01900;37.14201;28.47368;38.55310;28.45977
2084;15.54452;0.00000;28.23821;15.64514;30.10983;27.00123;27.45414;37.14201;28.47368;16.12539;28.45977
2085;26.35443;0.00000;28.23821;26.52502;17.31703;27.00123;27.45414;21.36144;16.37603;27.33925;28.45977
2086;26.35443;0.00000;13.14637;26.52502;23.71343;27.00123;27.45414;13.61821;22.42486;27.33925;13.24952
2087;26.35443;0.00000;20.69229;26.52502;23.71343;11.17360;11.36103;21.43497;22.42486;11.31348;20.85465
2088;10.42931;0.00000;20.69229;10.49682;9.38418;19.08742;19.40759;21.43497;22.42486;19.32636;20.85465
2089;18.39187;0.00000;20.69229;18.51092;16.54880;19.08742;19.40759;7.92670;8.29277;19.32636;7.71210
2090;18.39187;0.00000;12.00693;18.51092;16.54880;19.08742;11.26147;14.68084;15.35881;11.21434;14.28337
2091;9.12662;0.00000;16.34961;9.18569;16.54880;9.47177;15.33453;14.68084;15.35881;15.27035;14.28337
2092;13.75924;0.00000;6.36403;13.84831;6.44156;14.27959;15.33453;14.68084;5.97836;15.27035;14.28337
2093;13.75924;0.00000;11.35682;13.84831;11.49518;14.27959;5.68937;5.44684;10.66859;5.66556;14.28337
2094;13.75924;0.00000;11.35682;5.64055;11.49518;5.81622;10.51195;10.06384;10.66859;10.46796;5.81776
2095;8.01081;0.00000;6.61209;9.74443;6.69265;10.04791;10.51195;10.06384;10.66859;10.46796;10.05057
2096;5.01009;0.00000;8.98445;9.74443;9.09391;10.04791;4.83837;10.06384;4.91047;10.46796;10.05057
2097;7.94756;0.00000;8.98445;9.74443;9.09391;10.04791;7.67516;4.10961;7.78953;4.27464;4.10419
2098;7.94756;0.00000;8.98445;3.84214;3.58565;3.96180;7.67516;7.08673;7.78953;7.37130;7.07738
2099;2.98003;0.00000;3.36883;6.79328;6.33978;7.00485;7.67516;7.08673;2.92077;7.37130;7.07738
2100;5.46379;0.00000;6.17664;6.79328;6.33978;7.00485;4.42283;4.08374;5.35515;4.24772;7.07738
