Year;BRA;COD;AGO;TZA;MOZ;MMR
0;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
1;-18027.00000;-11013.80000;-5550.70000;-4690.00000;-3117.10000;-2897.10000
2;-37932.00000;-22027.50000;-11101.20000;-9380.00000;-5334.00000;-5794.20000
3;-48334.00000;-33041.30000;-16651.80000;-14070.00000;-7158.32000;-8691.30000
4;-60863.00000;-44055.10000;-22202.50000;-18760.00000;-9738.90000;-11588.40000
5;-72652.00000;-55068.80000;-27753.10000;-23450.00000;-11962.40000;-14485.50000
6;-59267.63736;-51075.73898;-33303.72500;-28140.00000;-14280.71000;-17382.60000
7;-45444.14569;-46962.46252;-38854.35000;-32830.00000;-16599.02000;-20279.70000
8;-31085.33111;-42678.63898;-44404.97500;-37520.00000;-18917.33000;-23176.80000
9;-16216.77081;-38242.73738;-49955.60000;-42210.00000;-21235.64000;-26073.90000
10;-823.04455;-33650.15722;-55506.22500;-46900.00000;-23553.95000;-28971.00000
11;15111.51547;-28896.22415;-61056.85000;-51590.00000;-25872.26000;-31868.10000
12;31602.80869;-23976.19474;-66607.47500;-56280.00000;-28190.57000;-34765.20000
13;48666.94798;-18885.26184;-72158.10000;-60970.00000;-30508.88000;-37662.30000
14;66320.23902;-13618.56079;-77708.72500;-65660.00000;-32827.19000;-40559.40000
15;84579.15715;-8171.17634;-83259.35000;-70350.00000;-35145.50000;-43456.50000
16;103460.32137;-2538.15034;-88809.97500;-75040.00000;-37463.81000;-46353.60000
17;122980.46542;3285.50955;-94360.60000;-79730.00000;-39782.12000;-49250.70000
18;143156.40571;9304.82037;-99911.22500;-84420.00000;-42100.43000;-52147.80000
19;164005.00592;15524.81325;-105461.85000;-89110.00000;-44418.74000;-55044.90000
20;185543.13802;21950.52178;-111012.47500;-93800.00000;-46737.05000;-57942.00000
21;207787.63957;28586.96930;-116563.10000;-98490.00000;-49055.36000;-60839.10000
22;230755.26704;35439.15495;-122113.72500;-103180.00000;-51373.67000;-63736.20000
23;254462.64500;42512.03852;-127664.35000;-107870.00000;-53691.98000;-66633.30000
24;278926.21088;49810.52398;-133214.97500;-112560.00000;-56010.29000;-69530.40000
25;302650.11434;57339.44163;-138765.60000;-117250.00000;-58328.60000;-72427.50000
26;326374.01779;65103.52884;-144316.22500;-121940.00000;-60646.91000;-75324.60000
27;350097.92124;73107.40932;-149866.85000;-126630.00000;-62965.22000;-78221.70000
28;373821.82469;81355.57084;-155417.47500;-131320.00000;-65283.53000;-81118.80000
29;397545.72815;89852.34133;-160968.10000;-136010.00000;-67601.84000;-84015.90000
30;421269.63160;98601.86340;-166518.72500;-140700.00000;-69920.15000;-86913.00000
31;444993.53505;107608.06719;-172069.35000;-145390.00000;-72238.46000;-89810.10000
32;468717.43850;116874.64142;-177619.97500;-150080.00000;-74556.77000;-92707.20000
