Year;CO2 Concentration;CO2 ConcentrationPPM;Forest Area;Global Temperature
2015;3115320.00000;399.40000;40618147.96000;0.90000
2016;3135211.63507;401.95021;40585448.45800;0.93685
2017;3155607.97159;404.56512;40516927.45900;0.97439
2018;3176511.04046;407.24501;40468442.34200;1.01262
2019;3198322.74244;410.04138;40417501.40000;1.05224
2020;3220411.81722;412.87331;40368318.10000;1.09210
2021;3240456.10003;415.44309;40524925.09880;1.12802
2022;3260418.00662;418.00231;40683587.42611;1.16357
2023;3282045.12294;420.77502;40849893.10337;1.20185
2024;3303489.29599;423.52427;41022198.97559;1.23955
2025;3324742.85149;426.24908;41194473.08717;1.27668
2026;3345797.14599;428.94835;41376200.29656;1.31322
2027;3366640.45683;431.62057;41574019.65559;1.34917
2028;3387261.30568;434.26427;41777154.70339;1.38452
2029;3407649.15131;436.87810;41987954.06242;1.41926
2030;3427793.28873;439.46068;42202182.53508;1.45337
2031;3447682.31519;442.01055;42425332.28277;1.48685
2032;3467302.55629;444.52597;42662603.85695;1.51969
2033;3486640.05419;447.00514;42907340.14425;1.55188
2034;3505681.37435;449.44633;43159778.53406;1.58339
2035;3524413.04178;451.84783;43416590.57934;1.61423
2036;3542821.70802;454.20791;43676942.03506;1.64437
2037;3560890.56653;456.52443;43959205.75792;1.67380
2038;3578601.32071;458.79504;44250565.04194;1.70251
2039;3595938.09485;461.01770;44545715.37801;1.73046
2040;3612854.91537;463.18653;44846969.59389;1.75761
2041;3629347.60106;465.30097;45158213.97700;1.78395
2042;3645395.16292;467.35835;45487830.65877;1.80947
2043;3660976.13100;469.35591;45827026.42958;1.83414
2044;3676072.35083;471.29133;46161369.21688;1.85793
2045;3690666.04382;473.16231;46500145.32460;1.88084
2046;3704737.36528;474.96633;46844142.14347;1.90284
2047;3718260.54509;476.70007;47225971.34375;1.92391
2048;3731209.34893;478.36017;47614485.06355;1.94401
2049;3743564.42050;479.94416;47997885.88278;1.96311
2050;3755305.71154;481.44945;48391657.34963;1.98121
2051;3766414.21600;482.87362;48774171.97877;1.99828
2052;3776864.66642;484.21342;49206130.50912;2.01430
2053;3786630.08657;485.46540;49639121.94519;2.02922
2054;3795692.21679;486.62721;50071825.39262;2.04303
2055;3804033.49389;487.69660;50505604.71593;2.05571
2056;3811647.44687;488.67275;50877032.57674;2.06726
2057;3818510.05894;489.55257;51363106.54560;2.07765
2058;3824589.50132;490.33199;51842222.07029;2.08684
2059;3829875.43706;491.00967;52315708.82078;2.09481
2060;3834360.85832;491.58473;52773466.73141;2.10157
2061;3838043.41479;492.05685;53210418.75308;2.10711
2062;3840904.64617;492.42367;53744127.13345;2.11142
2063;3842927.82286;492.68305;54262793.30213;2.11446
2064;3844114.61648;492.83521;54784707.74483;2.11624
2065;3844476.20352;492.88156;55253266.96368;2.11678
2066;3844025.54332;492.82379;55734927.56154;2.11610
2067;3842833.04171;492.67090;56339190.20209;2.11431
2068;3840764.35462;492.40569;56921008.77636;2.11121
2069;3837887.08841;492.03681;57494258.25077;2.10688
2070;3834227.13793;491.56758;58047749.59472;2.10138
2071;3829970.16130;491.02182;58565096.23614;2.09497
2072;3825198.60095;490.41008;59186113.44240;2.08779
2073;3819719.49289;489.70763;59798048.86932;2.07952
2074;3813567.48277;488.91891;60374217.32972;2.07022
2075;3806820.70392;488.05394;60923793.06268;2.06002
2076;3799584.11739;487.12617;61494180.53981;2.04905
2077;3791916.02212;486.14308;62126102.51145;2.03740
2078;3783677.12662;485.08681;62758635.64827;2.02486
2079;3774892.55698;483.96058;63357100.49818;2.01146
2080;3765605.43501;482.76993;63903760.86260;1.99727
2081;3755906.88887;481.52652;64481327.44650;1.98240
2082;3745874.91480;480.24037;65117980.00879;1.96699
2083;3735384.00180;478.89538;65752949.33305;1.95083
2084;3724452.95582;477.49397;66347421.58785;1.93394
2085;3713131.50251;476.04250;66878706.65344;1.91640
2086;3701476.53618;474.54827;67445946.87186;1.89828
2087;3689498.16733;473.01259;68035522.47246;1.87961
2088;3676859.39585;471.39223;68625783.43093;1.85984
2089;3663711.29203;469.70658;69210416.74852;1.83920
2090;3650105.05980;467.96219;69795050.06612;1.81777
2091;3636117.17928;466.16887;70379683.38372;1.79566
2092;3621782.16869;464.33105;70964316.70132;1.77291
2093;3607017.96478;462.43820;71548950.01892;1.74938
2094;3591838.45880;460.49211;72133583.33652;1.72510
2095;3576277.58320;458.49713;72718216.65412;1.70010
2096;3560388.21393;456.46003;73302854.21882;1.67446
2097;3544248.04444;454.39077;73887491.92392;1.64830
2098;3527772.14844;452.27848;74472194.09902;1.62147
2099;3510966.62330;450.12393;75057599.30412;1.59398
2100;3493850.32190;447.92953;75643004.50922;1.56585
2101;3476454.43381;445.69929;76228409.71431;1.53711
