Year;Agriculture;Land Usage;Waste;Buildings;Industry;Transport;Manufacture;Eletricity and Heat;Fugitive;Other Fuels;Bunker Fuels
2016;496.58607;276.14044;68.21765;22.76150;33.88020;207.97040;98.48720;124.01510;35.09690;19.44410;20.05900
2016;498.28323;394.85836;68.88542;22.85040;31.64134;206.17270;88.98180;99.42480;35.50860;18.98500;17.86340
2017;502.98291;400.35942;69.55319;23.06480;29.86247;207.54460;95.11670;102.67120;36.20120;20.43760;17.55620
2018;492.98695;389.15771;70.22096;23.24810;30.55361;199.07990;91.93290;93.30410;34.98900;20.01480;16.90000
2019;504.85816;397.89866;70.88874;23.13060;31.53474;200.58560;88.36280;92.49300;37.39480;20.39510;18.12790
2020;518.66242;405.31228;71.55651;23.66520;34.27588;189.68300;82.53080;86.68030;37.16970;20.71510;15.11720
2021;518.66242;405.31228;71.55651;23.66520;34.27588;189.68300;82.53080;86.68030;37.16970;20.71510;15.11720
2021;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2022;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2023;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2024;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2025;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2026;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2027;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2028;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2029;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2030;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2031;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2032;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2033;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2034;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2035;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2036;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2037;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2038;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2039;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2040;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2041;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2042;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2043;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2044;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2045;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2046;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2047;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2048;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2049;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2050;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2051;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2052;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2053;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2054;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2055;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2056;493.24793;384.71421;71.23306;23.52669;33.51533;184.88897;84.59086;89.10308;36.97294;20.57577;15.80131
2057;482.07007;375.99591;71.23306;23.52669;33.51533;180.69906;84.59086;89.10308;36.97294;20.57577;15.80131
2058;470.52904;366.99436;71.23306;23.52669;33.51533;176.37302;84.59086;89.10308;36.97294;20.57577;15.80131
2059;458.62314;357.70822;71.23306;23.52669;33.51533;171.91022;84.59086;89.10308;36.97294;20.57577;15.80131
2060;446.35181;348.13706;71.23306;23.52669;33.51533;167.31044;84.59086;89.10308;36.97294;20.57577;15.80131
2061;433.71570;338.28138;71.23306;23.52669;33.51533;162.57392;84.59086;89.10308;36.97294;20.57577;15.80131
2062;420.71678;328.14273;71.23306;23.52669;33.51533;157.70141;84.59086;89.10308;36.97294;20.57577;15.80131
2063;407.35850;317.72379;71.23306;23.52669;33.51533;152.69419;84.59086;89.10308;36.97294;20.57577;15.80131
2064;393.64588;307.02849;71.23306;23.52669;33.51533;147.55416;84.59086;89.10308;36.97294;20.57577;15.80131
2065;379.58565;296.06205;71.23306;23.52669;33.51533;142.28382;84.59086;89.10308;36.97294;20.57577;15.80131
2066;365.18636;284.83117;71.23306;23.52669;33.51533;136.88639;84.59086;89.10308;36.97294;20.57577;15.80131
2067;350.45851;273.34401;71.23306;23.52669;33.51533;131.36581;84.59086;89.10308;36.97294;20.57577;15.80131
2068;335.41465;261.61039;71.23306;23.52669;33.51533;125.72677;84.59086;89.10308;36.97294;20.57577;15.80131
2069;320.06953;249.64179;71.23306;23.52669;33.51533;119.97481;84.59086;89.10308;36.97294;20.57577;15.80131
2070;304.44017;237.45150;71.23306;23.52669;33.51533;114.11630;84.59086;89.10308;36.97294;20.57577;15.80131
2071;288.54596;225.05463;71.23306;23.52669;33.51533;108.15852;84.59086;89.10308;36.97294;20.57577;15.80131
2072;272.40875;212.46824;71.23306;23.52669;33.51533;102.10965;84.59086;89.10308;36.97294;20.57577;15.80131
2073;256.05292;199.71133;71.23306;23.52669;33.51533;95.97883;84.59086;89.10308;36.97294;20.57577;15.80131
2074;239.50540;186.80490;71.23306;23.52669;33.51533;89.77616;84.59086;89.10308;36.97294;20.57577;15.80131
2075;222.79572;173.77200;71.23306;23.52669;33.51533;83.51271;84.59086;89.10308;36.97294;20.57577;15.80131
2076;205.95599;160.63767;71.23306;23.52669;33.51533;77.20051;84.59086;89.10308;36.97294;20.57577;15.80131
2077;189.41216;147.73413;71.23306;23.52669;33.51533;83.45289;84.59086;75.80624;36.97294;20.57577;15.80131
2078;172.77473;134.75757;71.23306;23.52669;33.51533;83.45289;70.93907;82.45466;36.97294;20.57577;15.80131
2079;156.49138;122.05719;71.23306;23.52669;33.51533;68.95299;77.76496;82.45466;36.97294;20.57577;15.80131
2080;140.53316;109.61040;71.23306;23.52669;33.51533;76.20294;77.76496;67.00157;36.97294;20.57577;15.80131
2081;124.65065;97.22266;71.23306;23.52669;33.51533;76.20294;61.84444;74.72811;36.97294;20.57577;15.80131
2082;109.36258;85.29856;71.23306;23.52669;33.51533;59.23275;69.80470;74.72811;36.97294;20.57577;15.80131
