Year;Agriculture;Land Usage;Waste;Buildings;Industry;Transport;Manufacture;Eletricity and Heat;Fugitive;Other Fuels;Bunker Fuels
2016;699.38291;-707.50924;179.68254;561.82790;1075.58180;850.56990;3011.92750;4616.43800;479.77150;208.90130;53.68550
2016;698.71310;-647.38540;185.64600;567.83260;1106.88400;868.04300;2874.15480;4721.34930;444.09920;208.86400;57.60020
2017;684.71597;-647.64169;191.60945;574.10350;1128.58621;901.29690;2709.47870;5060.65690;453.49880;200.21570;62.10920
2018;674.22459;-647.35159;197.57291;534.90150;1150.08841;976.43950;2802.77360;5408.04670;478.12400;177.98210;69.43580
2019;627.50487;-647.27929;203.53637;499.55230;1213.39062;970.37900;2806.36280;5618.73880;496.91020;164.50000;69.80470
2020;632.54812;-647.24490;209.49983;493.57750;1244.73712;926.87770;2846.09815;5678.93991;509.92650;163.83120;55.02330
2021;632.54812;-647.24490;209.49983;493.57750;1244.34934;926.87770;2845.21148;5677.17069;509.92650;163.83120;55.02330
2021;638.23086;0.00000;206.61128;501.65019;1217.41950;932.50197;2816.23723;5562.21953;503.04872;167.34410;58.01255
2022;638.23086;0.00000;206.61128;501.65019;1212.57041;932.50197;2805.01992;5540.06474;503.04872;167.34410;58.01255
2023;638.23086;0.00000;206.61128;501.65019;1207.49425;932.50197;2793.27731;5516.87246;503.04872;167.34410;58.01255
2024;638.23086;0.00000;206.61128;501.65019;1202.18118;932.50197;2780.98667;5492.59779;503.04872;167.34410;58.01255
2025;638.23086;0.00000;206.61128;501.65019;1196.62103;932.50197;2768.12447;5467.19426;503.04872;167.34410;58.01255
2026;638.23086;0.00000;206.61128;501.65019;1190.80329;932.50197;2754.66638;5440.61380;503.04872;167.34410;58.01255
2027;638.23086;0.00000;206.61128;501.65019;1184.71708;932.50197;2740.58726;5412.80678;503.04872;167.34410;58.01255
2028;638.23086;0.00000;206.61128;501.65019;1178.35120;932.50197;2725.86116;5383.72195;503.04872;167.34410;58.01255
2029;638.23086;0.00000;206.61128;501.65019;1171.69408;932.50197;2710.46134;5353.30648;503.04872;167.34410;58.01255
2030;638.23086;0.00000;206.61128;501.65019;1164.73380;932.50197;2694.36025;5321.50597;503.04872;167.34410;58.01255
2031;638.23086;0.00000;206.61128;501.65019;1157.45813;932.50197;2677.52955;5288.26442;503.04872;167.34410;58.01255
2032;638.23086;0.00000;206.61128;501.65019;1149.85447;932.50197;2659.94012;5253.52435;503.04872;167.34410;58.01255
2033;638.23086;0.00000;206.61128;501.65019;1141.90990;932.50197;2641.56208;5217.22674;503.04872;167.34410;58.01255
2034;638.23086;0.00000;206.61128;501.65019;1133.61120;932.50197;2622.36483;5179.31114;503.04872;167.34410;58.01255
2035;638.23086;0.00000;206.61128;501.65019;1124.94483;932.50197;2602.31705;5139.71571;503.04872;167.34410;58.01255
2036;638.23086;0.00000;206.61128;501.65019;1115.89697;932.50197;2581.38679;5098.37732;503.04872;167.34410;58.01255
2037;638.23086;0.00000;206.61128;501.65019;1106.45354;932.50197;2559.54145;5055.23160;503.04872;167.34410;58.01255
2038;638.23086;0.00000;206.61128;501.65019;1096.60021;932.50197;2536.74789;5010.21310;503.04872;167.34410;58.01255
2039;638.23086;0.00000;206.61128;501.65019;1086.32243;932.50197;2512.97247;4963.25536;503.04872;167.34410;58.01255
2040;638.23086;0.00000;206.61128;501.65019;1075.60548;932.50197;2488.18112;4914.29113;503.04872;167.34410;58.01255
2041;638.23086;0.00000;206.61128;501.65019;1064.43450;932.50197;2462.33946;4863.25246;503.04872;167.34410;58.01255
2042;638.23086;0.00000;206.61128;501.65019;1052.79451;932.50197;2435.41286;4810.07098;503.04872;167.34410;58.01255
2043;638.23086;0.00000;206.61128;501.65019;1040.67049;932.50197;2407.36656;4754.67803;503.04872;167.34410;58.01255
2044;638.23086;0.00000;206.61128;501.65019;1028.04742;932.50197;2378.16581;4697.00499;503.04872;167.34410;58.01255
2045;638.23086;0.00000;206.61128;501.65019;1014.91034;932.50197;2347.77601;4636.98351;503.04872;167.34410;58.01255
2046;638.23086;0.00000;206.61128;501.65019;1001.24442;932.50197;2316.16285;4574.54582;503.04872;167.34410;58.01255
2047;638.23086;0.00000;206.61128;501.65019;987.03503;932.50197;2283.29249;4509.62510;503.04872;167.34410;58.01255
2048;638.23086;0.00000;206.61128;501.65019;972.26783;932.50197;2249.13177;4442.15585;503.04872;167.34410;58.01255
2049;638.23086;0.00000;206.61128;501.65019;956.92887;932.50197;2213.64840;4372.07429;503.04872;167.34410;58.01255
2050;638.23086;0.00000;206.61128;501.65019;941.00467;932.50197;2176.81120;4299.31884;503.04872;167.34410;58.01255
2051;638.23086;0.00000;206.61128;501.65019;924.48234;932.50197;2138.59035;4223.83062;503.04872;167.34410;58.01255
2052;638.23086;0.00000;206.61128;501.65019;907.34970;932.50197;2098.95768;4145.55397;503.04872;167.34410;58.01255
2053;638.23086;0.00000;206.61128;501.65019;923.88481;897.93365;2057.98070;4064.62223;503.04872;167.34410;58.01255
2054;638.23086;0.00000;206.61128;501.65019;887.76930;915.21781;2015.59750;3980.91313;503.04872;167.34410;58.01255
2055;638.23086;0.00000;206.61128;501.65019;905.82706;877.48220;1971.79984;3894.41042;503.04872;167.34410;58.01255
2056;638.23086;0.00000;206.61128;501.65019;866.41973;896.35001;1926.57174;3805.08248;503.04872;167.34410;58.01255
2057;638.23086;0.00000;206.61128;501.65019;886.12339;855.19350;1879.91329;3712.92955;503.04872;167.34410;58.01255
2058;638.23086;0.00000;206.61128;501.65019;843.16363;875.77175;1831.81674;3617.93629;503.04872;167.34410;58.01255
2059;638.23086;0.00000;206.61128;501.65019;864.64351;830.92661;1782.29249;3520.12324;503.04872;167.34410;58.01255
2060;638.23086;0.00000;206.61128;501.65019;817.85649;853.34918;1731.34296;3419.49518;503.04872;167.34410;58.01255
2061;638.23086;0.00000;206.61128;501.65019;841.25000;804.53337;1678.99099;3316.09722;503.04872;167.34410;58.01255
2062;638.23086;0.00000;206.61128;501.65019;790.34651;828.94128;1625.25132;3209.95850;503.04872;167.34410;58.01255
2063;638.23086;0.00000;206.61128;501.65019;815.79826;775.85818;1570.16155;3101.15325;503.04872;167.34410;58.01255
2064;638.23086;0.00000;206.61128;501.65019;760.47417;802.39973;1513.75107;2989.73953;503.04872;167.34410;58.01255
2065;638.23086;0.00000;206.61128;501.65019;788.13621;744.73736;1456.07468;2875.82556;503.04872;167.34410;58.01255
2066;638.23086;0.00000;206.61128;501.65019;728.07138;773.56855;1397.17880;2759.50305;503.04872;167.34410;58.01255
2067;638.23086;0.00000;206.61128;501.65019;758.10380;710.99792;1337.13798;2640.91920;503.04872;167.34410;58.01255
2068;638.23086;0.00000;206.61128;501.65019;692.95969;742.28323;1276.01814;2520.20424;503.04872;167.34410;58.01255
2069;638.23086;0.00000;206.61128;501.65019;725.53175;674.45508;1213.91610;2397.54938;503.04872;167.34410;58.01255
2070;638.23086;0.00000;206.61128;501.65019;654.94700;708.36915;1150.91969;2273.12810;503.04872;167.34410;58.01255
2071;638.23086;0.00000;206.61128;501.65019;690.23937;634.90788;1087.15050;2147.18053;503.04872;167.34410;58.01255
2072;638.23086;0.00000;206.61128;501.65019;613.82161;671.63852;1022.72057;2019.92795;503.04872;167.34410;58.01255
2073;638.23086;0.00000;206.61128;501.65019;652.03049;592.13127;957.77859;1891.66408;503.04872;167.34410;58.01255
2074;638.23086;0.00000;206.61128;501.65019;569.34173;631.88490;892.46299;1762.66225;503.04872;167.34410;58.01255
2075;551.50232;0.00000;206.61128;501.65019;610.68611;631.88490;827.18906;1633.74275;503.04872;167.34410;58.01255
2076;594.86659;0.00000;206.61128;501.65019;610.68611;539.91705;762.37051;1505.72263;503.04872;167.34410;58.01255
2077;594.86659;0.00000;206.61128;501.65019;514.87440;585.90097;697.50371;1377.60723;503.04872;167.34410;58.01255
2078;494.17392;0.00000;206.61128;501.65019;562.78026;585.90097;633.35079;1250.90177;503.04872;167.34410;58.01255
2079;544.52025;0.00000;206.61128;501.65019;562.78026;478.88812;570.41165;1126.59358;503.04872;167.34410;58.01255
2080;544.52025;0.00000;206.61128;501.65019;450.95505;532.39455;508.13875;1003.60129;503.04872;167.34410;58.01255
2081;426.57947;0.00000;206.61128;501.65019;506.86765;532.39455;447.43459;883.70730;503.04872;167.34410;58.01255
2082;485.54986;0.00000;206.61128;501.65019;506.86765;406.54660;388.90200;768.10229;503.04872;167.34410;58.01255
2083;485.54986;0.00000;206.61128;501.65019;378.41274;469.47058;449.09499;662.19862;375.56163;167.34410;58.01255
2084;354.33257;0.00000;206.61128;366.08187;442.64020;469.47058;449.09499;565.26308;439.30517;167.34410;58.01255
2085;419.94122;0.00000;206.61128;433.86603;442.64020;330.52746;316.18218;471.65801;439.30517;167.34410;58.01255
2086;419.94122;0.00000;206.61128;433.86603;301.64602;399.99902;382.63859;388.97828;299.37331;167.34410;58.01255
2087;277.00510;0.00000;206.61128;286.19030;372.14311;399.99902;382.63859;316.54612;369.33924;167.34410;58.01255
2088;348.47316;0.00000;206.61128;360.02816;372.14311;249.68001;238.84360;248.56696;369.33924;167.34410;58.01255
2089;348.47316;0.00000;206.61128;218.76520;226.12664;324.83951;310.74109;323.39141;224.42292;167.34410;58.01255
2090;213.72873;0.00000;206.61128;289.39668;299.13488;199.23353;310.74109;198.34536;296.88108;167.34410;58.01255
2091;281.10094;0.00000;206.61128;289.39668;164.56062;262.03652;170.94545;260.86839;163.32076;167.34410;58.01255
2092;148.60703;0.00000;206.61128;152.99266;231.84775;138.52842;240.84327;260.86839;230.10092;167.34410;58.01255
