Year;Agriculture;Land Usage;Waste;Buildings;Industry;Transport;Manufacture;Eletricity and Heat;Fugitive;Other Fuels;Bunker Fuels
2016;144.08734;1141.11631;127.28015;33.30080;30.20914;135.60140;102.22570;196.26450;103.47522;7.06440;4.94240
2016;140.75119;514.87459;129.46524;32.75110;34.57828;132.02310;86.85640;207.25030;105.26832;6.76650;5.36340
2017;149.78725;480.33218;131.65034;33.25450;35.05742;139.06040;92.53200;218.71770;107.10712;6.23200;5.71550
2018;155.08421;661.53039;133.83544;32.38610;37.13656;155.53500;113.12230;241.23590;113.25572;4.92400;5.83160
2019;151.05684;891.34746;136.02053;31.07070;36.68570;154.39910;148.33390;247.51940;119.62432;3.26690;5.21940
2020;152.66660;495.75967;138.20563;30.57670;33.04484;131.54550;132.43380;245.49678;111.53212;2.90860;2.31870
2021;152.60324;495.55393;138.20563;30.57670;33.04484;131.54550;132.43380;245.39490;111.53212;2.90860;2.31870
2021;150.82274;560.34374;137.14722;30.91176;33.79823;136.20722;130.78326;241.06792;112.28933;3.30842;3.09556
2022;150.08313;557.59591;137.14722;30.91176;33.79823;136.20722;130.78326;239.88577;112.28933;3.30842;3.09556
2023;149.30889;554.71941;137.14722;30.91176;33.79823;136.20722;130.78326;238.64826;112.28933;3.30842;3.09556
2024;148.49851;551.70867;137.14722;30.91176;33.79823;136.20722;130.78326;237.35299;112.28933;3.30842;3.09556
2025;147.65045;548.55791;137.14722;30.91176;33.79823;136.20722;130.78326;235.99749;112.28933;3.30842;3.09556
2026;146.76310;545.26117;137.14722;30.91176;33.79823;136.20722;130.78326;234.57919;112.28933;3.30842;3.09556
2027;145.83480;541.81231;137.14722;30.91176;33.79823;136.20722;130.78326;233.09544;112.28933;3.30842;3.09556
2028;144.86384;538.20497;137.14722;30.91176;33.79823;136.20722;130.78326;231.54351;112.28933;3.30842;3.09556
2029;143.84846;534.43259;137.14722;30.91176;33.79823;136.20722;130.78326;229.92057;112.28933;3.30842;3.09556
2030;142.78685;530.48842;137.14722;30.91176;33.79823;136.20722;130.78326;228.22374;112.28933;3.30842;3.09556
