Year;Agriculture;Land Usage;Waste;Buildings;Industry;Transport;Manufacture;Eletricity and Heat;Fugitive;Other Fuels;Bunker Fuels
2016;703.95989;-62.54425;79.88812;145.92130;135.89000;264.39660;509.49560;1108.95170;92.93210;64.98410;15.37180
2016;704.91729;-30.75760;80.98073;149.94080;143.30607;276.27570;530.63530;1102.44170;93.75320;66.89160;16.51440
2017;712.75857;-27.95431;82.07335;152.23780;142.62214;298.70520;562.60310;1161.63330;87.65770;69.71500;17.26360
2018;722.08891;-29.25304;83.16597;156.93260;162.23821;313.61370;572.65700;1263.02090;91.42990;71.83140;18.13820
2019;731.75430;-31.86350;84.25858;161.25920;168.55428;316.44970;556.86420;1235.14190;93.37830;69.78580;17.51710
2020;746.39544;-33.71098;85.35120;162.49710;149.37035;275.57230;505.75636;1115.42045;88.65590;64.78930;10.07290
2021;746.14433;-33.71098;85.35120;162.49710;149.37035;275.57230;505.58620;1115.04519;88.65590;64.78930;10.07290
2021;735.03122;0.00000;84.82196;161.21879;152.05632;283.61884;514.59518;1132.05087;89.53484;66.04381;11.91566
2022;732.00734;0.00000;84.82196;161.21879;152.05632;283.61884;512.47816;1127.39367;89.53484;66.04381;11.91566
2023;728.84184;0.00000;84.82196;161.21879;152.05632;283.61884;510.26200;1122.51837;89.53484;66.04381;11.91566
2024;725.52862;0.00000;84.82196;161.21879;152.05632;283.61884;507.94241;1117.41554;89.53484;66.04381;11.91566
2025;722.06131;0.00000;84.82196;161.21879;152.05632;283.61884;505.51495;1112.07540;89.53484;66.04381;11.91566
2026;718.43337;0.00000;84.82196;161.21879;152.05632;283.61884;502.97503;1106.48787;89.53484;66.04381;11.91566
2027;714.63802;0.00000;84.82196;161.21879;152.05632;283.61884;500.31790;1100.64249;89.53484;66.04381;11.91566
2028;710.66826;0.00000;84.82196;161.21879;152.05632;283.61884;497.53867;1094.52850;89.53484;66.04381;11.91566
2029;706.51688;0.00000;84.82196;161.21879;152.05632;283.61884;494.63230;1088.13480;89.53484;66.04381;11.91566
2030;702.17646;0.00000;84.82196;161.21879;152.05632;283.61884;491.59357;1081.44994;89.53484;66.04381;11.91566
2031;697.63935;0.00000;84.82196;161.21879;152.05632;283.61884;488.41714;1074.46217;89.53484;66.04381;11.91566
2032;692.89771;0.00000;84.82196;161.21879;152.05632;283.61884;485.09752;1067.15938;89.53484;66.04381;11.91566
2033;687.94349;0.00000;84.82196;161.21879;152.05632;283.61884;481.62907;1059.52918;89.53484;66.04381;11.91566
2034;682.76842;0.00000;84.82196;161.21879;152.05632;283.61884;478.00601;1051.55886;89.53484;66.04381;11.91566
2035;677.36408;0.00000;84.82196;161.21879;152.05632;283.61884;474.22243;1043.23541;89.53484;66.04381;11.91566
2036;671.72184;0.00000;84.82196;161.21879;152.05632;283.61884;470.27230;1034.54558;89.53484;66.04381;11.91566
2037;665.83293;0.00000;84.82196;161.21879;152.05632;283.61884;466.14947;1025.47582;89.53484;66.04381;11.91566
2038;659.68839;0.00000;84.82196;161.21879;152.05632;283.61884;461.84768;1016.01238;89.53484;66.04381;11.91566
2039;653.27918;0.00000;84.82196;161.21879;152.05632;283.61884;457.36059;1006.14129;89.53484;66.04381;11.91566
2040;646.59610;0.00000;84.82196;161.21879;152.05632;283.61884;452.68177;995.84841;89.53484;66.04381;11.91566
2041;639.62988;0.00000;84.82196;161.21879;152.05632;283.61884;447.80472;985.11946;89.53484;66.04381;11.91566
2042;632.37119;0.00000;84.82196;161.21879;152.05632;283.61884;442.72291;973.94007;89.53484;66.04381;11.91566
2043;624.81066;0.00000;84.82196;161.21879;152.05632;283.61884;437.42979;962.29579;89.53484;66.04381;11.91566
2044;616.93892;0.00000;84.82196;161.21879;152.05632;283.61884;431.91879;950.17222;89.53484;66.04381;11.91566
2045;608.74665;0.00000;84.82196;161.21879;152.05632;283.61884;426.18338;937.55497;89.53484;66.04381;11.91566
2046;600.22459;0.00000;84.82196;161.21879;152.05632;283.61884;420.21709;924.42980;89.53484;66.04381;11.91566
2047;591.36362;0.00000;84.82196;161.21879;152.05632;283.61884;414.01352;910.78267;89.53484;66.04381;11.91566
2048;582.15481;0.00000;84.82196;161.21879;152.05632;283.61884;407.56644;896.59981;89.53484;66.04381;11.91566
2049;572.58944;0.00000;84.82196;161.21879;152.05632;283.61884;400.86973;881.86781;89.53484;66.04381;11.91566
2050;562.65912;0.00000;84.82196;161.21879;152.05632;283.61884;393.91751;866.57373;89.53484;66.04381;11.91566
2051;552.35580;0.00000;84.82196;161.21879;152.05632;283.61884;386.70416;850.70518;89.53484;66.04381;11.91566
2052;541.67190;0.00000;84.82196;161.21879;152.05632;283.61884;379.22436;834.25048;89.53484;66.04381;11.91566
2053;530.60033;0.00000;84.82196;161.21879;152.05632;283.61884;371.47316;817.19871;89.53484;66.04381;11.91566
2054;519.13463;0.00000;84.82196;161.21879;152.05632;283.61884;363.44603;799.53993;89.53484;66.04381;11.91566
2055;507.26904;0.00000;84.82196;161.21879;152.05632;283.61884;355.13893;781.26526;89.53484;66.04381;11.91566
2056;494.99858;0.00000;84.82196;161.21879;152.05632;283.61884;346.54839;762.36705;89.53484;66.04381;11.91566
2057;482.31921;0.00000;84.82196;161.21879;152.05632;283.61884;337.67156;742.83904;89.53484;66.04381;11.91566
2058;469.22787;0.00000;84.82196;161.21879;152.05632;283.61884;328.50632;722.67655;89.53484;66.04381;11.91566
2059;455.72266;0.00000;84.82196;161.21879;152.05632;283.61884;319.05133;701.87664;89.53484;66.04381;11.91566
2060;441.80293;0.00000;84.82196;161.21879;152.05632;283.61884;309.30612;680.43830;89.53484;66.04381;11.91566
2061;427.46941;0.00000;84.82196;161.21879;152.05632;283.61884;299.27123;658.36267;89.53484;66.04381;11.91566
2062;412.72435;0.00000;84.82196;161.21879;152.05632;283.61884;288.94822;635.65322;89.53484;66.04381;11.91566
2063;397.57166;0.00000;84.82196;161.21879;152.05632;283.61884;278.33982;612.31595;89.53484;66.04381;11.91566
2064;382.01703;0.00000;84.82196;161.21879;152.05632;283.61884;267.45003;588.35965;89.53484;66.04381;11.91566
2065;366.20195;0.00000;84.82196;161.21879;152.05632;261.50741;278.05560;564.00221;89.53484;66.04381;11.91566
