Year;Agriculture;Land Usage;Waste;Buildings;Industry;Transport;Manufacture;Eletricity and Heat;Fugitive;Other Fuels;Bunker Fuels
2016;364.19046;-406.29936;135.20008;518.70950;221.21658;1756.18610;437.19270;2243.24080;360.42620;48.73590;125.64110
2016;374.65519;-220.18819;131.02931;501.94020;222.01964;1768.30190;442.31250;2154.19080;334.95000;46.84620;138.11830
2017;373.32841;-218.98694;132.13475;503.03070;227.96190;1780.84470;432.70050;2072.96310;352.25200;46.02750;149.61990
2018;379.50252;-219.05629;133.24018;556.96890;231.67417;1820.21690;457.69000;2105.39610;402.78100;46.91240;140.91860
2019;377.25644;-220.19314;134.34561;557.57480;238.66644;1814.99130;442.60200;1965.92210;447.41630;39.89860;150.17250
2020;379.68042;-216.05036;135.45104;513.59915;243.51871;1546.86643;440.81090;1758.93878;402.03450;36.93590;97.07290
2021;379.68042;-216.05036;135.45104;513.41877;243.51871;1546.32315;440.81090;1758.32102;402.03450;36.93590;97.07290
2021;378.84725;0.00000;134.99804;517.14200;241.00134;1598.43484;441.80321;1815.17443;404.49985;38.55310;109.18051
2022;378.84725;0.00000;134.99804;514.87592;241.00134;1591.43061;441.80321;1807.22046;404.49985;38.55310;109.18051
2023;378.84725;0.00000;134.99804;512.50372;241.00134;1584.09838;441.80321;1798.89401;404.49985;38.55310;109.18051
2024;378.84725;0.00000;134.99804;510.02081;241.00134;1576.42395;441.80321;1790.17897;404.49985;38.55310;109.18051
2025;378.84725;0.00000;134.99804;507.42244;241.00134;1568.39263;441.80321;1781.05864;404.49985;38.55310;109.18051
2026;378.84725;0.00000;134.99804;504.70368;241.00134;1559.98922;441.80321;1771.51578;404.49985;38.55310;109.18051
2027;378.84725;0.00000;134.99804;501.85947;241.00134;1551.19804;441.80321;1761.53256;404.49985;38.55310;109.18051
2028;378.84725;0.00000;134.99804;498.88455;241.00134;1542.00288;441.80321;1751.09058;404.49985;38.55310;109.18051
2029;378.84725;0.00000;134.99804;495.77354;241.00134;1532.38704;441.80321;1740.17088;404.49985;38.55310;109.18051
2030;378.84725;0.00000;134.99804;492.52085;241.00134;1522.33331;441.80321;1728.75392;404.49985;38.55310;109.18051
2031;378.84725;0.00000;134.99804;489.12078;241.00134;1511.82401;441.80321;1716.81961;404.49985;38.55310;109.18051
2032;378.84725;0.00000;134.99804;485.56742;241.00134;1500.84094;441.80321;1704.34729;404.49985;38.55310;109.18051
2033;378.84725;0.00000;134.99804;481.85476;241.00134;1489.36546;441.80321;1691.31580;404.49985;38.55310;109.18051
2034;378.84725;0.00000;134.99804;477.97660;241.00134;1477.37845;441.80321;1677.70341;404.49985;38.55310;109.18051
2035;378.84725;0.00000;134.99804;473.92662;241.00134;1464.86037;441.80321;1663.48794;404.49985;38.55310;109.18051
2036;378.84725;0.00000;134.99804;469.69836;241.00134;1451.79125;441.80321;1648.64671;404.49985;38.55310;109.18051
2037;378.84725;0.00000;134.99804;465.28525;241.00134;1438.15074;441.80321;1633.15662;404.49985;38.55310;109.18051
2038;378.84725;0.00000;134.99804;460.68057;241.00134;1423.91815;441.80321;1616.99416;404.49985;38.55310;109.18051
2039;378.84725;0.00000;134.99804;455.87755;241.00134;1409.07247;441.80321;1600.13549;404.49985;38.55310;109.18051
2040;378.84725;0.00000;134.99804;450.86929;241.00134;1393.59244;441.80321;1582.55645;404.49985;38.55310;109.18051
2041;378.84725;0.00000;134.99804;445.64885;241.00134;1377.45658;441.80321;1564.23265;404.49985;38.55310;109.18051
2042;378.84725;0.00000;134.99804;440.20924;241.00134;1360.64327;441.80321;1545.13953;404.49985;38.55310;109.18051
2043;378.84725;0.00000;134.99804;434.54342;241.00134;1343.13080;441.80321;1525.25247;404.49985;38.55310;109.18051
2044;378.84725;0.00000;134.99804;439.99001;241.00134;1324.91649;430.41701;1504.56839;404.49985;38.55310;109.18051
2045;378.84725;0.00000;134.99804;428.04429;241.00134;1305.99381;436.11011;1483.07989;404.49985;38.55310;109.18051
2046;378.84725;0.00000;134.99804;434.01715;241.00134;1286.31231;423.62665;1460.72968;404.49985;38.55310;109.18051
2047;378.84725;0.00000;134.99804;420.92342;241.00134;1265.88675;429.86838;1437.53451;404.49985;38.55310;109.18051
2048;378.84725;0.00000;134.99804;427.47029;241.00134;1244.66491;416.18867;1413.43511;404.49985;38.55310;109.18051
2049;378.84725;0.00000;134.99804;413.12552;241.00134;1222.66630;423.02853;1388.45359;404.49985;38.55310;109.18051
2050;378.84725;0.00000;134.99804;420.29790;241.00134;1199.83731;408.04577;1362.52911;404.49985;38.55310;109.18051
2051;378.84725;0.00000;134.99804;404.59101;241.00134;1176.20317;415.53715;1335.69030;404.49985;38.55310;109.18051
2052;378.84725;0.00000;134.99804;412.44446;241.00134;1151.70936;399.13624;1307.87526;404.49985;38.55310;109.18051
2053;378.84725;0.00000;134.99804;395.25576;241.00134;1126.38797;407.33669;1279.12041;404.49985;38.55310;109.18051
2054;378.84725;0.00000;134.99804;403.85011;241.00134;1100.18411;389.39368;1249.36345;404.49985;38.55310;109.18051
2055;378.84725;0.00000;134.99804;403.85011;241.00134;1073.15017;398.36519;1218.66384;385.67459;38.55310;109.18051
2056;378.84725;0.00000;134.99804;384.00114;241.00134;1045.30918;398.36519;1187.04775;395.08722;38.55310;109.18051
2057;378.84725;0.00000;134.99804;393.92562;241.00134;1016.54644;377.64359;1154.38494;395.08722;38.55310;109.18051
2058;378.84725;0.00000;134.99804;393.92562;241.00134;986.95859;388.00439;1120.78512;373.34485;38.55310;109.18051
2059;378.84725;0.00000;134.99804;370.99873;241.00134;956.58252;388.00439;1086.29022;384.21604;38.55310;109.18051
2060;378.84725;0.00000;134.99804;382.46218;241.00134;925.29740;364.06545;1050.76299;384.21604;38.55310;109.18051
2061;378.84725;0.00000;134.99804;382.46218;241.00134;893.22615;376.03492;1014.34305;359.09294;38.55310;109.18051
2062;378.84725;0.00000;134.99804;355.96464;241.00134;860.42360;376.03492;977.09263;371.65449;38.55310;109.18051
2063;350.99844;0.00000;134.99804;369.21341;241.00134;826.84474;376.03492;938.96066;371.65449;38.55310;109.18051
2064;364.92285;0.00000;134.99804;369.21341;241.00134;792.57522;346.69600;900.04436;371.65449;38.55310;109.18051
2065;364.92285;0.00000;134.99804;369.21341;241.00134;757.59963;361.36546;860.32627;340.83237;38.55310;109.18051
2066;364.92285;0.00000;134.99804;336.66919;241.00134;722.05734;361.36546;819.96462;356.24343;38.55310;109.18051
2067;330.67471;0.00000;134.99804;352.94130;241.00134;685.91566;361.36546;778.92232;356.24343;38.55310;109.18051
2068;347.79878;0.00000;134.99804;352.94130;241.00134;649.30117;325.23333;737.34309;356.24343;38.55310;109.18051
2069;347.79878;0.00000;134.99804;352.94130;241.00134;612.21903;343.29939;695.23280;318.22149;38.55310;109.18051
2070;347.79878;0.00000;134.99804;312.72315;241.00134;574.86285;343.29939;652.81131;337.23246;38.55310;109.18051
2071;305.38631;0.00000;134.99804;332.83222;241.00134;537.21867;343.29939;610.06278;337.23246;38.55310;109.18051
2072;326.59255;0.00000;134.99804;332.83222;241.00134;499.46663;298.45009;567.19175;337.23246;38.55310;109.18051
2073;326.59255;0.00000;134.99804;332.83222;241.00134;461.64068;320.87474;524.23680;289.90997;38.55310;109.18051
2074;326.59255;0.00000;134.99804;282.63007;241.00134;424.00416;320.87474;481.49695;313.57122;38.55310;109.18051
2075;273.47088;0.00000;134.99804;307.73115;241.00134;386.56989;320.87474;438.98678;313.57122;38.55310;109.18051
2076;300.03171;0.00000;134.99804;307.73115;241.00134;349.58720;264.48860;396.98943;313.57122;38.55310;109.18051
2077;300.03171;0.00000;134.99804;307.73115;241.00134;313.12985;292.68167;355.58865;253.81458;38.55310;109.18051
2078;300.03171;0.00000;134.99804;244.03780;241.00134;277.55050;292.68167;315.18493;283.69290;38.55310;109.18051
2079;232.26463;0.00000;134.99804;275.88448;241.00134;242.90032;292.68167;275.83636;283.69290;38.55310;109.18051
2080;266.14817;0.00000;134.99804;275.88448;241.00134;278.33543;220.75210;238.39725;213.97242;38.55310;109.18051
2081;266.14817;0.00000;134.99804;203.21723;241.00134;205.02261;256.71689;204.21334;248.83266;38.55310;109.18051
2082;190.92337;0.00000;134.99804;239.55086;241.00134;241.67902;184.15777;240.72505;178.50196;38.55310;109.18051
2083;228.53577;0.00000;134.99804;239.55086;168.82815;169.30288;220.43733;168.63460;213.66731;38.55310;109.18051
2084;157.31870;0.00000;134.99804;164.90123;204.91475;205.49095;151.74392;204.67983;213.66731;38.55310;109.18051
2085;192.92723;0.00000;134.99804;202.22604;135.35006;135.73065;186.09062;204.67983;141.13129;38.55310;109.18051
2086;125.85577;0.00000;134.99804;131.92183;170.13240;170.61080;186.09062;133.52256;177.39930;38.55310;109.18051
2087;159.39150;0.00000;134.99804;167.07394;170.13240;105.26321;114.81393;169.10119;109.45156;38.55310;109.18051
2088;159.39150;0.00000;134.99804;101.08331;102.93374;137.93700;150.45228;102.30984;143.42543;38.55310;109.18051
2089;90.90162;0.00000;134.99804;134.07862;136.53307;137.93700;85.80355;135.70552;81.79611;38.55310;109.18051
2090;125.14656;0.00000;134.99804;134.07862;78.72178;79.53125;118.12791;78.24462;112.61077;38.55310;109.18051
2091;66.78868;0.00000;72.04625;71.55557;107.62742;108.73413;118.12791;106.97507;112.61077;38.55310;109.18051
2092;95.96762;0.00000;103.52214;102.81710;107.62742;108.73413;56.67401;106.97507;54.02706;38.55310;52.38133
2093;95.96762;0.00000;103.52214;102.81710;51.26390;51.79103;87.40096;50.95318;83.31892;38.55310;80.78092
2094;48.10845;0.00000;51.89553;51.54209;79.44566;80.26258;87.40096;78.96412;83.31892;38.55310;80.78092
2095;72.03804;0.00000;77.70884;77.17959;79.44566;80.26258;49.57590;78.96412;47.26047;38.55310;45.82086
2096;72.03804;0.00000;77.70884;77.17959;39.20081;39.60390;68.48843;38.96321;65.28969;38.55310;63.30089
2097;32.59227;0.00000;35.15791;34.91847;59.32324;59.93324;68.48843;58.96367;65.28969;38.55310;63.30089
2098;52.31515;0.00000;56.43337;56.04903;59.32324;59.93324;27.50261;58.96367;26.21810;38.55310;25.41947
2099;52.31515;0.00000;56.43337;56.04903;25.47778;25.73977;47.99552;25.32336;45.75390;38.55310;44.36018
2100;31.08397;0.00000;33.53088;33.30252;42.40051;42.83650;47.99552;42.14351;45.75390;38.55310;44.36018
