Year;BRA;COD;AGO;TZA;MOZ;MMR
0;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
1;-18027.00000;-11013.80000;-5550.70000;-4690.00000;-3117.10000;-2897.10000
2;-37932.00000;-22027.50000;-11101.20000;-9380.00000;-5334.00000;-5794.20000
3;-48334.00000;-33041.30000;-16651.80000;-14070.00000;-7158.32000;-8691.30000
4;-60863.00000;-44055.10000;-22202.50000;-18760.00000;-9738.90000;-11588.40000
5;-72652.00000;-55068.80000;-27753.10000;-23450.00000;-11962.40000;-14485.50000
6;-65959.81868;-53072.26949;-33303.72500;-28140.00000;-14280.71000;-17382.60000
7;-59176.87293;-51059.47677;-38854.35000;-32830.00000;-16599.02000;-20279.70000
8;-52242.36653;-48990.62903;-44404.97500;-37520.00000;-18917.33000;-23176.80000
9;-45183.88791;-46884.79529;-49955.60000;-42210.00000;-21235.64000;-26073.90000
10;-37999.52036;-44741.40371;-55506.22500;-46900.00000;-23553.95000;-28971.00000
11;-30687.32971;-42559.87727;-61056.85000;-51590.00000;-25872.26000;-31868.10000
12;-23245.36467;-40339.63379;-66607.47500;-56280.00000;-28190.57000;-34765.20000
13;-15671.65729;-38080.08618;-72158.10000;-60970.00000;-30508.88000;-37662.30000
14;-7964.22337;-35780.64245;-77708.72500;-65660.00000;-32827.19000;-40559.40000
15;-121.06297;-33440.70594;-83259.35000;-70350.00000;-35145.50000;-43456.50000
16;7859.83910;-31059.67544;-88809.97500;-75040.00000;-37463.81000;-46353.60000
17;15980.51272;-28636.94536;-94360.60000;-79730.00000;-39782.12000;-49250.70000
18;24243.00185;-26171.90589;-99911.22500;-84420.00000;-42100.43000;-52147.80000
19;32649.36395;-23663.94321;-105461.85000;-89110.00000;-44418.74000;-55044.90000
20;41201.66925;-21112.43969;-111012.47500;-93800.00000;-46737.05000;-57942.00000
21;49902.00011;-18516.77407;-116563.10000;-98490.00000;-49055.36000;-60839.10000
22;58752.45020;-15876.32173;-122113.72500;-103180.00000;-51373.67000;-63736.20000
23;67755.12376;-13190.45487;-127664.35000;-107870.00000;-53691.98000;-66633.30000
24;76912.13473;-10458.54285;-133214.97500;-112560.00000;-56010.29000;-69530.40000
25;86225.60584;-7679.95234;-138765.60000;-117250.00000;-58328.60000;-72427.50000
26;95697.66772;-4854.04769;-144316.22500;-121940.00000;-60646.91000;-75324.60000
27;105330.45786;-1980.19122;-149866.85000;-126630.00000;-62965.22000;-78221.70000
28;115126.11961;942.25654;-155417.47500;-131320.00000;-65283.53000;-81118.80000
29;125086.80106;3913.93645;-160968.10000;-136010.00000;-67601.84000;-84015.90000
30;135214.65387;6935.49043;-166518.72500;-140700.00000;-69920.15000;-86913.00000
31;145511.83210;10007.56113;-172069.35000;-145390.00000;-72238.46000;-89810.10000
