Year;CO2 Concentration;CO2 ConcentrationPPM;Forest Area;Global Temperature
2015;3115320.00000;399.40000;40618147.96000;0.90000
2016;3135211.63507;401.95021;40585448.45800;0.93685
2017;3155607.97159;404.56512;40516927.45900;0.97439
2018;3176511.04046;407.24501;40468442.34200;1.01262
2019;3198322.74244;410.04138;40417501.40000;1.05224
2020;3220411.81722;412.87331;40368318.10000;1.09210
2021;3240515.27193;415.45068;40435834.51137;1.12812
2022;3260570.94852;418.02192;40504770.15821;1.16384
2023;3282367.00332;420.81628;40573589.32706;1.20242
2024;3304047.98070;423.59589;40644320.46688;1.24053
2025;3325610.11925;426.36027;40716688.86665;1.27819
2026;3347049.56006;429.10892;40790719.68157;1.31540
2027;3368361.99662;431.84128;40868233.03910;1.35214
2028;3389542.95864;434.55679;40947500.50643;1.38843
2029;3410588.46077;437.25493;41026381.89301;1.42426
2030;3431494.22047;439.93516;41107862.37892;1.45964
2031;3452255.43224;442.59685;41191134.27677;1.49455
2032;3472867.00908;445.23936;41277696.76618;1.52900
2033;3493323.71330;447.86201;41365915.94597;1.56300
2034;3513620.40955;450.46416;41455731.93596;1.59653
2035;3533751.74071;453.04509;41547446.00376;1.62959
2036;3553712.10904;455.60412;41641085.23147;1.66219
2037;3573495.60289;458.14046;41737371.13218;1.69431
2038;3593096.21450;460.65336;41834984.61217;1.72597
2039;3612507.81856;463.14203;41934757.85904;1.75714
2040;3631723.97143;465.60564;42036565.96273;1.78784
2041;3650738.04122;468.04334;42140436.63318;1.81805
2042;3669543.05634;470.45424;42247148.81260;1.84778
2043;3688132.01765;472.83744;42354824.08992;1.87701
2044;3706497.76691;475.19202;42465035.33217;1.90575
2045;3724632.73531;477.51702;42577420.73698;1.93398
2046;3742529.05790;479.81142;42692991.56926;1.96171
2047;3760178.39322;482.07415;42811977.72433;1.98893
2048;3777572.68934;484.30419;42931518.70131;2.01562
2049;3794703.75883;486.50048;43053937.74980;2.04179
2050;3811562.92409;488.66191;43178671.00280;2.06743
2051;3828141.40236;490.78736;43305746.36656;2.09253
2052;3844429.98263;492.87564;43436602.67666;2.11709
2053;3860419.64612;494.92560;43567554.37423;2.14109
2054;3876101.29936;496.93606;43701729.71713;2.16453
2055;3891465.16358;498.90579;43839281.77336;2.18740
2056;3906501.40217;500.83351;43979344.77984;2.20970
2057;3921199.92343;502.71794;44123791.34178;2.23141
2058;3935515.00175;504.55321;44267429.33602;2.25248
2059;3949453.89672;506.34024;44414451.68324;2.27292
2060;3963005.83205;508.07767;44563862.00119;2.29272
2061;3976160.46073;509.76416;44713831.72089;2.31188
2062;3988906.73787;511.39830;44870392.52785;2.33038
2063;4001233.93410;512.97871;45025777.75383;2.34821
2064;4013131.84828;514.50408;45184926.99296;2.36537
2065;4024589.78452;515.97305;45346581.30712;2.38185
2066;4035598.02637;517.38436;45506965.94326;2.39763
2067;4046144.38185;518.73646;45686090.64548;2.41271
2068;4056217.00745;520.02782;45863328.83197;2.42708
2069;4065806.78114;521.25728;46044686.80238;2.44072
2070;4074904.44333;522.42365;46227179.61136;2.45364
2071;4083501.72174;523.52586;46410373.99334;2.46581
2072;4091589.76434;524.56279;46601399.15269;2.47724
2073;4099159.90267;525.53332;46794681.81457;2.48792
2074;4106205.04596;526.43654;46990783.15854;2.49784
2075;4112718.93189;527.27166;47187789.29804;2.50699
2076;4118696.58327;528.03802;47384742.79618;2.51538
2077;4124132.57719;528.73495;47590362.71022;2.52299
2078;4129021.94765;529.36179;47799015.93358;2.52984
2079;4133361.14662;529.91810;48012029.29740;2.53590
2080;4137148.66780;530.40368;48223864.81100;2.54119
2081;4140384.93557;530.81858;48434457.35263;2.54570
2082;4143069.50356;531.16276;48656269.10983;2.54944
2083;4145202.62848;531.43623;48880119.91254;2.55242
2084;4146787.17135;531.63938;49106855.72969;2.55462
2085;4147828.40076;531.77287;49329341.06248;2.55607
2086;4148332.74321;531.83753;49555788.14224;2.55677
2087;4148305.91019;531.83409;49790632.84807;2.55673
2088;4147755.25902;531.76349;50027831.20082;2.55597
2089;4146690.49641;531.62699;50267533.01710;2.55449
2090;4145122.78478;531.42600;50508979.87960;2.55231
2091;4143065.26617;531.16221;50748924.44035;2.54944
2092;4140597.66473;530.84585;50997115.67774;2.54600
2093;4137628.74251;530.46522;51247175.57411;2.54187
2094;4134211.00423;530.02705;51498259.94236;2.53710
2095;4130361.68254;529.53355;51752251.55591;2.53173
2096;4126145.80902;528.99305;52002069.87300;2.52584
2097;4121704.62751;528.42367;52261983.84955;2.51962
2098;4116892.76801;527.80677;52524373.77427;2.51289
2099;4111721.76993;527.14382;52787004.57806;2.50564
2100;4106226.14016;526.43925;53053142.96518;2.49793
2101;4100463.74867;525.70048;53312118.85156;2.48983
