Year;Agriculture;Land Usage;Waste;Buildings;Industry;Transport;Manufacture;Eletricity and Heat;Fugitive;Other Fuels;Bunker Fuels
2016;496.58607;276.14044;68.21765;22.76150;33.88020;207.97040;98.48720;124.01510;35.09690;19.44410;20.05900
2016;498.28323;394.85836;68.88542;22.85040;31.64134;206.17270;88.98180;99.42480;35.50860;18.98500;17.86340
2017;502.98291;400.35942;69.55319;23.06480;29.86247;207.54460;95.11670;102.67120;36.20120;20.43760;17.55620
2018;492.98695;389.15771;70.22096;23.24810;30.55361;199.07990;91.93290;93.30410;34.98900;20.01480;16.90000
2019;504.85816;397.89866;70.88874;23.13060;31.53474;200.58560;88.36280;92.49300;37.39480;20.39510;18.12790
2020;518.66242;405.31228;71.55651;23.66520;34.27588;189.68300;82.53080;86.68030;37.16970;20.71510;15.11720
2021;518.66242;405.31228;71.55651;23.66520;34.27588;189.68300;82.53080;86.68030;37.16970;20.71510;15.11720
2021;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2022;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2023;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2024;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2025;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2026;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2027;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2028;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2029;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2030;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2031;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2032;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2033;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2034;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2035;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2036;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2037;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2038;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2039;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2040;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2041;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2042;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2043;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2044;496.45278;387.21387;71.23306;23.52669;33.51533;186.09028;84.59086;89.10308;36.97294;20.57577;15.80131
2045;486.76813;379.66022;71.23306;23.52669;33.51533;182.46008;84.59086;89.10308;36.97294;20.57577;15.80131
2046;476.64977;371.76829;71.23306;23.52669;33.51533;178.66732;84.59086;89.10308;36.97294;20.57577;15.80131
2047;466.08752;363.53015;71.23306;23.52669;33.51533;174.70817;84.59086;89.10308;36.97294;20.57577;15.80131
2048;455.07215;354.93858;71.23306;23.52669;33.51533;170.57917;84.59086;89.10308;36.97294;20.57577;15.80131
2049;443.59553;345.98727;71.23306;23.52669;33.51533;166.27727;84.59086;89.10308;36.97294;20.57577;15.80131
2050;431.65086;336.67089;71.23306;23.52669;33.51533;161.79994;84.59086;89.10308;36.97294;20.57577;15.80131
2051;419.23285;326.98532;71.23306;23.52669;33.51533;157.14517;84.59086;89.10308;36.97294;20.57577;15.80131
2052;406.33793;316.92779;71.23306;23.52669;33.51533;152.31164;84.59086;89.10308;36.97294;20.57577;15.80131
2053;392.96453;306.49706;71.23306;23.52669;33.51533;147.29876;84.59086;89.10308;36.97294;20.57577;15.80131
2054;379.11332;295.69365;71.23306;23.52669;33.51533;142.10677;84.59086;89.10308;36.97294;20.57577;15.80131
2055;364.78742;284.52001;71.23306;23.52669;33.51533;136.73685;84.59086;89.10308;36.97294;20.57577;15.80131
2056;349.99274;272.98073;71.23306;23.52669;33.51533;131.19122;84.59086;89.10308;36.97294;20.57577;15.80131
2057;334.73822;261.08280;71.23306;23.52669;33.51533;125.47322;84.59086;89.10308;36.97294;20.57577;15.80131
2058;319.03609;248.83575;71.23306;23.52669;33.51533;119.58743;84.59086;89.10308;36.97294;20.57577;15.80131
2059;302.90219;236.25193;71.23306;23.52669;33.51533;113.53980;84.59086;89.10308;36.97294;20.57577;15.80131
2060;286.35619;223.34670;71.23306;23.52669;33.51533;107.33770;84.59086;89.10308;36.97294;20.57577;15.80131
2061;269.42189;210.13860;71.23306;23.52669;33.51533;100.99006;84.59086;89.10308;36.97294;20.57577;15.80131
2062;252.12743;196.64959;71.23306;23.52669;33.51533;94.50740;84.59086;89.10308;36.97294;20.57577;15.80131
2063;234.50547;182.90515;71.23306;23.52669;33.51533;87.90199;84.59086;89.10308;36.97294;20.57577;15.80131
2064;216.59339;168.93443;71.23306;23.52669;33.51533;81.18783;84.59086;89.10308;36.97294;20.57577;15.80131
2065;198.52683;154.84321;71.23306;23.52669;33.51533;87.78092;84.59086;75.53661;36.97294;20.57577;15.80131
2066;180.63138;140.88545;71.23306;23.52669;33.51533;73.28702;84.59086;82.31985;36.97294;20.57577;15.80131
2067;162.71780;126.91356;71.23306;23.52669;33.51533;80.53397;69.34470;82.31985;36.97294;20.57577;15.80131
2068;145.02665;113.11515;71.23306;23.52669;33.51533;80.53397;76.96778;66.10307;36.97294;20.57577;15.80131
2069;127.67893;99.58460;71.23306;23.52669;33.51533;63.15405;76.96778;74.21146;36.97294;20.57577;15.80131
2070;110.59772;86.26192;71.23306;23.52669;33.51533;71.84401;58.60660;74.21146;36.97294;20.57577;15.80131
2071;94.08105;73.37956;71.23306;23.52669;33.51533;71.84401;67.78719;54.57903;36.97294;20.57577;15.80131
2072;78.28728;61.06103;71.23306;23.52669;33.51533;50.67009;67.78719;64.39524;36.97294;20.57577;15.80131
2073;63.59772;49.60375;47.86604;23.52669;33.51533;61.25705;67.78719;64.39524;36.97294;20.57577;15.80131
2074;50.08975;61.71141;59.54955;23.52669;33.51533;61.25705;42.91449;40.76713;36.97294;20.57577;15.80131
2075;39.98961;38.19826;59.54955;23.52669;33.51533;37.91701;55.35084;52.58119;36.97294;20.57577;15.80131
2076;52.29753;49.95483;32.97705;23.52669;33.51533;49.58703;30.65191;29.11814;36.97294;20.57577;15.80131
2077;27.27969;26.05769;46.26330;23.52669;33.51533;25.86583;43.00137;40.84966;36.97294;20.57577;15.80131
2078;39.78861;38.00626;21.29847;23.52669;33.51533;37.72643;19.79676;18.80617;36.97294;20.57577;15.80131
2079;18.65516;17.81949;33.78089;23.52669;33.51533;17.68829;31.39907;29.82792;36.97294;20.57577;15.80131
2080;29.22189;27.91288;19.28934;23.52669;19.13770;27.70736;31.39907;29.82792;21.11205;20.57577;15.80131
2081;13.18479;27.91288;26.53511;23.52669;26.32652;27.70736;14.16713;13.45823;29.04249;20.57577;15.80131
2082;21.20334;11.10866;26.53511;23.52669;26.32652;11.02687;22.78310;21.64307;11.55822;20.57577;15.80131
