Year;CO2 Concentration;CO2 ConcentrationPPM;Forest Area;Global Temperature
2015;3115320.00000;399.40000;40618147.96000;0.90000
2016;3135211.63507;401.95021;40585448.45800;0.93685
2017;3155607.97159;404.56512;40516927.45900;0.97439
2018;3176511.04046;407.24501;40468442.34200;1.01262
2019;3198322.74244;410.04138;40417501.40000;1.05224
2020;3220411.81722;412.87331;40368318.10000;1.09210
2021;3240485.68598;415.44688;40480379.80509;1.12807
2022;3260494.74599;418.01215;40593894.96336;1.16370
2023;3282207.03382;420.79577;40711376.18336;1.20213
2024;3303771.06564;423.56039;40831649.87630;1.24005
2025;3325181.01559;426.30526;40955686.59075;1.27744
2026;3346431.14899;429.02963;41080466.28595;1.31432
2027;3367514.41481;431.73262;41215445.62164;1.35068
2028;3388423.35696;434.41325;41351997.95501;1.38651
2029;3409151.17270;437.07066;41493127.24983;1.42181
2030;3429690.33894;439.70389;41638457.22923;1.45658
2031;3450033.30384;442.31196;41786743.47290;1.49081
2032;3470171.54320;444.89379;41943276.81026;1.52450
2033;3490096.54884;447.44828;42100751.90058;1.55763
2034;3509799.91039;449.97435;42263927.27280;1.59021
2035;3529272.27121;452.47080;42431761.01605;1.62223
2036;3548504.90422;454.93653;42599414.84673;1.65367
2037;3567487.39204;457.37018;42779884.49316;1.68455
2038;3586208.90419;459.77037;42960523.84264;1.71483
2039;3604659.27100;462.13580;43147826.37744;1.74452
2040;3622827.44556;464.46506;43338422.59741;1.77361
2041;3640702.74556;466.75676;43531279.74355;1.80208
2042;3658272.47427;469.00929;43737459.63460;1.82993
2043;3675523.31804;471.22094;43947453.83638;1.85714
2044;3692442.90263;473.39012;44162945.38645;1.88371
2045;3709019.15005;475.51528;44378349.83238;1.90961
2046;3725208.89429;477.59088;44600665.72738;1.93480
2047;3741011.06965;479.61680;44834674.24631;1.95928
2048;3756410.13401;481.59104;45073292.21589;1.98304
2049;3771391.35756;483.51171;45316764.62754;2.00605
2050;3785940.24408;485.37695;45561803.90462;2.02831
2051;3800042.65508;487.18496;45808113.39675;2.04981
2052;3813681.94571;488.93358;46070022.48761;2.07052
2053;3826840.68879;490.62060;46337044.22104;2.09043
2054;3839503.55493;492.24405;46606398.81505;2.10953
2055;3851656.06243;493.80206;46875597.35131;2.12779
2056;3863282.72986;495.29266;47153198.17387;2.14521
2057;3874365.94908;496.71358;47444422.79835;2.16177
2058;3884888.80856;498.06267;47740944.61485;2.17744
2059;3894837.39269;499.33813;48034682.98783;2.19222
2060;3904198.50871;500.53827;48331701.46630;2.20609
2061;3912958.01990;501.66128;48634672.12240;2.21904
2062;3921100.21660;502.70516;48954202.36827;2.23105
2063;3928610.18812;503.66797;49279340.57154;2.24210
2064;3935478.09889;504.54847;49595529.56247;2.25219
2065;3941695.79624;505.34561;49913298.34179;2.26130
2066;3947254.49370;506.05827;50232919.53343;2.26944
2067;3952139.65082;506.68457;50596924.09406;2.27658
2068;3956339.06785;507.22296;50957330.14561;2.28272
2069;3959850.30200;507.67312;51312700.72121;2.28784
2070;3962670.67378;508.03470;51676449.65863;2.29195
2071;3964800.16881;508.30771;52030354.33493;2.29505
2072;3966237.83203;508.49203;52410764.89525;2.29714
2073;3966982.64770;508.58752;52793842.68570;2.29823
2074;3967040.16427;508.59489;53177900.47289;2.29831
2075;3966418.28723;508.51517;53563742.11201;2.29740
2076;3965129.10475;508.34989;53939731.98023;2.29553
2077;3963247.79612;508.10869;54348366.72179;2.29279
2078;3960680.34241;507.77953;54756677.70263;2.28905
2079;3957480.35540;507.36928;55164215.84791;2.28439
2080;3953668.59603;506.88059;55569338.00118;2.27883
2081;3949359.68630;506.32816;55943129.98214;2.27254
2082;3944722.07939;505.73360;56379673.77985;2.26577
2083;3939558.90306;505.07165;56811582.60676;2.25821
2084;3933888.34935;504.34466;57237506.67934;2.24991
2085;3927759.99761;503.55897;57656406.54294;2.24092
2086;3921261.34895;502.72581;58018924.91472;2.23137
2087;3914539.99059;501.86410;58471296.95092;2.22148
2088;3907433.37070;500.95300;58926819.22346;2.21100
2089;3899869.13800;499.98322;59381572.07977;2.19983
2090;3891916.15484;498.96361;59828151.08524;2.18806
2091;3883630.35307;497.90133;60262227.73946;2.17578
2092;3875123.43193;496.81070;60725316.99832;2.16313
2093;3866281.88787;495.67717;61190093.49468;2.14997
2094;3857051.73844;494.49381;61652431.00961;2.13619
2095;3847488.96612;493.26782;62096626.71785;2.12188
2096;3837640.89345;492.00524;62524388.35133;2.10711
2097;3827565.01110;490.71346;62991602.61533;2.09196
2098;3817184.08003;489.38257;63459094.13994;2.07631
2099;3806469.43991;488.00890;63927219.58988;2.06011
2100;3795463.90551;486.59794;64368080.57445;2.04343
2101;3784210.80994;485.15523;64789054.85400;2.02632
