Country ID;Net Zero 1.5;CO2 Emissions 1.5;Forest Area 1.5;Net Zero 2.0;CO2 Emissions 2.0;Forest Area 2.0;Net Zero 2050;CO2 Emissions 2050;Forest Area 2050;Net Zero 2100;CO2 Emissions 2100;Forest Area 2100;Reforestation Count;Reduce Emission Count;Buy Offset Count;Do Nothing Count;NDC Achieved Count;NDC Failed Count;Total Reforestation;Total Emission Reduction;Total Carbon Offset Bought;Total Carbon Offset Sold
Albania;72.72950;113.89190;-4.83467;137.55838;215.56154;-7.40063;160.70420;251.85604;-8.31664;394.50044;618.33309;-17.56585;0;0;0;82;0;16;0.00000;0.00000;0.00000;0.00000
Algeria;3292.19650;3394.74187;450.32750;6233.78586;6431.40703;1131.63312;7283.11703;7515.44974;1374.84874;17855.82127;18461.37326;3830.67409;0;0;0;82;0;16;0.00000;0.00000;0.00000;0.00000
Andorra;0.74740;1.58228;0.00000;1.44117;3.02353;0.00000;1.68884;3.53804;0.00000;4.18958;8.73318;0.00000;0;0;0;82;0;16;0.00000;0.00000;0.00000;0.00000
Angola;-1741.93293;1649.46167;-87766.45750;-2954.10480;3085.14613;-166346.65562;-3297.91288;3597.66337;-194398.57660;-4148.30570;8772.71277;-477647.73071;0;0;0;82;0;16;0.00000;0.00000;0.00000;0.00000
Antigua and Barbuda;20.67648;21.09045;-10.26022;39.53050;40.27002;-19.37379;46.27141;47.11684;-22.62720;114.64052;116.25128;-55.47785;0;0;0;82;0;16;0.00000;0.00000;0.00000;0.00000
Argentina;3695.99110;5170.66898;-16849.38500;7017.16559;9736.97713;-32050.46375;8219.97476;11367.07884;-37477.01484;20872.17303;27826.73344;-92270.62443;0;0;0;82;0;16;0.00000;0.00000;0.00000;0.00000
Armenia;111.52001;128.62760;-33.20520;214.08044;246.35802;-62.93490;250.72658;288.38596;-73.54795;621.74595;712.75548;-180.71123;0;0;0;82;0;16;0.00000;0.00000;0.00000;0.00000
Australia;788.25636;7790.05962;15176.26225;1367.20831;14676.39944;23124.53294;1564.89125;17134.71674;25961.94321;3295.83366;41957.12716;54612.17574;0;0;0;82;0;16;0.00000;0.00000;0.00000;0.00000
Austria;710.79885;914.79931;567.81837;1362.76058;1751.92292;1076.14316;1594.92569;2050.76317;1257.60728;3922.21459;5068.24800;3089.90813;0;0;0;82;0;16;0.00000;0.00000;0.00000;0.00000
Azerbaijan;617.46585;678.23588;1759.89809;1177.25360;1300.33685;3358.73835;1375.28001;1522.41732;3929.49971;3321.48419;3764.83432;9692.65839;0;0;0;82;0;16;0.00000;0.00000;0.00000;0.00000
Bahamas;23.49503;50.09932;0.00000;44.49972;94.92370;0.00000;51.99808;110.92532;0.00000;127.71133;272.49872;0.00000;0;0;0;82;0;16;0.00000;0.00000;0.00000;0.00000
Bahrain;685.90338;685.94294;3.16240;1309.70626;1309.79524;5.99380;1532.39109;1532.50091;7.00457;3780.81600;3781.23075;17.21059;0;0;0;82;0;16;0.00000;0.00000;0.00000;0.00000
Bangladesh;2744.92833;2843.20339;0.00000;5225.10568;5411.36961;0.00000;6110.49081;6328.16541;0.00000;15050.50563;15585.34375;0.00000;0;0;0;82;0;16;0.00000;0.00000;0.00000;0.00000
Barbados;49.98544;50.31417;0.00000;93.93280;94.55586;0.00000;109.62133;110.34946;0.00000;268.03342;269.82246;0.00000;0;0;0;82;0;16;0.00000;0.00000;0.00000;0.00000
Belarus;661.85290;1122.18187;3325.00200;1242.46824;2127.73951;5922.81150;1446.79938;2486.70810;6850.18950;3423.34245;6111.32799;16214.21963;0;0;0;82;0;16;0.00000;0.00000;0.00000;0.00000
Belgium;1617.04882;1653.01622;0.00000;3034.32991;3102.50009;0.00000;3540.27744;3619.94352;0.00000;8648.99031;8844.73414;0.00000;0;0;0;82;0;16;0.00000;0.00000;0.00000;0.00000
Belize;22.59729;87.54157;-1764.21647;50.99678;166.27659;-3343.87223;62.92244;194.38378;-3907.78502;236.03113;478.19099;-9601.79149;0;0;0;82;0;16;0.00000;0.00000;0.00000;0.00000
Benin;175.26700;331.27748;-7906.00000;372.92299;633.61239;-14984.50000;451.49293;741.54129;-17511.41553;1453.17625;1831.33374;-43026.48402;0;0;0;82;0;16;0.00000;0.00000;0.00000;0.00000
Bhutan;-127.52382;14.96995;313.07760;-237.31834;34.14084;593.38620;-276.83048;40.98456;693.45205;-685.14718;110.08772;1703.84877;0;0;0;82;0;16;0.00000;0.00000;0.00000;0.00000
Bolivia;-970.79947;1648.82049;-35524.22160;-1671.25811;3140.86657;-66411.96420;-1886.35956;3673.50405;-77438.41279;-3028.00571;9051.71384;-188775.96566;0;0;0;82;0;16;0.00000;0.00000;0.00000;0.00000
Bosnia and Herzegovina;208.26304;322.67482;459.32307;401.31508;619.37367;701.85018;469.95726;725.29059;788.42862;1154.96927;1794.76739;1662.63866;0;0;0;82;0;16;0.00000;0.00000;0.00000;0.00000
Botswana;-102.42160;675.62734;-18705.59600;-112.41310;1279.43286;-35453.32700;-97.02876;1494.98214;-41432.00913;616.95451;3671.45161;-101800.66119;0;0;0;82;0;16;0.00000;0.00000;0.00000;0.00000
Brazil;-7017.23281;18704.68148;-209940.07300;-12358.15014;35503.62708;-389702.11975;-14061.36292;41500.59204;-453874.40297;-25263.04227;102053.85160;-1101842.32489;0;0;0;82;0;16;0.00000;0.00000;0.00000;0.00000
Brunei;121.48308;141.31132;0.00000;235.99399;273.57512;0.00000;276.87263;320.79126;0.00000;689.63717;797.54759;0.00000;0;0;0;82;0;16;0.00000;0.00000;0.00000;0.00000
Bulgaria;264.94848;470.00255;1971.77250;626.09865;1023.63033;3767.94187;752.99122;1221.26693;4409.14669;1974.35219;3216.86639;10883.59532;0;0;0;82;0;16;0.00000;0.00000;0.00000;0.00000
Burkina Faso;386.02882;702.81770;-7906.00000;785.87679;1351.29472;-14984.50000;936.62614;1582.79103;-17511.41553;2694.90296;3920.28282;-43026.48402;0;0;0;82;0;16;0.00000;0.00000;0.00000;0.00000
Burundi;72.77133;87.36283;0.00000;141.97003;169.62578;0.00000;166.67290;198.99239;0.00000;416.10564;495.51635;0.00000;0;0;0;82;0;16;0.00000;0.00000;0.00000;0.00000
Cambodia;574.27985;971.68035;-24617.70280;1191.93885;1836.15461;-46658.73610;1437.37446;2144.75861;-54527.04566;4431.36297;5260.83123;-133975.86594;0;0;0;82;0;16;0.00000;0.00000;0.00000;0.00000
Cameroon;551.09133;1603.95941;-8854.72000;1091.10305;3047.43564;-16782.64000;1292.84988;3562.73444;-19612.78539;3594.39794;8765.86999;-48189.66210;0;0;0;82;0;16;0.00000;0.00000;0.00000;0.00000
Canada;-8453.79501;9643.13960;-5892.89315;-16178.22535;18095.48040;-11152.39561;-18929.77659;21112.83595;-13029.95702;-46537.62558;51580.03303;-31988.29079;0;0;0;82;0;16;0.00000;0.00000;0.00000;0.00000
Cape Verde;10.58519;13.01632;47.43600;20.11353;24.93135;89.90700;23.46694;29.18483;105.06849;55.91072;72.13358;258.15890;0;0;0;82;0;16;0.00000;0.00000;0.00000;0.00000
Central African Republic;-449.11416;710.09922;-4743.60000;-833.94627;1342.14729;-8990.70000;-966.51954;1567.77872;-10506.84932;-2163.48628;3846.05093;-25815.89041;0;0;0;82;0;16;0.00000;0.00000;0.00000;0.00000
Chad;1192.89306;1400.97202;-17899.71250;2370.94417;2686.75346;-33782.09687;2809.46223;3145.75763;-39451.86358;7431.04943;7780.46859;-96701.29852;0;0;0;82;0;16;0.00000;0.00000;0.00000;0.00000
Chile;72.73741;1041.59915;19435.76980;352.61729;2274.97908;36836.84635;432.83965;2715.27672;43048.76279;662.43432;7161.10186;105772.45566;0;0;0;82;0;16;0.00000;0.00000;0.00000;0.00000
China;143210.57822;154976.88502;301991.59400;275412.93454;299042.06763;570613.59050;322303.17716;350471.11991;666507.50776;786808.60490;869766.59238;1634778.84201;0;0;0;82;0;16;0.00000;0.00000;0.00000;0.00000
Colombia;424.12056;3480.01402;-31449.52932;956.32945;6608.85146;-59630.01112;1178.20789;7725.79826;-69690.00928;4358.58216;19003.96478;-171269.00527;0;0;0;82;0;16;0.00000;0.00000;0.00000;0.00000
Comoros;7.17181;8.82301;-69.33765;14.26683;17.08930;-131.45149;16.86994;20.04023;-153.62517;45.19993;49.83678;-377.51990;0;0;0;82;0;16;0.00000;0.00000;0.00000;0.00000
Congo;-786.14832;356.76358;-2271.25500;-1472.86252;683.10142;-4341.71625;-1715.66606;799.59900;-5080.83904;-4098.26749;1975.91211;-12543.99658;0;0;0;82;0;16;0.00000;0.00000;0.00000;0.00000
Costa Rica;-7.98032;152.85965;2588.18925;7.73374;324.03785;4905.51319;10.72121;385.14583;5732.76216;-36.41074;1002.17253;14085.75771;0;0;0;82;0;16;0.00000;0.00000;0.00000;0.00000
Côte d'Ivoire;525.83756;656.74131;-17849.79650;1079.89694;1248.97651;-33831.27987;1291.31166;1460.39536;-39536.42340;3426.08167;3595.15863;-97143.06929;0;0;0;82;0;16;0.00000;0.00000;0.00000;0.00000
Croatia;158.51471;260.10721;472.56289;314.59723;509.11163;867.29190;369.86962;598.00237;1008.20408;914.80585;1495.56044;2431.03912;0;0;0;82;0;16;0.00000;0.00000;0.00000;0.00000
Cuba;313.07625;482.84256;971.93500;596.40130;920.65741;1485.12625;696.96327;1076.95057;1668.32763;1695.25122;2655.09225;3518.17009;0;0;0;82;0;16;0.00000;0.00000;0.00000;0.00000
