Year;CO2 Concentration;CO2 ConcentrationPPM;Forest Area;Global Temperature
2015;3115320.00000;399.40000;40618147.96000;0.90000
2016;3135211.63507;401.95021;40585448.45800;0.93685
2017;3155607.97159;404.56512;40516927.45900;0.97439
2018;3176511.04046;407.24501;40468442.34200;1.01262
2019;3198322.74244;410.04138;40417501.40000;1.05224
2020;3220411.81722;412.87331;40368318.10000;1.09210
2021;3240645.81799;415.46741;40318604.29356;1.12836
2022;3260875.99222;418.06102;40268890.48712;1.16438
2023;3282983.73227;420.89535;40219176.68069;1.20351
2024;3305085.77299;423.72895;40169462.87425;1.24236
2025;3327182.12007;426.56181;40119749.06781;1.28094
2026;3349272.77919;429.39395;40070035.26137;1.31925
2027;3371357.75605;432.22535;40020321.45493;1.35731
2028;3393437.05633;435.05603;39970607.64850;1.39510
2029;3415510.68569;437.88599;39920893.84206;1.43264
2030;3437578.64982;440.71521;39871180.03562;1.46992
2031;3459640.95436;443.54371;39821466.22918;1.50696
2032;3481697.60498;446.37149;39771752.42274;1.54375
2033;3503748.60732;449.19854;39722038.61630;1.58030
2034;3525793.96704;452.02487;39672324.80987;1.61661
2035;3547833.68977;454.85047;39622611.00343;1.65269
2036;3569867.78115;457.67536;39572897.19699;1.68853
2037;3591896.24680;460.49952;39523183.39055;1.72414
2038;3613919.09236;463.32296;39473469.58411;1.75952
2039;3635936.32342;466.14568;39423755.77767;1.79468
2040;3657947.94562;468.96769;39374041.97124;1.82961
2041;3679953.96454;471.78897;39324328.16480;1.86433
2042;3701954.38580;474.60954;39274614.35836;1.89883
2043;3723949.21499;477.42939;39224900.55192;1.93312
2044;3745938.45770;480.24852;39175186.74548;1.96719
2045;3767922.11951;483.06694;39125472.93905;2.00106
2046;3789900.06489;485.88462;39076742.38273;2.03472
2047;3811872.07145;488.70155;39028157.45129;2.06818
2048;3833838.14199;491.51771;38979572.51986;2.10143
2049;3855798.28245;494.33311;38930987.58842;2.13449
2050;3877752.49876;497.14776;38882402.65698;2.16734
2051;3899700.79683;499.96164;38833817.72554;2.20001
2052;3921643.18259;502.77477;38785232.79410;2.23248
2053;3943579.66194;505.58714;38736647.86266;2.26476
2054;3965510.24078;508.39875;38688062.93123;2.29685
2055;3987434.78435;511.20959;38640401.99979;2.32876
2056;4009353.11046;514.01963;38592817.06835;2.36048
2057;4031265.22439;516.82887;38545232.13691;2.39202
2058;4053171.13232;519.63732;38497647.20547;2.42338
2059;4075070.78357;522.44497;38450684.91466;2.45456
2060;4096963.90796;525.25178;38404221.85822;2.48556
2061;4118850.47531;528.05775;38357758.80178;2.51639
2062;4140730.49218;530.86288;38311295.74535;2.54704
2063;4162603.96084;533.66717;38264871.21551;2.57753
2064;4184470.87422;536.47062;38218465.49032;2.60784
2065;4206331.23781;539.27324;38172060.07732;2.63799
2066;4228185.05804;542.07501;38125654.91463;2.66797
2067;4250032.34141;544.87594;38079249.75194;2.69779
2068;4271873.09447;547.67604;38032844.58925;2.72745
2069;4293707.32373;550.47530;37986439.42656;2.75694
2070;4315535.03573;553.27372;37940034.26388;2.78628
2071;4337356.23697;556.07131;37893629.10119;2.81546
2072;4359170.92619;558.86807;37847497.13415;2.84448
2073;4380978.77892;561.66395;37802648.05271;2.87335
2074;4402779.60039;564.45892;37758061.89127;2.90207
2075;4424573.29591;567.25299;37713632.80984;2.93064
2076;4446359.86289;570.04614;37669203.72840;2.95905
2077;4468139.30120;572.83837;37624909.54263;2.98732
2078;4489911.45686;575.62967;37581926.33005;3.01544
2079;4511675.62247;578.41995;37540757.79236;3.04341
2080;4533431.61361;581.20918;37499589.25468;3.07124
2081;4555179.43846;583.99736;37458420.71699;3.09892
2082;4576919.10518;586.78450;37417252.17930;3.12646
2083;4598650.61472;589.57059;37376231.64161;3.15386
2084;4620373.85843;592.35562;37335563.10392;3.18112
2085;4642088.80366;595.13959;37294894.56624;3.20825
2086;4663795.45870;597.92249;37254226.02855;3.23523
2087;4685493.83185;600.70434;37213557.49086;3.26208
2088;4707183.93137;603.48512;37172888.95317;3.28879
2089;4728865.76554;606.26484;37132220.41549;3.31538
2090;4750539.34262;609.04351;37091551.87780;3.34182
2091;4772204.67085;611.82111;37050883.34011;3.36814
2092;4793861.75850;614.59766;37010214.80242;3.39433
2093;4815510.61379;617.37316;36969546.26474;3.42039
2094;4837151.24494;620.14760;36928877.72705;3.44633
2095;4858783.66019;622.92098;36888209.18936;3.47213
2096;4880407.86707;625.69332;36847544.89877;3.49782
2097;4902023.87300;628.46460;36806880.74859;3.52338
2098;4923631.68531;631.23483;36766281.06840;3.54881
2099;4945231.16621;634.00400;36726384.41821;3.57413
2100;4966822.21774;636.77208;36686487.76802;3.59933
2101;4988404.84832;639.53908;36646591.11784;3.62440
