Year,No Effort,Low Effort,Medium Effort,High Effort
2015,693826.9,693826.9,693826.9,693826.9
2016,688276.2,688276.2,688276.2,688276.2
2017,682725.7,682725.7,682725.7,682725.7
2018,677175.1,677175.1,677175.1,677175.1
2019,671624.4,671624.4,671624.4,671624.4
2020,666073.8,666073.8,666073.8,666073.8
2021,660523.175,660523.175,660523.175,660523.175
2022,654972.55,654972.55,654972.55,654972.55
2023,649421.925,649421.925,649421.925,649421.925
2024,643871.3,643871.3,643871.3,643871.3
2025,638320.675,638320.675,638320.675,638320.675
2026,632770.05,632770.05,632770.05,632770.05
2027,627219.425,627219.425,627219.425,627219.425
2028,621668.8,621668.8,621668.8,621668.8
2029,616118.175,616118.175,616118.175,616118.175
2030,610567.55,610567.55,610567.55,610567.55
2031,605016.925,605016.925,605016.925,605016.925
2032,599466.3,599466.3,599466.3,599466.3
2033,593915.675,593915.675,593915.675,593915.675
2034,588365.05,588365.05,588365.05,588365.05
2035,582814.425,582814.425,582814.425,582814.425
2036,577263.8,577263.8,577263.8,577263.8
2037,571713.175,571713.175,571713.175,571713.175
2038,566162.55,566162.55,566162.55,566162.55
2039,560611.925,560611.925,560611.925,560611.925
2040,555061.3,555061.3,555061.3,555061.3
2041,549510.675,549510.675,549510.675,549510.675
2042,543960.05,543960.05,543960.05,543960.05
2043,538409.425,538409.425,538409.425,538409.425
2044,532858.8,532858.8,532858.8,532858.8
2045,527308.175,527308.175,527308.175,527308.175
2046,521757.55,521757.55,521757.55,521757.55
2047,516206.925,516206.925,516206.925,516206.925
2048,510656.3,510656.3,510656.3,510656.3
2049,505105.675,505105.675,505105.675,505105.675
2050,499555.05,499555.05,499555.05,499555.05
2051,494004.425,494004.425,494004.425,494004.425
2052,488453.8,488453.8,488453.8,488453.8
2053,482903.175,482903.175,482903.175,482903.175
2054,477352.55,477352.55,477352.55,477352.55
2055,471801.925,471801.925,471801.925,471801.925
2056,466251.3,466251.3,466251.3,466251.3
2057,460700.675,460700.675,460700.675,460700.675
2058,455150.05,455150.05,455150.05,455150.05
2059,449599.425,449599.425,449599.425,449599.425
2060,444048.8,444048.8,444048.8,444048.8
2061,438498.175,438498.175,438498.175,438498.175
2062,432947.55,432947.55,432947.55,432947.55
2063,427396.925,427396.925,427396.925,427396.925
2064,421846.3,421846.3,421846.3,421846.3
2065,416295.675,416295.675,416295.675,416295.675
2066,410745.05,410745.05,410745.05,410745.05
2067,405194.425,414887.563,420478.339,430985.475
2068,399643.8,419091.913,422569.671,438330.375
2069,394093.175,423358.596,424661.003,445675.275
2070,388542.55,426367.012,426752.335,453020.175
2071,382991.925,429375.427,428843.667,460365.075
2072,377441.3,432383.842,430934.999,467709.974
2073,371890.675,435392.257,433026.331,475054.874
2074,366340.05,438400.672,435117.663,482399.774
2075,360789.425,441409.087,437208.995,489744.674
2076,355238.8,444417.502,439300.327,497089.574
2077,349688.175,447425.917,441391.659,504434.474
2078,344137.55,450434.332,443482.991,511779.374
2079,338586.925,453442.747,445574.323,519124.274
2080,333036.3,456451.163,447665.655,526469.174
2081,327485.675,459459.578,449756.987,533814.074
2082,321935.05,462467.993,451848.319,541158.974
2083,316384.425,465476.408,453939.651,548503.874
2084,310833.8,468484.823,456030.982,555848.774
2085,305283.175,471493.238,458122.314,563193.673
2086,299732.55,474501.653,460213.646,570538.573
2087,294181.925,477510.068,462304.978,577883.473
2088,288631.3,480518.483,464396.31,585228.373
2089,283080.675,483526.898,466487.642,592573.273
2090,277530.05,486535.313,468578.974,599918.173
2091,271979.425,489543.729,470670.306,607263.073
2092,266428.8,492552.144,472761.638,614607.973
2093,260878.175,495560.559,474852.97,621952.873
2094,255327.55,498568.974,476944.302,629297.773
2095,249776.925,501577.389,479035.634,636642.673
2096,244226.3,504585.804,481126.966,643987.573
2097,238675.675,507594.219,483218.298,651332.473
2098,233125.05,510602.634,485309.63,658677.372
2099,227574.425,513611.049,487400.962,666022.272
2100,222023.8,516619.464,489492.294,673367.172
