Year,No Effort,Low Effort,Medium Effort,High Effort
2015,5038848,5038848,5038848,5038848
2016,5020821,5020821,5020821,5020821
2017,5000916,5000916,5000916,5000916
2018,4990514,4990514,4990514,4990514
2019,4977985,4977985,4977985,4977985
2020,4966196,4966196,4966196,4966196
2021,4953498.25,4972888.181,4976234.272,4979580.363
2022,4940800.5,4979671.127,4986507.772,4993403.854
2023,4928102.75,4986605.633,4997092.728,5007762.669
2024,4915405,4993664.112,5007960.534,5022631.229
2025,4902707.25,5000848.48,5019117.678,5038024.955
2026,4890009.5,5008160.67,5030570.735,5053959.515
2027,4877311.75,5015602.635,5042326.356,5070450.809
2028,4864614,5023176.343,5054391.272,5087514.948
2029,4851916.25,5030883.777,5066772.285,5105168.239
2030,4839218.5,5038726.937,5079476.266,5123427.157
2031,4826520.75,5046707.839,5092510.146,5142308.321
2032,4813823,5054828.513,5105880.917,5161828.465
2033,4801125.25,5063091.002,5119595.621,5182004.406
2034,4788427.5,5071497.364,5133661.344,5202853.006
2035,4775729.75,5080049.669,5148085.212,5224391.138
2036,4763032,5088750,5162874.381,5246635.64
2037,4750334.25,5097600.45,5178036.027,5269603.267
2038,4737636.5,5106603.124,5193577.343,5293310.645
2039,4724938.75,5115760.135,5209505.525,5317774.211
2040,4712241,5125073.606,5225827.761,5341498.114
2041,4699543.25,5134545.668,5242551.226,5365222.018
2042,4686845.5,5144178.458,5259683.062,5388945.921
2043,4674147.75,5153974.12,5277230.375,5412669.825
2044,4661450,5163934.801,5295200.213,5436393.728
2045,4648752.25,5174062.654,5313599.56,5460117.632
2046,4636054.5,5184359.832,5331576.434,5483841.535
2047,4623356.75,5194828.491,5349553.309,5507565.439
2048,4610659,5205470.785,5367530.184,5531289.342
2049,4597961.25,5216288.869,5385507.058,5555013.245
2050,4585263.5,5227284.891,5403483.933,5578737.149
2051,4572565.75,5238460.998,5421460.807,5602461.052
2052,4559868,5249819.33,5439437.682,5626184.956
2053,4547170.25,5261362.018,5457414.557,5649908.859
2054,4534472.5,5273091.185,5475391.431,5673632.763
2055,4521774.75,5285008.94,5493368.306,5697356.666
2056,4509077,5297117.382,5511345.18,5721080.57
2057,4496379.25,5309418.594,5529322.055,5744804.473
2058,4483681.5,5321529.131,5547298.93,5768528.376
2059,4470983.75,5333639.669,5565275.804,5792252.28
2060,4458286,5345750.207,5583252.679,5815976.183
2061,4445588.25,5357860.745,5601229.554,5839700.087
2062,4432890.5,5369971.283,5619206.428,5863423.99
2063,4420192.75,5382081.821,5637183.303,5887147.894
2064,4407495,5394192.359,5655160.177,5910871.797
2065,4394797.25,5406302.897,5673137.052,5934595.701
2066,4382099.5,5418413.434,5691113.927,5958319.604
2067,4369401.75,5430523.972,5709090.801,5982043.508
2068,4356704,5442634.51,5727067.676,6005767.411
2069,4344006.25,5454745.048,5745044.55,6029491.314
2070,4331308.5,5466855.586,5763021.425,6053215.218
2071,4318610.75,5478966.124,5780998.3,6076939.121
2072,4305913,5491076.662,5798975.174,6100663.025
2073,4293215.25,5503187.2,5816952.049,6124386.928
2074,4280517.5,5515297.737,5834928.923,6148110.832
2075,4267819.75,5527408.275,5852905.798,6171834.735
2076,4255122,5539518.813,5870882.673,6195558.639
2077,4242424.25,5551629.351,5888859.547,6219282.542
2078,4229726.5,5563739.889,5906836.422,6243006.446
2079,4217028.75,5575850.427,5924813.297,6266730.349
2080,4204331,5587960.965,5942790.171,6290454.252
2081,4191633.25,5600071.503,5960767.046,6314178.156
2082,4178935.5,5612182.041,5978743.92,6337902.059
2083,4166237.75,5624292.578,5996720.795,6361625.963
2084,4153540,5636403.116,6014697.67,6385349.866
2085,4140842.25,5648513.654,6032674.544,6409073.77
2086,4128144.5,5660624.192,6050651.419,6432797.673
2087,4115446.75,5672734.73,6068628.293,6456521.577
2088,4102749,5684845.268,6086605.168,6480245.48
2089,4090051.25,5696955.806,6104582.043,6503969.383
2090,4077353.5,5709066.344,6122558.917,6527693.287
2091,4064655.75,5721176.881,6140535.792,6551417.19
2092,4051958,5733287.419,6158512.666,6575141.094
2093,4039260.25,5745397.957,6176489.541,6598864.997
2094,4026562.5,5757508.495,6194466.416,6622588.901
2095,4013864.75,5769619.033,6212443.29,6646312.804
2096,4001167,5781729.571,6230420.165,6670036.708
2097,3988469.25,5793840.109,6248397.04,6693760.611
2098,3975771.5,5805950.647,6266373.914,6717484.515
2099,3963073.75,5818061.184,6284350.789,6741208.418
2100,3950376,5830171.722,6302327.663,6764932.321
