Year,No Effort,Low Effort,Medium Effort,High Effort
2015,1316621.2,1316621.2,1316621.2,1316621.2
2016,1305607.4,1305607.4,1305607.4,1305607.4
2017,1294593.7,1294593.7,1294593.7,1294593.7
2018,1283579.9,1283579.9,1283579.9,1283579.9
2019,1272566.1,1272566.1,1272566.1,1272566.1
2020,1261552.4,1261552.4,1261552.4,1261552.4
2021,1250538.656,1263548.931,1264547.196,1265545.461
2022,1239524.912,1265561.723,1267601.364,1269658.737
2023,1228511.169,1267630.571,1270759.291,1273942.561
2024,1217497.425,1269736.405,1274001.603,1278378.463
2025,1206483.681,1271879.796,1277330.237,1282971.043
2026,1195469.937,1274061.323,1280747.154,1287724.976
2027,1184456.194,1276281.566,1284254.338,1292645.005
2028,1173442.45,1278541.114,1287853.797,1297735.938
2029,1162428.706,1280840.558,1291547.561,1303002.639
2030,1151414.962,1283180.494,1295337.68,1308450.024
2031,1140401.219,1285561.525,1299226.221,1314083.05
2032,1129387.475,1287984.255,1303215.271,1319906.71
2033,1118373.731,1290449.294,1307306.93,1325926.02
2034,1107359.987,1292957.257,1311503.312,1332146.013
2035,1096346.244,1295508.76,1315806.544,1338571.722
2036,1085332.5,1298104.426,1320218.759,1345208.169
2037,1074318.756,1300744.878,1324742.1,1352060.355
2038,1063305.012,1303430.745,1329378.713,1359133.239
2039,1052291.269,1306162.657,1334130.743,1366431.724
2040,1041277.525,1308941.248,1339000.336,1373960.642
2041,1030263.781,1311767.152,1343989.631,1381724.729
2042,1019250.037,1314641.009,1349100.761,1389728.609
2043,1008236.294,1317563.457,1354335.844,1397976.771
2044,997222.55,1320535.136,1359696.984,1406473.541
2045,986208.806,1323556.69,1365186.264,1415223.063
2046,975195.062,1326628.761,1370805.742,1424229.267
2047,964181.319,1329751.992,1376557.448,1433495.841
2048,953167.575,1332927.025,1382443.377,1443026.203
2049,942153.831,1336154.503,1388465.484,1452296.437
2050,931140.087,1339435.067,1394625.679,1461566.671
2051,920126.344,1342769.359,1400925.823,1470836.905
2052,909112.6,1346158.015,1407367.719,1480107.139
2053,898098.856,1349601.672,1413953.106,1489377.373
2054,887085.112,1353100.964,1420683.655,1498647.607
2055,876071.369,1356656.519,1427560.959,1507917.841
2056,865057.625,1360268.964,1434586.527,1517188.075
2057,854043.881,1363938.92,1441761.775,1526458.309
2058,843030.137,1367667.003,1448788.844,1535728.543
2059,832016.394,1371453.824,1455815.914,1544998.777
2060,821002.65,1375299.986,1462842.983,1554269.011
2061,809988.906,1379206.086,1469870.052,1563539.245
2062,798975.162,1383172.713,1476897.121,1572809.479
2063,787961.419,1387200.449,1483924.191,1582079.713
2064,776947.675,1391289.863,1490951.26,1591349.947
2065,765933.931,1395441.519,1497978.329,1600620.181
2066,754920.187,1399655.965,1505005.398,1609890.415
2067,743906.444,1403933.74,1512032.468,1619160.649
2068,732892.7,1408275.371,1519059.537,1628430.883
2069,721878.956,1412681.371,1526086.606,1637701.117
2070,710865.212,1417152.237,1533113.675,1646971.351
2071,699851.469,1421688.454,1540140.745,1656241.585
2072,688837.725,1426290.487,1547167.814,1665511.819
2073,677823.981,1430958.786,1554194.883,1674782.053
2074,666810.237,1435693.783,1561221.952,1684052.287
2075,655796.494,1440495.889,1568249.021,1693322.521
2076,644782.75,1445365.496,1575276.091,1702592.754
2077,633769.006,1450168.013,1582303.16,1711862.988
2078,622755.262,1454970.531,1589330.229,1721133.222
2079,611741.519,1459773.048,1596357.298,1730403.456
2080,600727.775,1464575.565,1603384.368,1739673.69
2081,589714.031,1469378.082,1610411.437,1748943.924
2082,578700.287,1474668.733,1617438.506,1758214.158
2083,567686.544,1479715.318,1624465.575,1767484.392
2084,556672.8,1484761.902,1631492.645,1776754.626
2085,545659.056,1489808.486,1638519.714,1786024.86
2086,534645.312,1494855.07,1645546.783,1795295.094
2087,523631.569,1499901.655,1652573.852,1804565.328
2088,512617.825,1504948.239,1659600.922,1813835.562
2089,501604.081,1509994.823,1666627.991,1823105.796
2090,490590.337,1515041.408,1673655.06,1832376.03
2091,479576.594,1520087.992,1680682.129,1841646.264
2092,468562.85,1526123.519,1687709.198,1850916.498
2093,457549.106,1531664.575,1694736.268,1860186.732
2094,446535.362,1537205.631,1701763.337,1869456.966
2095,435521.619,1542746.687,1708790.406,1878727.2
2096,424507.875,1548287.743,1715817.475,1887997.434
2097,413494.131,1553828.798,1722844.545,1897267.668
2098,402480.387,1559369.854,1729871.614,1906537.902
2099,391466.644,1564910.91,1736898.683,1915808.136
2100,380452.9,1570451.966,1743925.752,1925078.37
