Year,No Effort,Low Effort,Medium Effort,High Effort
2015,379400,379400,379400,379400
2016,376282.9,376282.9,376282.9,376282.9
2017,374066,374066,374066,374066
2018,372241.68,372241.68,372241.68,372241.68
2019,369661.1,369661.1,369661.1,369661.1
2020,367437.6,367437.6,367437.6,367437.6
2021,365119.29,365119.29,365119.29,365119.29
2022,362800.98,362800.98,362800.98,362800.98
2023,360482.67,360482.67,360482.67,360482.67
2024,358164.36,358164.36,358164.36,358164.36
2025,355846.05,355846.05,355846.05,355846.05
2026,353527.74,353527.74,353527.74,353527.74
2027,351209.43,351209.43,351209.43,351209.43
2028,348891.12,348891.12,348891.12,348891.12
2029,346572.81,346572.81,346572.81,346572.81
2030,344254.5,344254.5,344254.5,344254.5
2031,341936.19,341936.19,341936.19,341936.19
2032,339617.88,339617.88,339617.88,339617.88
2033,337299.57,337299.57,337299.57,337299.57
2034,334981.26,334981.26,334981.26,334981.26
2035,332662.95,332662.95,332662.95,332662.95
2036,330344.64,330344.64,330344.64,330344.64
2037,328026.33,328026.33,328026.33,328026.33
2038,325708.02,325708.02,325708.02,325708.02
2039,323389.71,323389.71,323389.71,323389.71
2040,321071.4,321071.4,321071.4,321071.4
2041,318753.09,318753.09,318753.09,318753.09
2042,316434.78,316434.78,316434.78,316434.78
2043,314116.47,314116.47,314116.47,314116.47
2044,311798.16,311798.16,311798.16,311798.16
2045,309479.85,309479.85,309479.85,309479.85
2046,307161.54,307161.54,307161.54,307161.54
2047,304843.23,304843.23,304843.23,304843.23
2048,302524.92,302524.92,302524.92,302524.92
2049,300206.61,300206.61,300206.61,300206.61
2050,297888.3,297888.3,297888.3,297888.3
2051,295569.99,295569.99,295569.99,295569.99
2052,293251.68,293251.68,293251.68,293251.68
2053,290933.37,290933.37,290933.37,290933.37
2054,288615.06,288615.06,288615.06,288615.06
2055,286296.75,286296.75,286296.75,286296.75
2056,283978.44,283978.44,283978.44,283978.44
2057,281660.13,281660.13,281660.13,281660.13
2058,279341.82,279341.82,279341.82,279341.82
2059,277023.51,277023.51,277023.51,277023.51
2060,274705.2,274705.2,274705.2,274705.2
2061,272386.89,272386.89,272386.89,272386.89
2062,270068.58,270068.58,270068.58,270068.58
2063,267750.27,267750.27,267750.27,267750.27
2064,265431.96,265431.96,265431.96,265431.96
2065,263113.65,263113.65,263113.65,263113.65
2066,260795.34,260795.34,260795.34,260795.34
2067,258477.03,258477.03,258477.03,258477.03
2068,256158.72,256158.72,256158.72,256158.72
2069,253840.41,253840.41,253840.41,253840.41
2070,251522.1,251522.1,251522.1,251522.1
2071,249203.79,249203.79,249203.79,249203.79
2072,246885.48,246885.48,246885.48,246885.48
2073,244567.17,244567.17,244567.17,244567.17
2074,242248.86,242248.86,242248.86,242248.86
2075,239930.55,239930.55,239930.55,239930.55
2076,237612.24,237612.24,237612.24,237612.24
2077,235293.93,235293.93,235293.93,235293.93
2078,232975.62,232975.62,232975.62,232975.62
2079,230657.31,230657.31,230657.31,230657.31
2080,228339,228339,228339,228339
2081,226020.69,226020.69,226020.69,226020.69
2082,223702.38,223702.38,223702.38,223702.38
2083,221384.07,221384.07,221384.07,221384.07
2084,219065.76,219065.76,219065.76,219065.76
2085,216747.45,216747.45,216747.45,216747.45
2086,214429.14,214429.14,214429.14,214429.14
2087,212110.83,212110.83,212110.83,212110.83
2088,209792.52,209792.52,209792.52,209792.52
2089,207474.21,207474.21,207474.21,207474.21
2090,205155.9,205155.9,205155.9,205155.9
2091,202837.59,202837.59,202837.59,202837.59
2092,200519.28,200519.28,200519.28,200519.28
2093,198200.97,198200.97,198200.97,198200.97
2094,195882.66,195882.66,195882.66,195882.66
2095,193564.35,193564.35,193564.35,193564.35
2096,191246.04,191246.04,191246.04,191246.04
2097,188927.73,188927.73,188927.73,188927.73
2098,186609.42,186609.42,186609.42,186609.42
2099,184291.11,184291.11,184291.11,184291.11
2100,181972.8,181972.8,181972.8,181972.8
