Year,No Effort,Low Effort,Medium Effort,High Effort
2015,299924.4,299924.4,299924.4,299924.4
2016,297027.3,297027.3,297027.3,297027.3
2017,294130.2,294130.2,294130.2,294130.2
2018,291233.1,291233.1,291233.1,291233.1
2019,288336,288336,288336,288336
2020,285438.9,285438.9,285438.9,285438.9
2021,282541.8,282541.8,282541.8,282541.8
2022,279644.7,279644.7,279644.7,279644.7
2023,276747.6,276747.6,276747.6,276747.6
2024,273850.5,273850.5,273850.5,273850.5
2025,270953.4,270953.4,270953.4,270953.4
2026,268056.3,268056.3,268056.3,268056.3
2027,265159.2,265159.2,265159.2,265159.2
2028,262262.1,262262.1,262262.1,262262.1
2029,259365,259365,259365,259365
2030,256467.9,256467.9,256467.9,256467.9
2031,253570.8,253570.8,253570.8,253570.8
2032,250673.7,250673.7,250673.7,250673.7
2033,247776.6,247776.6,247776.6,247776.6
2034,244879.5,244879.5,244879.5,244879.5
2035,241982.4,241982.4,241982.4,241982.4
2036,239085.3,239085.3,239085.3,239085.3
2037,236188.2,236188.2,236188.2,236188.2
2038,233291.1,233291.1,233291.1,233291.1
2039,230394,230394,230394,230394
2040,227496.9,227496.9,227496.9,227496.9
2041,224599.8,224599.8,224599.8,224599.8
2042,221702.7,221702.7,221702.7,221702.7
2043,218805.6,218805.6,218805.6,218805.6
2044,215908.5,215908.5,215908.5,215908.5
2045,213011.4,213011.4,213011.4,213011.4
2046,210114.3,210114.3,210114.3,210114.3
2047,207217.2,207217.2,207217.2,207217.2
2048,204320.1,204320.1,204320.1,204320.1
2049,201423,201423,201423,201423
2050,198525.9,198525.9,198525.9,198525.9
2051,195628.8,195628.8,195628.8,195628.8
2052,192731.7,192731.7,192731.7,192731.7
2053,189834.6,189834.6,189834.6,189834.6
2054,186937.5,186937.5,186937.5,186937.5
2055,184040.4,184040.4,184040.4,184040.4
2056,181143.3,181143.3,181143.3,181143.3
2057,178246.2,178246.2,178246.2,178246.2
2058,175349.1,175349.1,175349.1,175349.1
2059,172452,172452,172452,172452
2060,169554.9,169554.9,169554.9,169554.9
2061,166657.8,166657.8,166657.8,166657.8
2062,163760.7,163760.7,163760.7,163760.7
2063,160863.6,160863.6,160863.6,160863.6
2064,157966.5,157966.5,157966.5,157966.5
2065,155069.4,155069.4,155069.4,155069.4
2066,152172.3,152172.3,152172.3,152172.3
2067,149275.2,149275.2,149275.2,149275.2
2068,146378.1,146378.1,146378.1,146378.1
2069,143481,143481,143481,143481
2070,140583.9,140583.9,140583.9,140583.9
2071,137686.8,137686.8,137686.8,137686.8
2072,134789.7,134789.7,134789.7,134789.7
2073,131892.6,131892.6,131892.6,131892.6
2074,128995.5,128995.5,128995.5,128995.5
2075,126098.4,126098.4,126098.4,126098.4
2076,123201.3,123201.3,123201.3,123201.3
2077,120304.2,120304.2,120304.2,120304.2
2078,117407.1,117407.1,117407.1,117407.1
2079,114510,114510,114510,114510
2080,111612.9,111612.9,111612.9,111612.9
2081,108715.8,108715.8,108715.8,108715.8
2082,105818.7,105818.7,105818.7,105818.7
2083,102921.6,102921.6,102921.6,102921.6
2084,100024.5,100024.5,100024.5,100024.5
2085,97127.4,97127.4,97127.4,97127.4
2086,94230.3,94230.3,94230.3,94230.3
2087,91333.2,91333.2,91333.2,91333.2
2088,88436.1,88436.1,88436.1,88436.1
2089,85539,85539,85539,85539
2090,82641.9,82641.9,82641.9,82641.9
2091,79744.8,79744.8,79744.8,79744.8
2092,76847.7,76847.7,76847.7,76847.7
2093,73950.6,73950.6,73950.6,73950.6
2094,71053.5,71053.5,71053.5,71053.5
2095,68156.4,68156.4,68156.4,68156.4
2096,65259.3,65259.3,65259.3,65259.3
2097,62362.2,62362.2,62362.2,62362.2
2098,59465.1,59465.1,59465.1,59465.1
2099,56568,56568,56568,56568
2100,53670.9,53670.9,53670.9,53670.9
