Year,No Effort,Low Effort,Medium Effort,High Effort
2015,480900,480900,480900,480900
2016,476210,476210,476210,476210
2017,471520,471520,471520,471520
2018,466830,466830,466830,466830
2019,462140,462140,462140,462140
2020,457450,457450,457450,457450
2021,452760,452760,452760,452760
2022,448070,448070,448070,448070
2023,443380,443380,443380,443380
2024,438690,438690,438690,438690
2025,434000,434000,434000,434000
2026,429310,429310,429310,429310
2027,424620,424620,424620,424620
2028,419930,419930,419930,419930
2029,415240,415240,415240,415240
2030,410550,410550,410550,410550
2031,405860,405860,405860,405860
2032,401170,401170,401170,401170
2033,396480,396480,396480,396480
2034,391790,391790,391790,391790
2035,387100,387100,387100,387100
2036,382410,382410,382410,382410
2037,377720,377720,377720,377720
2038,373030,373030,373030,373030
2039,368340,368340,368340,368340
2040,363650,363650,363650,363650
2041,358960,358960,358960,358960
2042,354270,354270,354270,354270
2043,349580,349580,349580,349580
2044,344890,344890,344890,344890
2045,340200,340200,340200,340200
2046,335510,335510,335510,335510
2047,330820,330820,330820,330820
2048,326130,326130,326130,326130
2049,321440,321440,321440,321440
2050,316750,316750,316750,316750
2051,312060,312060,312060,312060
2052,307370,307370,307370,307370
2053,302680,302680,302680,302680
2054,297990,297990,297990,297990
2055,293300,293300,293300,293300
2056,288610,288610,288610,288610
2057,283920,283920,283920,283920
2058,279230,279230,279230,279230
2059,274540,274540,274540,274540
2060,269850,269850,269850,269850
2061,265160,265160,265160,265160
2062,260470,260470,260470,260470
2063,255780,255780,255780,255780
2064,251090,251090,251090,251090
2065,246400,246400,246400,246400
2066,241710,241710,241710,241710
2067,237020,237020,237020,237020
2068,232330,232330,232330,232330
2069,227640,227640,227640,227640
2070,222950,222950,222950,222950
2071,218260,218260,218260,218260
2072,213570,213570,213570,213570
2073,208880,208880,208880,208880
2074,204190,204190,204190,204190
2075,199500,199500,199500,199500
2076,194810,194810,194810,194810
2077,190120,190120,190120,190120
2078,185430,185430,185430,185430
2079,180740,180740,180740,180740
2080,176050,176050,176050,176050
2081,171360,171360,171360,171360
2082,166670,166670,166670,166670
2083,161980,161980,161980,161980
2084,157290,157290,157290,157290
2085,152600,152600,152600,152600
2086,147910,147910,147910,147910
2087,143220,143220,143220,143220
2088,138530,138530,138530,138530
2089,133840,133840,133840,133840
2090,129150,129150,129150,129150
2091,124460,124460,124460,124460
2092,119770,119770,119770,119770
2093,115080,115080,115080,115080
2094,110390,110390,110390,110390
2095,105700,105700,105700,105700
2096,101010,101010,101010,101010
2097,96320,96320,96320,96320
2098,91630,91630,91630,91630
2099,86940,86940,86940,86940
2100,82250,82250,82250,82250
