Year;Agriculture;Land Usage;Waste;Buildings;Industry;Transport;Manufacture;Eletricity and Heat;Fugitive;Other Fuels;Bunker Fuels
2016;98.62847;-661.30234;113.19070;150.62900;56.35291;245.93740;250.73030;880.75410;457.79628;15.40780;57.98960
2016;100.20929;-529.19604;115.74877;158.20380;55.36332;245.40410;260.58300;841.42060;478.16074;14.27010;48.63530
2017;99.47052;-532.11560;116.48131;180.18960;55.00025;251.39280;262.89360;838.10320;486.94034;14.75460;53.49060
2018;99.89940;-528.74036;117.21386;219.96250;54.13719;264.77320;251.41810;861.47760;512.26084;15.08520;54.32460
2019;101.82698;-529.30129;117.94640;222.45540;53.91413;262.38710;281.55070;871.69690;523.19734;14.00660;51.84450
2020;104.35060;-531.86890;118.67894;212.20920;53.74107;239.97140;273.40290;822.39850;520.74114;23.16270;36.02010
2021;104.35060;-531.86890;118.67894;212.20920;53.74107;239.97140;273.40290;822.39850;520.74114;23.16270;36.02010
2021;103.45033;0.00000;118.29559;211.16792;53.89297;244.85850;272.16434;832.70304;517.81303;20.99047;40.22852
2022;103.45033;0.00000;118.29559;211.16792;53.89297;244.85850;272.16434;832.70304;517.81303;20.99047;40.22852
2023;103.45033;0.00000;118.29559;211.16792;53.89297;244.85850;272.16434;832.70304;517.81303;20.99047;40.22852
2024;103.45033;0.00000;118.29559;211.16792;53.89297;244.85850;272.16434;832.70304;517.81303;20.99047;40.22852
2025;103.45033;0.00000;118.29559;211.16792;53.89297;244.85850;272.16434;832.70304;517.81303;20.99047;40.22852
2026;103.45033;0.00000;118.29559;211.16792;53.89297;244.85850;272.16434;832.70304;517.81303;20.99047;40.22852
2027;103.45033;0.00000;118.29559;211.16792;53.89297;244.85850;272.16434;832.70304;517.81303;20.99047;40.22852
2028;103.45033;0.00000;118.29559;211.16792;53.89297;244.85850;272.16434;832.70304;517.81303;20.99047;40.22852
2029;103.45033;0.00000;118.29559;211.16792;53.89297;244.85850;272.16434;832.70304;517.81303;20.99047;40.22852
2030;103.45033;0.00000;118.29559;211.16792;53.89297;244.85850;272.16434;832.70304;517.81303;20.99047;40.22852
2031;103.45033;0.00000;118.29559;211.16792;53.89297;244.85850;272.16434;832.70304;517.81303;20.99047;40.22852
2032;103.45033;0.00000;118.29559;211.16792;53.89297;244.85850;272.16434;832.70304;517.81303;20.99047;40.22852
2033;103.45033;0.00000;118.29559;211.16792;53.89297;244.85850;272.16434;832.70304;517.81303;20.99047;40.22852
2034;103.45033;0.00000;118.29559;211.16792;53.89297;244.85850;272.16434;832.70304;517.81303;20.99047;40.22852
2035;103.45033;0.00000;118.29559;211.16792;53.89297;244.85850;272.16434;832.70304;517.81303;20.99047;40.22852
2036;103.45033;0.00000;118.29559;211.16792;53.89297;244.85850;272.16434;832.70304;517.81303;20.99047;40.22852
2037;103.45033;0.00000;118.29559;211.16792;53.89297;244.85850;272.16434;832.70304;517.81303;20.99047;40.22852
2038;103.45033;0.00000;118.29559;211.16792;53.89297;244.85850;272.16434;832.70304;517.81303;20.99047;40.22852
2039;103.45033;0.00000;118.29559;211.16792;53.89297;244.85850;272.16434;832.70304;517.81303;20.99047;40.22852
2040;103.45033;0.00000;118.29559;211.16792;53.89297;244.85850;272.16434;832.70304;517.81303;20.99047;40.22852
2041;103.45033;0.00000;118.29559;211.16792;53.89297;244.85850;272.16434;832.70304;517.81303;20.99047;40.22852
2042;103.45033;0.00000;118.29559;211.16792;53.89297;244.85850;272.16434;832.70304;517.81303;20.99047;40.22852
2043;103.45033;0.00000;118.29559;211.16792;53.89297;244.85850;272.16434;832.70304;517.81303;20.99047;40.22852
2044;103.45033;0.00000;118.29559;211.16792;53.89297;244.85850;272.16434;832.70304;517.81303;20.99047;40.22852
2045;103.45033;0.00000;118.29559;211.16792;53.89297;244.85850;272.16434;832.70304;517.81303;20.99047;40.22852
2046;103.45033;0.00000;118.29559;211.16792;53.89297;244.85850;272.16434;832.70304;517.81303;20.99047;40.22852
2047;103.45033;0.00000;118.29559;211.16792;53.89297;244.85850;272.16434;832.70304;517.81303;20.99047;40.22852
2048;103.45033;0.00000;118.29559;211.16792;53.89297;244.85850;272.16434;832.70304;517.81303;20.99047;40.22852
2049;103.45033;0.00000;118.29559;211.16792;53.89297;244.85850;272.16434;832.70304;517.81303;20.99047;40.22852
2050;103.45033;0.00000;118.29559;211.16792;53.89297;244.85850;272.16434;832.70304;517.81303;20.99047;40.22852
2051;103.45033;0.00000;118.29559;211.16792;53.89297;244.85850;272.16434;832.70304;517.81303;20.99047;40.22852
2052;103.45033;0.00000;118.29559;211.16792;53.89297;244.85850;272.16434;832.70304;517.81303;20.99047;40.22852
2053;103.45033;0.00000;118.29559;211.16792;53.89297;244.85850;272.16434;832.70304;517.81303;20.99047;40.22852
2054;103.45033;0.00000;118.29559;211.16792;53.89297;244.85850;272.16434;832.70304;517.81303;20.99047;40.22852
2055;103.45033;0.00000;118.29559;211.16792;53.89297;244.85850;272.16434;832.70304;517.81303;20.99047;40.22852
2056;103.45033;0.00000;118.29559;211.16792;53.89297;244.85850;272.16434;832.70304;517.81303;20.99047;40.22852
2057;103.45033;0.00000;118.29559;211.16792;53.89297;244.85850;272.16434;832.70304;517.81303;20.99047;40.22852
2058;103.45033;0.00000;118.29559;211.16792;53.89297;244.85850;272.16434;832.70304;517.81303;20.99047;40.22852
2059;103.45033;0.00000;118.29559;211.16792;53.89297;244.85850;272.16434;832.70304;517.81303;20.99047;40.22852
2060;103.45033;0.00000;118.29559;211.16792;53.89297;244.85850;272.16434;832.70304;517.81303;20.99047;40.22852
2061;103.45033;0.00000;118.29559;211.16792;53.89297;244.85850;272.16434;832.70304;517.81303;20.99047;40.22852
2062;103.45033;0.00000;118.29559;211.16792;53.89297;244.85850;272.16434;832.70304;517.81303;20.99047;40.22852
2063;103.45033;0.00000;118.29559;211.16792;53.89297;244.85850;272.16434;832.70304;517.81303;20.99047;40.22852
2064;103.45033;0.00000;118.29559;211.16792;53.89297;244.85850;272.16434;832.70304;517.81303;20.99047;40.22852
2065;103.45033;0.00000;118.29559;211.16792;53.89297;244.85850;272.16434;832.70304;517.81303;20.99047;40.22852
2066;103.45033;0.00000;118.29559;211.16792;53.89297;244.85850;272.16434;832.70304;517.81303;20.99047;40.22852
2067;103.45033;0.00000;118.29559;211.16792;53.89297;244.85850;272.16434;832.70304;517.81303;20.99047;40.22852
2068;103.45033;0.00000;118.29559;211.16792;53.89297;244.85850;272.16434;832.70304;517.81303;20.99047;40.22852
2069;103.45033;0.00000;118.29559;211.16792;53.89297;244.85850;272.16434;832.70304;517.81303;20.99047;40.22852
2070;103.45033;0.00000;118.29559;211.16792;53.89297;244.85850;272.16434;832.70304;517.81303;20.99047;40.22852
2071;103.45033;0.00000;118.29559;211.16792;53.89297;244.85850;272.16434;832.70304;517.81303;20.99047;40.22852
2072;103.45033;0.00000;118.29559;211.16792;53.89297;244.85850;218.83343;669.53393;416.34698;20.99047;40.22852
2073;103.45033;0.00000;118.29559;211.16792;53.89297;244.85850;192.68875;589.54273;366.60478;20.99047;40.22852
2074;103.45033;0.00000;118.29559;211.16792;53.89297;187.99908;219.09382;514.67087;320.04601;20.99047;40.22852
2075;103.45033;0.00000;118.29559;211.16792;53.89297;216.42879;165.92378;448.71171;279.02957;20.99047;40.22852
2076;103.45033;0.00000;118.29559;211.16792;53.89297;155.35340;192.50880;373.69312;232.37956;20.99047;40.22852
2077;103.45033;0.00000;118.29559;145.55598;53.89297;185.89110;192.50880;308.21589;191.66281;20.99047;40.22852
2078;103.45033;0.00000;118.29559;178.36195;53.89297;185.89110;125.25824;245.74399;152.81491;20.99047;40.22852
2079;103.45033;0.00000;118.29559;178.36195;53.89297;119.90181;158.88352;201.05857;125.02746;20.99047;40.22852
2080;103.45033;0.00000;118.29559;124.56506;53.89297;152.89645;158.88352;179.05576;111.34510;20.99047;40.22852
2081;103.45033;0.00000;118.29559;151.46350;53.89297;95.47708;99.21574;135.95707;135.38885;20.99047;40.22852
2082;103.45033;0.00000;118.29559;84.77842;53.89297;124.18677;129.04963;98.98179;75.78098;20.99047;40.22852
2083;103.45033;0.00000;118.29559;118.12096;53.89297;62.73858;65.19528;69.67169;105.58491;20.99047;40.22852
2084;103.45033;0.00000;60.66986;60.58030;53.89297;93.46268;97.12246;103.79104;54.15098;20.99047;40.22852
2085;66.01673;0.00000;89.48273;89.35063;53.89297;93.46268;61.97860;66.23415;79.86795;20.99047;40.22852
2086;84.73353;0.00000;48.91016;48.83796;53.89297;51.08555;79.55053;85.01259;79.86795;20.99047;40.22852
2087;41.28980;0.00000;69.19645;69.09430;53.89297;72.27411;79.55053;41.42578;38.91885;20.99047;40.22852
2088;63.01166;0.00000;30.80706;69.09430;53.89297;32.17728;35.41682;63.21919;59.39340;20.99047;40.22852
2089;28.48654;0.00000;50.00175;31.23640;53.89297;52.22569;57.48368;28.58036;59.39340;20.99047;40.22852
2090;45.74910;0.00000;50.00175;50.16535;32.55822;52.22569;34.72747;45.89977;35.88118;20.99047;40.22852
2091;45.74910;0.00000;25.01121;25.09304;43.22560;26.12364;46.10557;45.89977;47.63729;20.99047;40.22852
2092;45.74910;0.00000;37.50648;37.62919;43.22560;39.17467;19.91715;19.82825;20.57884;20.99047;40.22852
2093;18.70444;0.00000;37.50648;37.62919;17.67271;39.17467;33.01136;32.86401;34.10806;20.99047;16.44736
2094;32.22677;0.00000;15.49235;15.54304;30.44915;16.18141;33.01136;32.86401;34.10806;20.99047;28.33794
2095;32.22677;0.00000;26.49942;26.58612;30.44915;27.67804;19.31838;19.23215;19.96017;20.99047;28.33794
2096;15.64129;0.00000;26.49942;26.58612;14.77852;27.67804;26.16487;26.04808;27.03412;20.99047;13.75384
2097;23.93403;0.00000;26.49942;10.59818;22.61384;11.03345;26.16487;26.04808;10.77676;20.99047;21.04589
2098;23.93403;0.00000;10.61158;18.59215;22.61384;19.35575;10.47761;10.43084;18.90544;20.99047;21.04589
2099;9.20985;0.00000;18.55550;18.59215;8.70184;19.35575;18.32124;18.23946;18.90544;20.99047;8.09849
2100;16.57194;0.00000;18.55550;18.59215;15.65784;11.04682;18.32124;18.23946;10.78982;11.97980;14.57219
