Year;CO2 Concentration;CO2 ConcentrationPPM;Forest Area;Global Temperature
2015;3115320.00000;399.40000;40618147.96000;0.90000
2016;3135211.63507;401.95021;40585448.45800;0.93685
2017;3155607.97159;404.56512;40516927.45900;0.97439
2018;3176511.04046;407.24501;40468442.34200;1.01262
2019;3198322.74244;410.04138;40417501.40000;1.05224
2020;3220411.81722;412.87331;40368318.10000;1.09210
2021;3240452.09370;415.44258;40469805.88679;1.12801
2022;3260429.30869;418.00376;40571307.96366;1.16359
2023;3282083.36396;420.77992;40673586.14563;1.20191
2024;3303571.64886;423.53483;40778322.31631;1.23970
2025;3324886.98262;426.26756;40887787.76893;1.27693
2026;3346022.35796;428.97723;40996771.70684;1.31361
2027;3366969.50892;431.66276;41116169.98966;1.34974
2028;3387719.55314;434.32302;41236775.63173;1.38531
2029;3408264.28675;436.95696;41361584.55546;1.42030
2030;3428594.71360;439.56342;41490212.36238;1.45473
2031;3448702.14055;442.14130;41618940.67196;1.48857
2032;3468576.41743;444.68928;41757993.81782;1.52183
2033;3488206.92294;447.20602;41897582.39399;1.55449
2034;3507583.46102;449.69019;42042456.55680;1.58654
2035;3526694.98125;452.14038;42190499.08968;1.61799
2036;3545530.92896;454.55525;42338222.13880;1.64881
2037;3564069.89071;456.93204;42498639.04217;1.67898
2038;3582302.86639;459.26960;42658535.39994;1.70850
2039;3600217.30002;461.56632;42824391.61262;1.73736
2040;3617800.11714;463.82053;42990044.66876;1.76555
2041;3635038.31610;466.03055;43158396.00125;1.79304
2042;3651916.05166;468.19437;43340965.81962;1.81984
2043;3668416.95511;470.30987;43526595.19817;1.84591
2044;3684525.87982;472.37511;43716288.32226;1.87125
2045;3700227.91540;474.38819;43904899.36145;1.89585
2046;3715507.29129;476.34709;44100304.93131;1.91968
2047;3730345.60281;478.24944;44307710.39281;1.94272
2048;3744724.55348;480.09289;44519272.67543;1.96497
2049;3758627.05909;481.87526;44733184.17426;1.98639
2050;3772036.09333;483.59437;44948928.24973;2.00698
2051;3784934.61903;485.24803;45165362.75621;2.02671
2052;3797302.93358;486.83371;45398377.18458;2.04557
2053;3809120.45967;488.34878;45636291.44550;2.06353
2054;3820369.53895;489.79097;45872415.47431;2.08057
2055;3831033.08453;491.15809;46109805.44738;2.09668
2056;3841092.38976;492.44774;46355269.84533;2.11183
2057;3850524.88749;493.65704;46626448.74922;2.12600
2058;3859308.66153;494.78316;46903117.16627;2.13917
2059;3867427.78616;495.82408;47171324.02787;2.15131
2060;3874867.01693;496.77782;47443762.68952;2.16241
2061;3881609.31224;497.64222;47722281.98324;2.17245
2062;3887635.73017;498.41484;48021097.79137;2.18141
2063;3892928.50600;499.09340;48324311.20764;2.18927
2064;3897475.81618;499.67639;48618196.64336;2.19601
2065;3901267.54040;500.16251;48913633.33373;2.20162
2066;3904293.11278;500.55040;49210893.86702;2.20610
2067;3906510.54334;500.83469;49538701.79637;2.20937
2068;3907921.70421;501.01560;49867539.35593;2.21146
2069;3908522.36525;501.09261;50191671.50183;2.21235
2070;3908309.30766;501.06530;50523773.12781;2.21203
2071;3907239.27675;500.92811;50843915.90170;2.21045
2072;3905308.96833;500.68064;51197171.06312;2.20760
2073;3902529.64060;500.32431;51550722.11379;2.20349
2074;3898911.01537;499.86039;51893044.28146;2.19814
2075;3894464.81592;499.29036;52241101.00820;2.19156
2076;3889206.55970;498.61623;52573677.47607;2.18377
2077;3883234.06621;497.85052;52949849.51930;2.17491
2078;3876425.45181;496.97762;53322619.83101;2.16479
2079;3868851.08136;496.00655;53692898.18805;2.15351
2080;3860538.10954;494.94078;54059828.99283;2.14111
2081;3851635.52126;493.79943;54385161.35278;2.12781
2082;3842363.23471;492.61067;54785561.20766;2.11391
2083;3832467.19427;491.34195;55176192.52232;2.09905
2084;3821971.27083;489.99632;55561023.36868;2.08325
2085;3810939.30057;488.58196;55937711.46454;2.06659
2086;3799484.40413;487.11339;56242964.26897;2.04924
2087;3787798.24435;485.61516;56662791.71455;2.03149
2088;3775618.29859;484.05363;57048881.02945;2.01294
2089;3762991.24002;482.43477;57424132.92826;1.99364
2090;3749958.28060;480.76388;57803510.50518;1.97365
2091;3736587.78217;479.04972;58169034.14765;1.95308
2092;3722999.55825;477.30764;58598931.67700;1.93209
2093;3709061.44249;475.52070;58996683.21024;1.91049
2094;3694786.48910;473.69058;59398044.91057;1.88828
2095;3680200.36216;471.82056;59800791.90396;1.86549
2096;3665351.07208;469.91680;60177698.55535;1.84221
2097;3650022.47074;467.95160;60618825.13361;1.81808
2098;3634273.09339;465.93245;61029062.31736;1.79318
2099;3618136.86554;463.86370;61441325.14639;1.76755
2100;3601665.90935;461.75204;61855563.41245;1.74128
2101;3584939.33699;459.60761;62237318.77115;1.71448
