Year;Agriculture;Land Usage;Waste;Buildings;Industry;Transport;Manufacture;Eletricity and Heat;Fugitive;Other Fuels;Bunker Fuels
2016;699.38291;-707.50924;179.68254;561.82790;1075.58180;850.56990;3011.92750;4616.43800;479.77150;208.90130;53.68550
2016;698.71310;-647.38540;185.64600;567.83260;1106.88400;868.04300;2874.15480;4721.34930;444.09920;208.86400;57.60020
2017;684.71597;-647.64169;191.60945;574.10350;1128.58621;901.29690;2709.47870;5060.65690;453.49880;200.21570;62.10920
2018;674.22459;-647.35159;197.57291;534.90150;1150.08841;976.43950;2802.77360;5408.04670;478.12400;177.98210;69.43580
2019;627.50487;-647.27929;203.53637;499.55230;1213.39062;970.37900;2806.36280;5618.73880;496.91020;164.50000;69.80470
2020;632.54812;-647.24490;209.49983;493.57750;1252.49282;926.87770;2863.83160;5714.32420;509.92650;163.83120;55.02330
2021;632.54812;-647.24490;209.49983;493.57750;1252.49282;926.87770;2863.83160;5714.32420;509.92650;163.83120;55.02330
2021;638.23086;0.00000;206.61128;501.65019;1232.29332;932.50197;2850.48365;5630.13687;503.04872;167.34410;58.01255
2022;638.23086;0.00000;206.61128;501.65019;1232.29332;932.50197;2850.48365;5630.13687;503.04872;167.34410;58.01255
2023;638.23086;0.00000;206.61128;501.65019;1232.29332;932.50197;2850.48365;5630.13687;503.04872;167.34410;58.01255
2024;638.23086;0.00000;206.61128;501.65019;1232.29332;932.50197;2850.48365;5630.13687;503.04872;167.34410;58.01255
2025;638.23086;0.00000;206.61128;501.65019;1232.29332;932.50197;2850.48365;5630.13687;503.04872;167.34410;58.01255
2026;638.23086;0.00000;206.61128;501.65019;1232.29332;932.50197;2850.48365;5630.13687;503.04872;167.34410;58.01255
2027;638.23086;0.00000;206.61128;501.65019;1232.29332;932.50197;2850.48365;5630.13687;503.04872;167.34410;58.01255
2028;638.23086;0.00000;206.61128;501.65019;1232.29332;932.50197;2850.48365;5630.13687;503.04872;167.34410;58.01255
2029;638.23086;0.00000;206.61128;501.65019;1232.29332;932.50197;2850.48365;5630.13687;503.04872;167.34410;58.01255
2030;638.23086;0.00000;206.61128;501.65019;1232.29332;932.50197;2850.48365;5630.13687;503.04872;167.34410;58.01255
2031;638.23086;0.00000;206.61128;501.65019;1232.29332;932.50197;2850.48365;5630.13687;503.04872;167.34410;58.01255
2032;638.23086;0.00000;206.61128;501.65019;1232.29332;932.50197;2850.48365;5630.13687;503.04872;167.34410;58.01255
2033;638.23086;0.00000;206.61128;501.65019;1232.29332;932.50197;2850.48365;5630.13687;503.04872;167.34410;58.01255
2034;638.23086;0.00000;206.61128;501.65019;1232.29332;932.50197;2850.48365;5630.13687;503.04872;167.34410;58.01255
2035;638.23086;0.00000;206.61128;501.65019;1232.29332;932.50197;2850.48365;5630.13687;503.04872;167.34410;58.01255
2036;638.23086;0.00000;206.61128;501.65019;1232.29332;932.50197;2850.48365;5630.13687;503.04872;167.34410;58.01255
2037;638.23086;0.00000;206.61128;501.65019;1232.29332;932.50197;2850.48365;5630.13687;503.04872;167.34410;58.01255
2038;638.23086;0.00000;206.61128;501.65019;1232.29332;932.50197;2850.48365;5630.13687;503.04872;167.34410;58.01255
2039;638.23086;0.00000;206.61128;501.65019;1232.29332;932.50197;2850.48365;5630.13687;503.04872;167.34410;58.01255
2040;638.23086;0.00000;206.61128;501.65019;1232.29332;932.50197;2850.48365;5630.13687;503.04872;167.34410;58.01255
2041;638.23086;0.00000;206.61128;501.65019;1232.29332;932.50197;2850.48365;5630.13687;503.04872;167.34410;58.01255
2042;638.23086;0.00000;206.61128;501.65019;1232.29332;932.50197;2850.48365;5630.13687;503.04872;167.34410;58.01255
2043;638.23086;0.00000;206.61128;501.65019;1232.29332;932.50197;2850.48365;5630.13687;503.04872;167.34410;58.01255
2044;638.23086;0.00000;206.61128;501.65019;1232.29332;932.50197;2850.48365;5630.13687;503.04872;167.34410;58.01255
2045;638.23086;0.00000;206.61128;501.65019;1232.29332;932.50197;2850.48365;5630.13687;503.04872;167.34410;58.01255
2046;638.23086;0.00000;206.61128;501.65019;1232.29332;932.50197;2850.48365;5630.13687;503.04872;167.34410;58.01255
2047;638.23086;0.00000;206.61128;501.65019;1232.29332;932.50197;2850.48365;5630.13687;503.04872;167.34410;58.01255
2048;638.23086;0.00000;206.61128;501.65019;1232.29332;932.50197;2850.48365;5630.13687;503.04872;167.34410;58.01255
2049;638.23086;0.00000;206.61128;501.65019;1232.29332;932.50197;2850.48365;5630.13687;503.04872;167.34410;58.01255
2050;638.23086;0.00000;206.61128;501.65019;1232.29332;932.50197;2850.48365;5630.13687;503.04872;167.34410;58.01255
2051;638.23086;0.00000;206.61128;501.65019;1232.29332;932.50197;2850.48365;5630.13687;503.04872;167.34410;58.01255
2052;638.23086;0.00000;206.61128;501.65019;1232.29332;932.50197;2850.48365;5630.13687;503.04872;167.34410;58.01255
2053;638.23086;0.00000;206.61128;501.65019;1232.29332;932.50197;2850.48365;5630.13687;503.04872;167.34410;58.01255
2054;638.23086;0.00000;206.61128;501.65019;1232.29332;932.50197;2850.48365;5630.13687;503.04872;167.34410;58.01255
2055;638.23086;0.00000;206.61128;501.65019;1232.29332;932.50197;2850.48365;5630.13687;503.04872;167.34410;58.01255
2056;638.23086;0.00000;206.61128;501.65019;1232.29332;932.50197;2850.48365;5630.13687;503.04872;167.34410;58.01255
2057;638.23086;0.00000;206.61128;501.65019;1232.29332;932.50197;2850.48365;5630.13687;503.04872;167.34410;58.01255
2058;638.23086;0.00000;206.61128;501.65019;1232.29332;932.50197;2850.48365;5630.13687;503.04872;167.34410;58.01255
2059;638.23086;0.00000;206.61128;501.65019;1232.29332;932.50197;2850.48365;5630.13687;503.04872;167.34410;58.01255
2060;638.23086;0.00000;206.61128;501.65019;1232.29332;932.50197;2850.48365;5630.13687;503.04872;167.34410;58.01255
2061;638.23086;0.00000;206.61128;501.65019;1232.29332;932.50197;2850.48365;5630.13687;503.04872;167.34410;58.01255
2062;638.23086;0.00000;206.61128;501.65019;1232.29332;932.50197;2850.48365;5630.13687;503.04872;167.34410;58.01255
2063;638.23086;0.00000;206.61128;501.65019;1232.29332;932.50197;2850.48365;5630.13687;503.04872;167.34410;58.01255
2064;638.23086;0.00000;206.61128;501.65019;1099.00946;932.50197;2542.17761;5021.18577;503.04872;167.34410;58.01255
2065;638.23086;0.00000;206.61128;501.65019;1030.20453;932.50197;2383.02124;4706.82784;503.04872;167.34410;58.01255
2066;638.23086;0.00000;206.61128;501.65019;960.63871;932.50197;2222.10484;4388.99357;503.04872;167.34410;58.01255
2067;638.23086;0.00000;206.61128;501.65019;890.50884;932.50197;2059.88368;4068.58222;503.04872;167.34410;58.01255
2068;638.23086;0.00000;206.61128;501.65019;820.02979;932.50197;1896.85481;3746.57551;503.04872;167.34410;58.01255
2069;638.23086;0.00000;206.61128;501.65019;889.96294;786.14323;1735.51472;3427.90440;503.04872;167.34410;58.01255
2070;638.23086;0.00000;206.61128;501.65019;738.88155;859.32260;1575.01886;3110.90077;503.04872;167.34410;58.01255
2071;638.23086;0.00000;206.61128;501.65019;814.42225;701.43077;1417.06295;2798.91392;503.04872;167.34410;58.01255
2072;638.23086;0.00000;206.61128;501.65019;651.61360;780.37669;1261.38926;2491.43480;503.04872;167.34410;58.01255
2073;638.23086;0.00000;206.61128;501.65019;733.01792;610.36689;1109.83971;2192.10150;503.04872;167.34410;58.01255
2074;638.23086;0.00000;206.61128;501.65019;557.78437;695.37179;962.13965;1900.37151;503.04872;167.34410;58.01255
2075;638.23086;0.00000;206.61128;501.65019;645.40115;523.50539;838.11882;1655.41160;503.04872;167.34410;58.01255
2076;638.23086;0.00000;206.61128;501.65019;457.00599;609.43859;690.88624;1364.60496;503.04872;167.34410;58.01255
2077;432.13419;0.00000;206.61128;501.65019;551.20357;609.43859;564.20574;1114.39179;503.04872;167.34410;58.01255
2078;535.18252;0.00000;206.61128;501.65019;551.20357;388.84221;445.82483;880.57155;503.04872;167.34410;58.01255
2079;535.18252;0.00000;206.61128;501.65019;343.23653;499.14040;356.36501;703.87486;503.04872;167.34410;58.01255
2080;365.51045;0.00000;206.61128;501.65019;447.22005;499.14040;464.32580;626.35577;343.56421;167.34410;58.01255
2081;450.34648;0.00000;206.61128;306.95216;447.22005;305.41646;464.32580;472.21284;423.30646;167.34410;58.01255
2082;243.32694;0.00000;206.61128;404.30117;447.22005;402.27843;250.88011;336.05899;423.30646;167.34410;58.01255
2083;346.83671;0.00000;206.61128;404.30117;225.26390;402.27843;357.60296;241.27966;213.21867;167.34410;58.01255
2084;346.83671;0.00000;206.61128;204.46985;336.24198;203.44687;357.60296;182.13999;318.26257;167.34410;58.01255
2085;219.87263;0.00000;206.61128;304.38551;213.15624;302.86265;226.69776;271.14401;318.26257;167.34410;58.01255
2086;283.35467;0.00000;206.61128;163.92295;274.69911;163.10283;292.15036;271.14401;171.39626;167.34410;58.01255
2087;135.79701;0.00000;206.61128;234.15423;131.64885;232.98274;140.01232;271.14401;244.82941;167.34410;58.01255
2088;209.57584;0.00000;206.61128;101.72785;203.17398;232.98274;216.08134;117.79799;106.36567;167.34410;58.01255
2089;91.74617;0.00000;206.61128;167.94104;203.17398;101.99302;94.59408;194.47100;175.59754;167.34410;58.01255
2090;150.66100;0.00000;126.65600;167.94104;124.54888;167.48788;155.33771;119.21381;175.59754;167.34410;58.01255
2091;150.66100;0.00000;166.63364;81.35825;163.86143;81.13872;155.33771;156.84241;85.06740;167.34410;58.01255
