Year;Agriculture;Land Usage;Waste;Buildings;Industry;Transport;Manufacture;Eletricity and Heat;Fugitive;Other Fuels;Bunker Fuels
2016;496.58607;276.14044;68.21765;22.76150;33.88020;207.97040;98.48720;124.01510;35.09690;19.44410;20.05900
2016;498.28323;394.85836;68.88542;22.85040;31.64134;206.17270;88.98180;99.42480;35.50860;18.98500;17.86340
2017;502.98291;400.35942;69.55319;23.06480;29.86247;207.54460;95.11670;102.67120;36.20120;20.43760;17.55620
2018;492.98695;389.15771;70.22096;23.24810;30.55361;199.07990;91.93290;93.30410;34.98900;20.01480;16.90000
2019;504.85816;397.89866;70.88874;23.13060;31.53474;200.58560;88.36280;92.49300;37.39480;20.39510;18.12790
2020;518.66242;405.31228;71.55651;23.66520;34.27588;189.68300;82.53080;86.68030;37.16970;20.71510;15.11720
2021;518.66242;405.31228;71.55651;23.66520;34.27588;189.68300;82.53080;86.68030;37.16970;20.71510;15.11720
2021;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2022;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2023;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2024;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2025;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2026;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2027;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2028;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2029;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2030;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2031;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2032;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2033;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2034;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2035;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2036;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2037;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2038;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2039;514.17882;401.03949;71.23306;23.52669;33.51533;192.73470;84.59086;89.10308;36.97294;20.57577;15.80131
2040;500.13814;390.08830;71.23306;23.52669;33.51533;187.47169;84.59086;89.10308;36.97294;20.57577;15.80131
2041;492.42715;384.07403;71.23306;23.52669;33.51533;184.58131;84.59086;89.10308;36.97294;20.57577;15.80131
2042;484.34641;377.77137;71.23306;23.52669;33.51533;181.55233;84.59086;89.10308;36.97294;20.57577;15.80131
2043;475.88405;371.17106;71.23306;23.52669;33.51533;178.38030;84.59086;89.10308;36.97294;20.57577;15.80131
2044;467.02854;364.26410;71.23306;23.52669;33.51533;175.06090;84.59086;89.10308;36.97294;20.57577;15.80131
2045;457.76881;357.04187;71.23306;23.52669;33.51533;171.58998;84.59086;89.10308;36.97294;20.57577;15.80131
2046;448.09439;349.49621;71.23306;23.52669;33.51533;167.96362;84.59086;89.10308;36.97294;20.57577;15.80131
2047;437.99557;341.61951;71.23306;23.52669;33.51533;164.17818;84.59086;89.10308;36.97294;20.57577;15.80131
2048;427.46350;333.40491;71.23306;23.52669;33.51533;160.23034;84.59086;89.10308;36.97294;20.57577;15.80131
2049;416.49043;324.84634;71.23306;23.52669;33.51533;156.11720;84.59086;89.10308;36.97294;20.57577;15.80131
2050;405.06983;315.93872;71.23306;23.52669;33.51533;151.83631;84.59086;89.10308;36.97294;20.57577;15.80131
2051;393.19666;306.67811;71.23306;23.52669;33.51533;147.38577;84.59086;89.10308;36.97294;20.57577;15.80131
2052;380.86751;297.06185;71.23306;23.52669;33.51533;142.76431;84.59086;89.10308;36.97294;20.57577;15.80131
2053;368.08088;287.08878;71.23306;23.52669;33.51533;137.97137;84.59086;89.10308;36.97294;20.57577;15.80131
2054;354.83740;276.75937;71.23306;23.52669;33.51533;133.00719;84.59086;89.10308;36.97294;20.57577;15.80131
2055;341.14006;266.07598;71.23306;23.52669;33.51533;127.87288;84.59086;89.10308;36.97294;20.57577;15.80131
2056;326.99450;255.04300;71.23306;23.52669;33.51533;122.57056;84.59086;89.10308;36.97294;20.57577;15.80131
2057;312.40928;243.66709;71.23306;23.52669;33.51533;117.10344;84.59086;89.10308;36.97294;20.57577;15.80131
2058;297.39609;231.95739;71.23306;23.52669;33.51533;111.47590;84.59086;89.10308;36.97294;20.57577;15.80131
2059;281.97006;219.92569;71.23306;23.52669;33.51533;105.69361;84.59086;89.10308;36.97294;20.57577;15.80131
2060;266.15003;207.58668;71.23306;23.52669;33.51533;99.76363;84.59086;89.10308;36.97294;20.57577;15.80131
2061;249.95874;194.95810;71.23306;23.52669;33.51533;93.69449;84.59086;89.10308;36.97294;20.57577;15.80131
2062;233.42307;182.06092;71.23306;23.52669;33.51533;87.49626;84.59086;89.10308;36.97294;20.57577;15.80131
2063;216.57428;168.91952;71.23306;23.52669;33.51533;81.18067;84.59086;89.10308;36.97294;20.57577;15.80131
2064;199.56386;155.65205;71.23306;23.52669;33.51533;87.36873;84.59086;76.28942;36.97294;20.57577;15.80131
2065;182.59731;142.41880;71.23306;23.52669;33.51533;73.74745;84.59086;82.69625;36.97294;20.57577;15.80131
2066;165.58912;129.15308;71.23306;23.52669;33.51533;80.55809;70.22612;82.69625;36.97294;20.57577;15.80131
2067;148.73127;116.00461;71.23306;23.52669;33.51533;80.55809;77.40849;67.38549;36.97294;20.57577;15.80131
2068;132.06928;103.00890;71.23306;23.52669;33.51533;64.23581;77.40849;75.04087;36.97294;20.57577;15.80131
2069;115.62445;90.18257;71.23306;23.52669;33.51533;72.39695;60.13030;75.04087;36.97294;20.57577;15.80131
2070;99.63724;77.71317;71.23306;23.52669;33.51533;72.39695;68.76940;56.54160;36.97294;20.57577;15.80131
2071;84.17663;65.65450;71.23306;23.52669;33.51533;52.56421;68.76940;65.79123;36.97294;20.57577;15.80131
2072;69.58964;54.27721;49.54271;23.52669;33.51533;62.48058;68.76940;65.79123;36.97294;20.57577;15.80131
2073;55.80429;43.52518;60.38788;23.52669;33.51533;62.48058;45.24266;65.79123;36.97294;20.57577;15.80131
2074;44.06617;54.84199;60.38788;23.52669;33.51533;39.15707;57.00603;41.23188;36.97294;20.57577;15.80131
2075;34.80543;54.84199;36.75166;23.52669;33.51533;50.81882;34.69349;53.51156;36.97294;20.57577;15.80131
2076;45.99769;30.22239;48.56977;23.52669;33.51533;28.00530;45.84976;29.48921;36.97294;20.57577;15.80131
2077;23.24761;42.53219;24.54755;23.52669;33.51533;39.41206;23.17284;41.50038;36.97294;20.57577;15.80131
2078;34.62265;19.40211;36.55866;23.52669;33.51533;17.97879;34.51130;18.93143;36.97294;20.57577;15.80131
2079;15.84225;30.96715;16.72811;23.52669;33.51533;28.69542;34.51130;30.21591;16.91767;20.57577;15.80131
2080;25.23245;17.58866;26.64339;23.52669;19.03596;28.69542;19.60165;30.21591;26.94530;20.57577;15.80131
2081;25.23245;24.27790;26.64339;23.52669;26.27564;12.85336;12.11923;13.53442;26.94530;20.57577;15.80131
2082;25.23245;24.27790;10.38576;23.52669;10.24242;20.77439;19.58786;21.87516;10.50345;20.57577;15.80131
