Offset Credits Cost Adjustment,Emission Reduction Cost Adjustment,Reforestation Cost Adjustment,T15Year,T15CO2,T15ForestSize,T20Year,T20CO2,T20ForestSize,ForestSize2050,CO2Concentration2050,Temperature2050,ForestSize2100,CO2Concentration2100,Temperature2100
1.0,0.7,0.55,2031.0,443.01659,41633683.48898,2049.0,483.01286,45070259.24645,45294264.48105,484.61656,2.01916,62062568.78811,450.67624,1.60145
1.0,0.45,0.75,2031.0,443.01731,39806253.80441,2049.0,483.01027,38909658.80352,38832841.58993,485.6548,2.03157,36643798.35232,457.09348,1.68285
1.0,0.05,1.0,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.85,0.1,2031.0,443.01483,43388574.22746,2047.0,482.99828,49598746.3591,51361575.81983,491.11921,2.09645,89249653.31194,535.7244,2.59898
1.0,0.7,0.6,2031.0,443.01597,41451985.683,2049.0,483.01281,44441858.55348,44672044.96976,484.89204,2.02246,59939226.65821,452.26949,1.6218
1.0,0.85,0.6,2031.0,443.0165,42174761.20396,2049.0,483.01188,46536066.83755,46918458.38589,485.23323,2.02653,68862469.5776,460.77501,1.7291
1.0,0.75,0.45,2031.0,443.01592,42158174.00077,2050.0,483.01415,46648214.04093,46889347.45428,484.35216,2.016,68854120.33883,451.9151,1.61722
1.0,0.7,0.1,2031.0,443.01625,43337879.08686,2047.0,483.00045,49540722.58562,51116644.69533,490.16656,2.08519,87471543.32405,510.43381,2.31987
1.0,0.45,0.35,2031.0,443.01778,40446265.85101,2049.0,483.01179,40976550.60282,41027557.09704,485.18147,2.02592,44422752.77214,448.06341,1.56798
1.0,0.7,0.15,2031.0,443.01604,43016880.55361,2048.0,483.00348,48731931.08669,49972598.22892,488.91497,2.07036,82224898.76064,474.15724,1.89487
1.0,0.8,1.0,2031.0,443.01721,41070621.38559,2049.0,483.00918,42985175.68779,43222510.48959,485.97609,2.0354,54166524.74725,464.38287,1.77408
1.0,0.75,0.05,2031.0,443.01409,43453060.93556,2047.0,482.99954,49809674.30078,51564767.49165,490.87816,2.0936,90275916.88913,541.81694,2.66421
1.0,0.95,0.9,2031.0,443.01574,41864083.25204,2049.0,483.00867,45335983.09073,45814065.82076,486.52512,2.04195,65277004.78464,478.45359,1.94609
1.0,0.2,0.1,2031.0,443.01681,40362559.80895,2049.0,483.01052,40773621.14789,40830303.28398,485.40531,2.02859,44133694.61548,451.45547,1.61146
1.0,0.2,0.6,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.55,0.95,2031.0,443.01685,40028545.61915,2049.0,483.01132,39628772.9927,39601685.48785,485.37913,2.02828,39581726.93055,454.67131,1.65224
1.0,0.1,0.4,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.5,0.25,2031.0,443.01767,41456706.26617,2050.0,483.01543,44419187.65284,44555904.75737,484.11049,2.01311,59535780.28949,440.67093,1.47226
1.0,0.2,0.35,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.05,0.6,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.3,0.85,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,1.0,0.5,2031.0,443.01575,42698351.63423,2048.0,483.00732,47836114.60517,48666399.92735,487.32638,2.05149,75768051.53276,480.96129,1.97636
1.0,0.4,0.95,2031.0,443.017,39806253.80441,2049.0,483.01094,38909561.63365,38832841.58993,485.65165,2.03153,36643798.35232,457.0534,1.68235
1.0,0.1,0.3,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,1.0,0.85,2031.0,443.016,41879138.51295,2048.0,483.00715,45468624.31751,46057270.52434,487.16901,2.04962,67202730.08267,484.43126,2.01773
1.0,0.35,0.75,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.65141,2.03153,36643798.35232,457.05035,1.68231
1.0,0.05,0.1,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,1.0,0.2,2031.0,443.01493,43043240.52052,2047.0,482.99934,48629970.65009,50107388.95949,490.46276,2.08869,83941192.23044,527.28298,2.50725
1.0,0.25,0.7,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.95,0.75,2031.0,443.01569,41971551.34821,2049.0,483.00838,45806963.88504,46341895.83743,486.58959,2.04272,67813989.21744,477.55416,1.93526
1.0,0.85,1.0,2031.0,443.01716,41396130.16749,2049.0,483.01009,44046091.67008,44374495.43451,486.02573,2.036,58624065.64917,466.40817,1.79914
1.0,0.8,0.45,2031.0,443.01801,42455351.6326,2050.0,483.01356,47436009.56792,47757420.91615,484.63152,2.01934,71862948.82678,453.26247,1.63441
1.0,0.7,1.0,2031.0,443.01569,40830269.10563,2049.0,483.01097,42131239.41644,42262358.86947,485.58785,2.03077,48316949.01636,457.71382,1.69068
1.0,0.05,0.45,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.75,0.4,2031.0,443.01819,42411017.24618,2050.0,483.01335,47358463.06608,47640842.64794,484.42719,2.0169,71230336.61509,450.2938,1.59654
1.0,0.55,0.2,2031.0,443.01759,42191728.63542,2050.0,483.01708,46799024.00823,46884386.74107,483.46931,2.00542,68294399.46768,438.24625,1.4404
1.0,0.35,0.35,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.65141,2.03153,36643798.35232,457.05035,1.68231
1.0,0.85,0.95,2031.0,443.01759,41414705.28389,2049.0,483.00993,44094249.4326,44422207.14646,485.99382,2.03561,59487985.87575,466.36019,1.79855
1.0,0.35,0.8,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.65141,2.03153,36643798.35232,457.05035,1.68231
1.0,0.4,0.3,2031.0,443.01697,40302389.93185,2049.0,483.01212,40524984.36229,40548313.73846,485.29136,2.02723,42009541.25656,450.21094,1.59549
1.0,0.8,0.6,2031.0,443.01648,41787706.90242,2049.0,483.01284,45410618.20045,45719340.52128,485.11602,2.02513,66171081.89828,457.34219,1.68603
1.0,0.75,0.3,2031.0,443.01667,42606457.42915,2050.0,483.01388,47981375.4923,48286179.18591,484.43008,2.01693,74844294.17881,451.93036,1.61748
1.0,0.55,0.5,2031.0,443.01788,40873603.29307,2049.0,483.0127,42341483.15067,42446119.75792,484.72155,2.02042,48935703.05505,443.94461,1.5148
1.0,0.15,0.9,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.2,0.75,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.8,0.1,2031.0,443.01408,43371709.06649,2047.0,482.99967,49592474.67591,51292071.67431,490.76501,2.09227,88877388.27844,527.63171,2.51107
1.0,0.5,0.65,2031.0,443.01771,40024983.01421,2049.0,483.01113,39600177.33317,39571321.44245,485.34497,2.02787,39418475.33632,454.23238,1.64668
1.0,0.4,0.4,2031.0,443.017,39806253.80441,2049.0,483.01094,38909561.63365,38832841.58993,485.65165,2.03153,36643798.35232,457.0534,1.68235
1.0,0.05,0.05,2031.0,443.01405,40835494.16315,2048.0,483.00289,42181658.39962,42495656.04117,488.6669,2.06742,49981655.25077,455.77808,1.66685
1.0,0.2,1.0,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.8,0.05,2031.0,443.01485,43461723.6501,2047.0,482.99904,49825014.20327,51601123.0324,490.97915,2.0948,90473373.57676,544.41521,2.69186
1.0,0.5,0.8,2031.0,443.01519,39976429.38818,2049.0,483.01112,39432195.32577,39394540.15287,485.41003,2.02865,38323166.28226,455.14078,1.65818
1.0,0.95,0.35,2031.0,443.01558,42866445.57205,2048.0,483.00912,48456254.85624,49236390.72237,486.68266,2.04382,78806217.30145,477.34825,1.93292
